id,groupId,shopItem,weight,worldlvLimit,lvLimit,lvLimitEx,
1,1,1001,100,,,,
2,1,1002,100,,,,
3,1,1003,100,,,,
4,1,1004,80,,,,
5,1,1005,100,,,,
6,1,1006,100,,,,
7,1,1007,100,,,,
8,1,1008,80,,,,
9,1,1009,80,,,,
10,1,1010,80,,,,
11,1,1011,100,,,,
12,1,1012,100,,,,
13,1,1013,100,,,,
14,1,1014,80,,,,
15,1,1015,100,,,,
16,1,1016,80,,,,
17,1,1017,100,,,,
18,1,1018,100,,,,
19,1,1019,100,,,,
20,1,1020,80,,,,
21,1,1021,100,,,,
22,1,1022,100,,,,
23,2,2001,100,,,,
24,2,2002,100,,,,
25,2,2003,100,,,,
26,2,2004,80,,,,
27,2,2005,100,,,,
28,2,2006,100,,,,
29,2,2007,100,,,,
30,2,2008,80,,,,
31,2,2009,80,,,,
32,2,2010,80,,,,
33,2,2011,100,,,,
34,2,2012,100,,,,
35,2,2013,100,,,,
36,2,2014,80,,,,
37,2,2015,100,,,,
38,2,2016,80,,,,
39,2,2017,100,,,,
40,2,2018,100,,,,
41,2,2019,100,,,,
42,2,2020,80,,,,
43,2,2021,100,,,,
44,2,2022,100,,,,
45,3,3001,100,,,,
46,3,3002,100,,,,
47,3,3003,100,,,,
48,3,3004,80,,,,
49,3,3005,100,,,,
50,3,3006,100,,,,
51,3,3007,100,,,,
52,3,3008,80,,,,
53,3,3009,80,,,,
54,3,3010,80,,,,
55,3,3011,100,,,,
56,3,3012,100,,,,
57,3,3013,100,,,,
58,3,3014,80,,,,
59,3,3015,100,,,,
60,3,3016,80,,,,
61,3,3017,100,,,,
62,3,3018,100,,,,
63,3,3019,100,,,,
64,3,3020,80,,,,
65,3,3021,100,,,,
66,3,3022,100,,,,
67,4,4001,100,,,,
68,4,4002,100,,,,
69,4,4003,100,,,,
70,4,4004,80,,,,
71,4,4005,100,,,,
72,4,4006,100,,,,
73,4,4007,100,,,,
74,4,4008,80,,,,
75,4,4009,80,,,,
76,4,4010,80,,,,
77,4,4011,100,,,,
78,4,4012,100,,,,
79,4,4013,100,,,,
80,4,4014,80,,,,
81,4,4015,100,,,,
82,4,4016,80,,,,
83,4,4017,100,,,,
84,4,4018,100,,,,
85,4,4019,100,,,,
86,4,4020,80,,,,
87,4,4021,100,,,,
88,4,4022,100,,,,
89,5,5001,100,,,,
90,6,6001,100,,,,
