id,mainId,minDamage,maxDamage,reward-type-1,reward-id-1,reward-num-1,reward-type-2,reward-id-2,reward-num-2,reward-type-3,reward-id-3,reward-num-3,
1,1,0,5000000,2,6861,1000,1,8,20000,2,1001,10,
2,1,5000000,10000000,2,6861,1100,1,8,40000,2,1001,20,
3,1,10000000,15000000,2,6861,1200,1,8,60000,2,1001,40,
4,1,15000000,20000000,2,6861,1300,1,8,80000,2,1001,60,
5,1,20000000,30000000,2,6861,1400,1,8,100000,2,1001,80,
6,1,30000000,50000000,2,6861,1500,1,8,120000,2,1001,100,
7,1,50000000,100000000,2,6861,1600,1,8,140000,2,1001,120,
8,1,100000000,300000000,2,6861,1700,1,8,160000,2,1001,140,
9,1,300000000,500000000,2,6861,1800,1,8,180000,2,1001,160,
10,1,500000000,1000000000,2,6861,1900,1,8,200000,2,1001,180,
11,1,1000000000,,2,6861,2000,1,8,220000,2,1001,200,
12,2,0,5000000,2,6865,1000,1,8,20000,2,1001,10,
13,2,5000000,10000000,2,6865,1100,1,8,40000,2,1001,20,
14,2,10000000,15000000,2,6865,1200,1,8,60000,2,1001,40,
15,2,15000000,20000000,2,6865,1300,1,8,80000,2,1001,60,
16,2,20000000,30000000,2,6865,1400,1,8,100000,2,1001,80,
17,2,30000000,50000000,2,6865,1500,1,8,120000,2,1001,100,
18,2,50000000,100000000,2,6865,1600,1,8,140000,2,1001,120,
19,2,100000000,300000000,2,6865,1700,1,8,160000,2,1001,140,
20,2,300000000,500000000,2,6865,1800,1,8,180000,2,1001,160,
21,2,500000000,1000000000,2,6865,1900,1,8,200000,2,1001,180,
22,2,1000000000,,2,6865,2000,1,8,220000,2,1001,200,
23,3,0,5000000,2,6863,1000,1,8,20000,2,1001,10,
24,3,5000000,10000000,2,6863,1100,1,8,40000,2,1001,20,
25,3,10000000,15000000,2,6863,1200,1,8,60000,2,1001,40,
26,3,15000000,20000000,2,6863,1300,1,8,80000,2,1001,60,
27,3,20000000,30000000,2,6863,1400,1,8,100000,2,1001,80,
28,3,30000000,50000000,2,6863,1500,1,8,120000,2,1001,100,
29,3,50000000,100000000,2,6863,1600,1,8,140000,2,1001,120,
30,3,100000000,300000000,2,6863,1700,1,8,160000,2,1001,140,
