id,name,isPassive,isPre,parentSkillSlot,parentEffectIndex,checkDead,tipsType,sub,eventRate,onTriggerScene,eventType,triggerTimeType,triggerTime,coolDown,targetType,selectType,selectNum,selectParam,hit,crit,control,rateType,rate,rateParam,conditionType,condition-condition-1,condition-conditionValue-1,condition-conditionParam-1,condition-condition-2,condition-conditionValue-2,condition-conditionParam-2,func,funcParamStr,funcTimes,entityEffectIdArr%1,entityEffectIdArr%2,entityEffectIdArr%3,entityEffectIdArr%4,entityEffectIdArr%5,entityEffectIdArr%6,entityEffectIdArr%7,entityEffectIdArr%8,entityEffectIdArr%9,entityEffectIdArr%10,exEffectId,spEffectTarget,calc,property,propertyValue,calc_lv,property_lv,propertyValue_lv,desc,fetterType,fetterId,nation,isForce,needDressId,fieldSkill,fieldSkillTarget,
1,s==37|Ngũ Hồ khắc Thục_Thăng bổng chính xác,1,,,,,,,,,,,,,,,,,,,,,10000,,1,24,2,,,,,101,s==29|propertyId:8|way:0|value:1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,s==28|Ngũ Hồ khắc Thục_ sát thương,1,,,,,,,,,,,,,,,,,,,,,10000,,1,24,2,,,,,101,s==30|propertyId:10|way:0|value:2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,s==34|Thục khắc Ngô_Thăng bổng chính xác,1,,,,,,,,,,,,,,,,,,,,,10000,,1,24,3,,,,,101,s==29|propertyId:8|way:0|value:1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,s==25|Thục khắc Ngô_ sát thương,1,,,,,,,,,,,,,,,,,,,,,10000,,1,24,3,,,,,101,s==30|propertyId:10|way:0|value:3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,s==34|Ngô khắc Ngụy_Thăng bổng chính xác,1,,,,,,,,,,,,,,,,,,,,,10000,,1,24,1,,,,,101,s==29|propertyId:8|way:0|value:1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,s==25|Ngô khắc Ngụy_ sát thương,1,,,,,,,,,,,,,,,,,,,,,10000,,1,24,1,,,,,101,s==30|propertyId:10|way:0|value:1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,s==33|Thần khắc Ma_Thăng bổng chính xác,1,,,,,,,,,,,,,,,,,,,,,10000,,1,24,5,,,,,101,s==29|propertyId:8|way:0|value:1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,s==24|Thần khắc Ma_ sát thương,1,,,,,,,,,,,,,,,,,,,,,10000,,1,24,5,,,,,101,s==27|propertyId:10|way:0|value:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,s==33|Ma khắc Thần_Thăng bổng chính xác,1,,,,,,,,,,,,,,,,,,,,,10000,,1,24,4,,,,,101,s==29|propertyId:8|way:0|value:1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,s==24|Ma khắc Thần_ sát thương,1,,,,,,,,,,,,,,,,,,,,,10000,,1,24,4,,,,,101,s==29|propertyId:10|way:0|value:500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,s==30|Thần Ma khắc_Ngụy (sát thương),1,,,,,,,,,,,,,,,,,,,,,10000,,1,24,1,,,,,101,s==27|propertyId:10|way:0|value:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,s==30|Thần Ma khắc_Thục (sát thương),1,,,,,,,,,,,,,,,,,,,,,10000,,1,24,2,,,,,101,s==27|propertyId:10|way:0|value:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,s==29|Thần Ma khắc_Ngô (sát thương),1,,,,,,,,,,,,,,,,,,,,,10000,,1,24,3,,,,,101,s==27|propertyId:10|way:0|value:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,s==28|Thần Ma khắc_Ngụy (miễn sát),1,,,,,,,,,,,,,,,,,,,,,10000,,1,41,1,,,,,101,s==27|propertyId:11|way:1|value:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,s==28|Thần Ma khắc_Thục (miễn sát),1,,,,,,,,,,,,,,,,,,,,,10000,,1,41,2,,,,,101,s==27|propertyId:11|way:1|value:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,s==27|Thần Ma khắc_Ngô (miễn sát),1,,,,,,,,,,,,,,,,,,,,,10000,,1,41,3,,,,,101,s==27|propertyId:11|way:1|value:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,s==72|Khi chiến đấu bắt đầu， tướng lĩnh tăng 5% công kích (không thể giải trừ),,,,,,,,,,s==1|1,,,,1,11,,,,,,,10000,,,,,,,,,3,s==11|buffId1:201,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
202,s==72|Khi chiến đấu bắt đầu， tướng lĩnh tăng 5% sinh mệnh (không thể giải trừ),,,,,,,,,,s==1|1,,,,1,11,,,,,,,10000,,,,,,,,,3,s==11|buffId1:202,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
203,s==74|Khi chiến đấu bắt đầu， tướng lĩnh tăng 5% miễn thương (không thể giải trừ),,,,,,,,,,s==1|1,,,,1,11,,,,,,,10000,,,,,,,,,3,s==11|buffId1:203,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
204,s==140|Mãnh tướng、 Trấn Vệ khi tung ra 【Kỹ Năng 3】 thì， thêm một lần gây sát thương vật lý bằng 50% công kích lên tướng địch có sinh mệnh thấp nhất,1,,4,,,,,,,s==5|6:2-4,1,1,,2,10,1,s==2|99,,,,,10000,,2,26,1,,26,2,,8,s==55|propertyId:2|rate:10000|maxDamageRate:10000|dependent:1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,
