id,activityID,round,items-type-1,items-id-1,items-value-1,weight,
1,4000,1,2,1004,1,166,
2,4000,1,2,1014,1,170,
3,4000,1,2,1003,5,100,
4,4000,1,2,1003,3,166,
5,4000,1,2,1005,5,1000,
6,4000,1,2,1006,200,500,
7,4000,1,2,1007,10,340,
8,4000,1,2,1027,30,1000,
9,4000,1,2,1030,1,200,
10,4000,1,2,1029,2,400,
11,4000,1,2,1019,5,667,
12,4000,1,2,1002,6,833,
13,4000,1,2,1003,2,250,
14,4000,1,2,3008,10,855,
15,4000,1,2,3008,25,334,
16,4000,1,2,1001,200,500,
17,4000,1,1,9,200,500,
18,4000,1,2,1001,500,200,
19,4000,1,1,8,1000000,1000,
20,4000,2,2,1004,1,166,
21,4000,2,2,1014,1,170,
22,4000,2,2,1003,5,100,
23,4000,2,2,1003,3,166,
24,4000,2,2,1005,5,1000,
25,4000,2,2,1006,200,500,
26,4000,2,2,1007,10,340,
27,4000,2,2,1027,30,1000,
28,4000,2,2,1030,1,200,
29,4000,2,2,1029,2,400,
30,4000,2,2,1019,5,667,
31,4000,2,2,1002,6,833,
32,4000,2,2,1003,2,250,
33,4000,2,2,3008,10,855,
34,4000,2,2,3008,25,334,
35,4000,2,2,1001,200,500,
36,4000,2,1,9,200,500,
37,4000,2,2,1001,500,200,
38,4000,2,1,8,1000000,1000,
39,4000,3,2,1004,1,166,
40,4000,3,2,1014,1,170,
41,4000,3,2,1003,5,100,
42,4000,3,2,1003,3,166,
43,4000,3,2,1005,5,1000,
44,4000,3,2,1006,200,500,
45,4000,3,2,1007,10,340,
46,4000,3,2,1027,30,1000,
47,4000,3,2,1030,1,200,
48,4000,3,2,1029,2,400,
49,4000,3,2,1019,5,667,
50,4000,3,2,1002,6,833,
51,4000,3,2,1003,2,250,
52,4000,3,2,3008,10,855,
53,4000,3,2,3008,25,334,
54,4000,3,2,1001,200,500,
55,4000,3,1,9,200,500,
56,4000,3,2,1001,500,200,
57,4000,3,1,8,1000000,1000,
58,4000,4,2,1004,1,166,
59,4000,4,2,1014,1,170,
60,4000,4,2,1003,5,100,
61,4000,4,2,1003,3,166,
62,4000,4,2,1005,5,1000,
63,4000,4,2,1006,200,500,
64,4000,4,2,1007,10,340,
65,4000,4,2,1027,30,1000,
66,4000,4,2,1030,1,200,
67,4000,4,2,1029,2,400,
68,4000,4,2,1019,5,667,
69,4000,4,2,1002,6,833,
70,4000,4,2,1003,2,250,
71,4000,4,2,3008,10,855,
72,4000,4,2,3008,25,334,
73,4000,4,2,1001,200,500,
74,4000,4,1,9,200,500,
75,4000,4,2,1001,500,200,
76,4000,4,1,8,1000000,1000,
77,4010,1,2,1004,1,166,
78,4010,1,2,1014,1,170,
79,4010,1,2,1003,5,100,
80,4010,1,2,1003,3,166,
81,4010,1,2,1005,5,1000,
82,4010,1,2,1006,200,500,
83,4010,1,2,1007,10,340,
84,4010,1,2,1027,30,1000,
85,4010,1,2,1030,1,200,
86,4010,1,2,1029,2,400,
87,4010,1,2,1019,5,667,
88,4010,1,2,1002,6,833,
89,4010,1,2,1003,2,250,
90,4010,1,2,3008,10,855,
91,4010,1,2,3008,25,334,
92,4010,1,2,1001,200,500,
93,4010,1,1,9,200,500,
94,4010,1,2,1001,500,200,
95,4010,1,1,8,1000000,1000,
96,4010,2,2,1004,1,166,
97,4010,2,2,1014,1,170,
98,4010,2,2,1003,5,100,
99,4010,2,2,1003,3,166,
100,4010,2,2,1005,5,1000,
101,4010,2,2,1006,200,500,
102,4010,2,2,1007,10,340,
103,4010,2,2,1027,30,1000,
104,4010,2,2,1030,1,200,
105,4010,2,2,1029,2,400,
106,4010,2,2,1019,5,667,
107,4010,2,2,1002,6,833,
108,4010,2,2,1003,2,250,
109,4010,2,2,3008,10,855,
110,4010,2,2,3008,25,334,
111,4010,2,2,1001,200,500,
112,4010,2,1,9,200,500,
113,4010,2,2,1001,500,200,
114,4010,2,1,8,1000000,1000,
115,4010,3,2,1004,1,166,
116,4010,3,2,1014,1,170,
117,4010,3,2,1003,5,100,
118,4010,3,2,1003,3,166,
119,4010,3,2,1005,5,1000,
120,4010,3,2,1006,200,500,
121,4010,3,2,1007,10,340,
122,4010,3,2,1027,30,1000,
123,4010,3,2,1030,1,200,
124,4010,3,2,1029,2,400,
125,4010,3,2,1019,5,667,
126,4010,3,2,1002,6,833,
127,4010,3,2,1003,2,250,
128,4010,3,2,3008,10,855,
129,4010,3,2,3008,25,334,
130,4010,3,2,1001,200,500,
131,4010,3,1,9,200,500,
132,4010,3,2,1001,500,200,
133,4010,3,1,8,1000000,1000,
134,4010,4,2,1004,1,166,
135,4010,4,2,1014,1,170,
136,4010,4,2,1003,5,100,
137,4010,4,2,1003,3,166,
138,4010,4,2,1005,5,1000,
139,4010,4,2,1006,200,500,
140,4010,4,2,1007,10,340,
141,4010,4,2,1027,30,1000,
142,4010,4,2,1030,1,200,
143,4010,4,2,1029,2,400,
144,4010,4,2,1019,5,667,
145,4010,4,2,1002,6,833,
146,4010,4,2,1003,2,250,
147,4010,4,2,3008,10,855,
148,4010,4,2,3008,25,334,
149,4010,4,2,1001,200,500,
150,4010,4,1,9,200,500,
151,4010,4,2,1001,500,200,
152,4010,4,1,8,1000000,1000,
