id,activityId,
1000,3025,
1001,3025,
1002,3025,
1003,3025,
1004,3025,
1005,3025,
1100,3025,
1101,3025,
1102,3025,
1103,3025,
1200,3025,
1201,3025,
1202,3025,
1203,3025,
1204,3025,
1300,3025,
1301,3025,
1302,3025,
1303,3025,
1304,3025,
1400,3025,
1401,3025,
1402,3025,
1403,3025,
1404,3025,
1500,3025,
1501,3025,
1502,3025,
1503,3025,
1504,3025,
1505,3025,
1600,3025,
1601,3025,
1602,3025,
1603,3025,
1604,3025,
1605,3025,
1606,3025,
1607,3025,
1700,3025,
1701,3025,
1702,3025,
1703,3025,
1704,3025,
1800,3025,
1801,3025,
1802,3025,
1803,3025,
1804,3025,
1805,3025,
1806,3025,
1900,3025,
1901,3025,
1902,3025,
1903,3025,
1904,3025,
1905,3025,
1906,3025,
2000,3025,
2001,3025,
2002,3025,
2003,3025,
2004,3025,
2005,3025,
2006,3025,
2100,3027,
2101,3027,
2102,3027,
2103,3027,
2200,5600,
2201,5600,
2202,5600,
3000,6111,
3001,6111,
3100,6111,
3200,6111,
3201,6111,
3202,6111,
3300,6111,
3301,6111,
3302,6111,
3400,6111,
3401,6111,
3500,6111,
3510,6111,
3520,6111,
3530,6111,
3540,6111,
3600,5600,
3601,5600,
3602,5600,
3603,5600,
3604,5600,
3610,5600,
3611,5600,
3612,5600,
3613,5600,
3620,5600,
3621,5600,
3622,5600,
3630,5600,
3631,5600,
3632,5600,
3633,5600,
3640,5600,
3641,5600,
3642,5600,
3643,5600,
