id,name,buffDetail,lv,type,funcType,force,startRound,coolDown,skillIndex,mainEffect,effects%1,effects%2,effects%3,effects%4,effects%5,effects%6,effects%7,effects%8,effects%9,effects%10,effects%11,icon,armatureId,animation,posType,posTypex,posTypey,isBlack,blackTimes,isEnergyStorage,sound,soundwait,flyShotType,flyProp,scenePosType,sceneArmatureId,sceneAnimation,sceneNoMirror,sceneBackArmatureId,sceneBackAnimation,sceneBackNoMirror,sceneMaxArmatureId,sceneMaxAnimation,sceneMaxNoMirror,skillIconHint,lastSkillid,nextSkillid,replaceSkillRate,replaceSkillId,index,palaceSkill,job,skillId,
100,s==4|普通技能,,,2,,,,,,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,s==4|普通技能,,,2,,,,,,1,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,s==4|猛虎兵魂,,1,3,,,,,,,201,,,,,,,,,,,300007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,s==4|玉龙兵魂,,1,3,,,,,,,202,,,,,,,,,,,300001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,s==4|玄龟兵魂,,1,3,,,,,,,203,,,,,,,,,,,300004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,s==4|牙刃追击,,1,3,,,,,,,204,205,,,,,,,,,,300008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,s==4|甲鳞护佑,,1,3,,,,,,,206,,,,,,,,,,,300002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,s==4|勇铠无惧,,1,3,,,,,,,207,,,,,,,,,,,300005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,s==4|天怒罚罪,,1,3,,,,,,,208,,,,,,,,,,,300009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,s==4|灵泽润物,,1,3,,,,,,,209,210,,,,,,,,,,300003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,s==4|磐岩护命,,1,3,,,,,,,211,,,,,,,,,,,300006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4126,s==2|复苏,,1,3,2,,,,,2,412601,412602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4127,s==2|天命,,1,3,2,,,,,2,412701,412702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4226,s==2|复苏,,2,3,2,,,,,2,422601,422602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4227,s==2|天命,,2,3,2,,,,,2,422701,422702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4326,s==2|复苏,,3,3,2,,,,,2,432601,432602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4327,s==2|天命,,3,3,2,,,,,2,432701,432702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426,s==2|复苏,,4,3,2,,,,,2,442601,442602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4427,s==2|天命,,4,3,2,,,,,2,442701,442702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4526,s==2|复苏,,5,3,2,,,,,2,452601,452602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4527,s==2|天命,,5,3,2,,,,,2,452701,452702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5001,s==4|君主普攻,,1,2,,,,,1,1,50011,,,,,,,,,,,300007,3007107,s==6|attack,2,-200,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
5002,s==4|君主普攻,,1,2,,,,,1,1,50021,,,,,,,,,,,300007,3007107,s==6|attack,2,-200,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
5003,s==4|君主普攻,,1,2,,,,,1,1,50031,,,,,,,,,,,300007,3007107,s==6|attack,2,-200,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
5004,s==4|君主普攻,,1,2,,,,,1,1,50041,,,,,,,,,,,300007,3007107,s==6|attack,2,-200,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
5011,s==4|纵横决荡,,1,2,3,,1,4,2,1,50111,50112,,,,,,,,,,5011001,30071001,s==8|skill1_1,6,-100,50,1,1.5,,3007121,,,,,,,,,,,300710011,s==8|skill1_1,,,,5012,,,,,,,
5012,s==4|纵横决荡,,2,2,3,,1,4,2,1,50121,50122,,,,,,,,,,5011001,30071001,s==8|skill1_1,6,-100,50,1,1.5,,3007121,,,,,,,,,,,300710011,s==8|skill1_1,,,,5013,,,,,,,
5013,s==4|纵横决荡,,3,2,3,,1,4,2,1,50131,50132,,,,,,,,,,5011001,30071001,s==8|skill1_1,6,-100,50,1,1.5,,3007121,,,,,,,,,,,300710011,s==8|skill1_1,,,,5014,,,,,,,
5014,s==4|纵横决荡,,4,2,3,,1,4,2,1,50141,50142,,,,,,,,,,5011001,30071001,s==8|skill1_1,6,-100,50,1,1.5,,3007121,,,,,,,,,,,300710011,s==8|skill1_1,,,,5015,,,,,,,
5015,s==4|纵横决荡,,5,2,3,,1,4,2,1,50151,50152,,,,,,,,,,5011001,30071001,s==8|skill1_1,6,-100,50,1,1.5,,3007121,,,,,,,,,,,300710011,s==8|skill1_1,,,,5016,,,,,,,
5016,s==4|纵横决荡,,6,2,3,,1,4,2,1,50161,50162,,,,,,,,,,5011001,30071001,s==8|skill1_1,6,-100,50,1,1.5,,3007121,,,,,,,,,,,300710011,s==8|skill1_1,,,,5017,,,,,,,
5017,s==4|纵横决荡,,7,2,3,,1,4,2,1,50171,50172,,,,,,,,,,5011001,30071001,s==8|skill1_1,6,-100,50,1,1.5,,3007121,,,,,,,,,,,300710011,s==8|skill1_1,,,,5018,,,,,,,
5018,s==4|纵横决荡,,8,2,3,,1,4,2,1,50181,50182,,,,,,,,,,5011001,30071001,s==8|skill1_1,6,-100,50,1,1.5,,3007121,,,,,,,,,,,300710011,s==8|skill1_1,,,,5019,,,,,,,
5019,s==4|纵横决荡,,9,2,3,,1,4,2,1,50191,50192,,,,,,,,,,5011001,30071001,s==8|skill1_1,6,-100,50,1,1.5,,3007121,,,,,,,,,,,300710011,s==8|skill1_1,,,,,,,,,,,
5021,s==4|远谋伟略,,1,1,,,,,,,50211,50212,50213,50214,,,,,,,,5021001,,,,,,,,,,,,,,,,,,,,,,,,,5022,,,,,,,
5022,s==4|远谋伟略,,2,1,,,,,,,50221,50222,50223,50224,,,,,,,,5021001,,,,,,,,,,,,,,,,,,,,,,,,,5023,,,,,,,
5023,s==4|远谋伟略,,3,1,,,,,,,50231,50232,50233,50234,,,,,,,,5021001,,,,,,,,,,,,,,,,,,,,,,,,,5024,,,,,,,
5024,s==4|远谋伟略,,4,1,,,,,,,50231,50232,50233,50244,,,,,,,,5021001,,,,,,,,,,,,,,,,,,,,,,,,,5025,,,,,,,
5025,s==4|远谋伟略,,5,1,,,,,,,50231,50232,50233,50254,,,,,,,,5021001,,,,,,,,,,,,,,,,,,,,,,,,,5026,,,,,,,
5026,s==4|远谋伟略,,6,1,,,,,,,50231,50232,50233,50264,,,,,,,,5021001,,,,,,,,,,,,,,,,,,,,,,,,,5027,,,,,,,
5027,s==4|远谋伟略,,7,1,,,,,,,50231,50232,50233,50274,,,,,,,,5021001,,,,,,,,,,,,,,,,,,,,,,,,,5028,,,,,,,
5028,s==4|远谋伟略,,8,1,,,,,,,50231,50232,50233,50284,,,,,,,,5021001,,,,,,,,,,,,,,,,,,,,,,,,,5029,,,,,,,
5029,s==4|远谋伟略,,9,1,,,,,,,50231,50232,50233,50294,,,,,,,,5021001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5031,s==4|霸统天下,,1,1,,,,,,,50311,50312,50313,,,,,,,,,5031001,,,,,,,,,,,,,,,,,,,,,,,,,5032,,,,,,,
5032,s==4|霸统天下,,2,1,,,,,,,50321,50322,50323,,,,,,,,,5031001,,,,,,,,,,,,,,,,,,,,,,,,,5033,,,,,,,
5033,s==4|霸统天下,,3,1,,,,,,,50331,50332,50333,,,,,,,,,5031001,,,,,,,,,,,,,,,,,,,,,,,,,5034,,,,,,,
5034,s==4|霸统天下,,4,1,,,,,,,50331,50342,50333,,,,,,,,,5031001,,,,,,,,,,,,,,,,,,,,,,,,,5035,,,,,,,
5035,s==4|霸统天下,,5,1,,,,,,,50331,50352,50333,,,,,,,,,5031001,,,,,,,,,,,,,,,,,,,,,,,,,5036,,,,,,,
5036,s==4|霸统天下,,6,1,,,,,,,50331,50362,50333,,,,,,,,,5031001,,,,,,,,,,,,,,,,,,,,,,,,,5037,,,,,,,
5037,s==4|霸统天下,,7,1,,,,,,,50331,50372,50333,,,,,,,,,5031001,,,,,,,,,,,,,,,,,,,,,,,,,5038,,,,,,,
5038,s==4|霸统天下,,8,1,,,,,,,50331,50382,50333,,,,,,,,,5031001,,,,,,,,,,,,,,,,,,,,,,,,,5039,,,,,,,
5039,s==4|霸统天下,,9,1,,,,,,,50331,50392,50333,,,,,,,,,5031001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5041,s==4|贯虹惊天,s==23|50412|50414|50416|50419,1,2,,,2,4,2,1,50510,50412,50414,50416,50419,50418,50411,50413,50415,50417,,5041001,30071005,s==8|skill2_1,2,-180,,1,1.5,,3007141,,,,,,,,,,,,,,,,5042,,,,,,,
5042,s==4|贯虹惊天,s==23|50412|50414|50416|50419,2,2,,,2,4,2,1,50520,50422,50424,50426,50429,50418,50421,50423,50425,50427,,5041001,30071005,s==8|skill2_1,2,-180,,1,1.5,,3007141,,,,,,,,,,,,,,,,5043,,,,,,,
5043,s==4|贯虹惊天,s==23|50412|50414|50416|50419,3,2,,,2,4,2,1,50530,50432,50434,50436,50439,50418,50431,50433,50435,50437,,5041001,30071005,s==8|skill2_1,2,-180,,1,1.5,,3007141,,,,,,,,,,,,,,,,5044,,,,,,,
5044,s==4|贯虹惊天,s==23|50412|50414|50416|50419,4,2,,,2,4,2,1,50540,50442,50444,50446,50449,50418,50441,50443,50445,50447,,5041001,30071005,s==8|skill2_1,2,-180,,1,1.5,,3007141,,,,,,,,,,,,,,,,5045,,,,,,,
5045,s==4|贯虹惊天,s==23|50412|50414|50416|50419,5,2,,,2,4,2,1,50550,50452,50454,50456,50459,50418,50451,50453,50455,50457,,5041001,30071005,s==8|skill2_1,2,-180,,1,1.5,,3007141,,,,,,,,,,,,,,,,5046,,,,,,,
5046,s==4|贯虹惊天,s==23|50412|50414|50416|50419,6,2,,,2,4,2,1,50560,50462,50464,50466,50469,50418,50461,50463,50465,50467,,5041001,30071005,s==8|skill2_1,2,-180,,1,1.5,,3007141,,,,,,,,,,,,,,,,5047,,,,,,,
5047,s==4|贯虹惊天,s==23|50412|50414|50416|50419,7,2,,,2,4,2,1,50570,50472,50474,50476,50479,50418,50471,50473,50475,50477,,5041001,30071005,s==8|skill2_1,2,-180,,1,1.5,,3007141,,,,,,,,,,,,,,,,5048,,,,,,,
5048,s==4|贯虹惊天,s==23|50412|50414|50416|50419,8,2,,,2,4,2,1,50580,50482,50484,50486,50489,50418,50481,50483,50485,50487,,5041001,30071005,s==8|skill2_1,2,-180,,1,1.5,,3007141,,,,,,,,,,,,,,,,5049,,,,,,,
5049,s==4|贯虹惊天,s==23|50412|50414|50416|50419,9,2,,,2,4,2,1,50590,50492,50494,50496,50499,50418,50491,50493,50495,50497,,5041001,30071005,s==8|skill2_1,2,-180,,1,1.5,,3007141,,,,,,,,,,,,,,,,,,,,,,,
5051,s==4|整军饬武,s==17|50512|50516|50518,1,2,,,2,4,2,1,50519,50512,50514,50516,50518,50511,50513,50515,50517,,,5051001,30071003,s==8|skill1_3,1,,,1,1.5,,3007122,,,,,,,,,,,,,,,,5052,,,,,,,
5052,s==4|整军饬武,s==17|50512|50516|50518,2,2,,,2,4,2,1,50529,50522,50524,50526,50528,50521,50523,50525,50527,,,5051001,30071003,s==8|skill1_3,1,,,1,1.5,,3007122,,,,,,,,,,,,,,,,5053,,,,,,,
5053,s==4|整军饬武,s==17|50512|50516|50518,3,2,,,2,4,2,1,50539,50532,50534,50536,50538,50531,50533,50535,50537,,,5051001,30071003,s==8|skill1_3,1,,,1,1.5,,3007122,,,,,,,,,,,,,,,,5054,,,,,,,
5054,s==4|整军饬武,s==17|50512|50516|50518,4,2,,,2,4,2,1,50549,50542,50544,50546,50548,50541,50543,50545,50547,,,5051001,30071003,s==8|skill1_3,1,,,1,1.5,,3007122,,,,,,,,,,,,,,,,5055,,,,,,,
5055,s==4|整军饬武,s==17|50512|50516|50518,5,2,,,2,4,2,1,50559,50552,50554,50556,50558,50551,50553,50555,50557,,,5051001,30071003,s==8|skill1_3,1,,,1,1.5,,3007122,,,,,,,,,,,,,,,,5056,,,,,,,
