id,gridNum,day,activityId,taskID,
1,1,1,3010,28064,
2,2,1,3010,28065,
3,3,1,3010,28066,
4,4,1,3010,28068,
5,5,1,3010,28069,
6,6,1,3010,28070,
7,7,1,3010,28072,
8,8,1,3010,28073,
9,9,1,3010,28075,
10,1,2,3010,28076,
11,2,2,3010,28077,
12,3,2,3010,28078,
13,4,2,3010,28079,
14,5,2,3010,28080,
15,6,2,3010,28081,
16,7,2,3010,28082,
17,8,2,3010,28083,
18,9,2,3010,28084,
19,1,3,3010,28085,
20,2,3,3010,28086,
21,3,3,3010,28087,
22,4,3,3010,28088,
23,5,3,3010,28089,
24,6,3,3010,28090,
25,7,3,3010,28091,
26,8,3,3010,28092,
27,9,3,3010,28093,
28,1,4,3010,28094,
29,2,4,3010,28095,
30,3,4,3010,28096,
31,4,4,3010,28097,
32,5,4,3010,28098,
33,6,4,3010,28099,
34,7,4,3010,28100,
35,8,4,3010,28101,
36,9,4,3010,28102,
37,1,5,3010,28103,
38,2,5,3010,28104,
39,3,5,3010,28105,
40,4,5,3010,28106,
41,5,5,3010,28107,
42,6,5,3010,28108,
43,7,5,3010,28109,
44,8,5,3010,28110,
45,9,5,3010,28111,
46,1,6,3010,28112,
47,2,6,3010,28113,
48,3,6,3010,28114,
49,4,6,3010,28115,
50,5,6,3010,28116,
51,6,6,3010,28117,
52,7,6,3010,28118,
53,8,6,3010,28119,
54,9,6,3010,28120,
55,1,7,3010,28121,
56,2,7,3010,28122,
57,3,7,3010,28123,
58,4,7,3010,28124,
59,5,7,3010,28125,
60,6,7,3010,28126,
61,7,7,3010,28127,
62,8,7,3010,28128,
63,9,7,3010,28129,
64,1,1,3090,32000,
65,2,1,3090,32001,
66,3,1,3090,32002,
67,4,1,3090,32003,
68,5,1,3090,32004,
69,6,1,3090,32005,
70,7,1,3090,32006,
71,8,1,3090,32007,
72,9,1,3090,32008,
73,1,2,3090,32009,
74,2,2,3090,32010,
75,3,2,3090,32011,
76,4,2,3090,32012,
77,5,2,3090,32013,
78,6,2,3090,32014,
79,7,2,3090,32015,
80,8,2,3090,32016,
81,9,2,3090,32017,
82,1,3,3090,32018,
83,2,3,3090,32019,
84,3,3,3090,32020,
85,4,3,3090,32021,
86,5,3,3090,32022,
87,6,3,3090,32023,
88,7,3,3090,32024,
89,8,3,3090,32025,
90,9,3,3090,32026,
91,1,4,3090,32027,
92,2,4,3090,32028,
93,3,4,3090,32029,
94,4,4,3090,32030,
95,5,4,3090,32031,
96,6,4,3090,32032,
97,7,4,3090,32033,
98,8,4,3090,32034,
99,9,4,3090,32035,
100,1,5,3090,32036,
101,2,5,3090,32037,
102,3,5,3090,32038,
103,4,5,3090,32039,
104,5,5,3090,32040,
105,6,5,3090,32041,
106,7,5,3090,32042,
107,8,5,3090,32043,
108,9,5,3090,32044,
109,1,6,3090,32045,
110,2,6,3090,32046,
111,3,6,3090,32047,
112,4,6,3090,32048,
113,5,6,3090,32049,
114,6,6,3090,32050,
115,7,6,3090,32051,
116,8,6,3090,32052,
117,9,6,3090,32053,
118,1,7,3090,32054,
119,2,7,3090,32055,
120,3,7,3090,32056,
121,4,7,3090,32057,
122,5,7,3090,32058,
123,6,7,3090,32059,
124,7,7,3090,32060,
125,8,7,3090,32061,
126,9,7,3090,32062,
