id,targetType,targetId,targetValue,systemId,items-type-1,items-id-1,items-value-1,items-type-2,items-id-2,items-value-2,items-type-3,items-id-3,items-value-3,items-type-4,items-id-4,items-value-4,items-type-5,items-id-5,items-value-5,
1,101,0,1,1010,2,1682,5,,,,,,,,,,,,,
2,101,0,3,1010,2,1682,10,,,,,,,,,,,,,
3,101,0,5,1010,2,1682,10,2,1683,1,,,,,,,,,,
4,377,0,50,1051,2,1682,5,,,,,,,,,,,,,
5,377,0,100,1051,2,1682,10,,,,,,,,,,,,,
6,377,0,300,1051,2,1682,10,,,,,,,,,,,,,
7,377,0,500,1051,2,1682,10,2,1683,1,,,,,,,,,,
8,211,0,10,1140,2,1682,10,,,,,,,,,,,,,
9,211,0,20,1140,2,1682,10,2,1683,1,,,,,,,,,,
10,532,9,500,1660,2,1682,10,,,,,,,,,,,,,
11,532,9,1000,1660,2,1682,10,,,,,,,,,,,,,
12,532,9,3000,1660,2,1682,10,2,1683,1,,,,,,,,,,
13,532,9,5000,1660,2,1682,10,2,1683,1,,,,,,,,,,
