id,equipType,castLv,unlock,equipQuiltyLimit,equipStarLimit,effects-type-1,effects-way-1,effects-value-1,effects-type-2,effects-way-2,effects-value-2,effects-type-3,effects-way-3,effects-value-3,consumes-type-1,consumes-id-1,consumes-value-1,consumes-type-2,consumes-id-2,consumes-value-2,
1000,1,0,s==5|1|5|1,6,1,,,,,,,,,,,,,,,,
1001,1,1,,6,1,1,0,500,2,0,200,2,1,100,2,1055,200,2,1056,50,
1002,1,2,,6,1,,,,,,,,,,2,1055,400,2,1056,100,
1003,1,3,,6,2,,,,,,,,,,2,1055,600,2,1056,150,
1004,1,4,,6,3,,,,,,,,,,2,1055,880,2,1056,220,
1005,1,5,,6,4,,,,,,,,,,2,1055,1280,2,1056,320,
1006,1,6,,6,5,,,,,,,,,,2,1055,1880,2,1056,470,
1007,1,7,,7,6,,,,,,,,,,,,,,,,
2000,2,0,s==5|1|5|1,6,1,,,,,,,,,,,,,,,,
2001,2,1,,6,1,1,0,500,2,0,200,1,1,100,2,1055,200,2,1056,50,
2002,2,2,,6,1,,,,,,,,,,2,1055,400,2,1056,100,
2003,2,3,,6,2,,,,,,,,,,2,1055,600,2,1056,150,
2004,2,4,,6,3,,,,,,,,,,2,1055,880,2,1056,220,
2005,2,5,,6,4,,,,,,,,,,2,1055,1280,2,1056,320,
2006,2,6,,6,5,,,,,,,,,,2,1055,1880,2,1056,470,
2007,2,7,,7,6,,,,,,,,,,,,,,,,
3000,3,0,s==5|1|5|1,6,1,,,,,,,,,,,,,,,,
3001,3,1,,6,1,1,0,500,2,0,200,2,1,100,2,1055,200,2,1056,50,
3002,3,2,,6,1,,,,,,,,,,2,1055,400,2,1056,100,
3003,3,3,,6,2,,,,,,,,,,2,1055,600,2,1056,150,
3004,3,4,,6,3,,,,,,,,,,2,1055,880,2,1056,220,
3005,3,5,,6,4,,,,,,,,,,2,1055,1280,2,1056,320,
3006,3,6,,6,5,,,,,,,,,,2,1055,1880,2,1056,470,
3007,3,7,,7,6,,,,,,,,,,,,,,,,
4000,4,0,s==5|1|5|1,6,1,,,,,,,,,,,,,,,,
4001,4,1,,6,1,1,0,500,2,0,200,1,1,100,2,1055,200,2,1056,50,
4002,4,2,,6,1,,,,,,,,,,2,1055,400,2,1056,100,
4003,4,3,,6,2,,,,,,,,,,2,1055,600,2,1056,150,
4004,4,4,,6,3,,,,,,,,,,2,1055,880,2,1056,220,
4005,4,5,,6,4,,,,,,,,,,2,1055,1280,2,1056,320,
4006,4,6,,6,5,,,,,,,,,,2,1055,1880,2,1056,470,
4007,4,7,,7,6,,,,,,,,,,,,,,,,
