activityType,name,openTime,specificTime,dropTime,duration,nextTime,rotationRule,openType,rotateType,openTimeType,relationType,limitTime,dateStartLimit,sysLimitTime,
1,s==4|任务签到,0,,0,604800,0,1,1,3,1,,,,,
2,s==6|特定任务活动,0,,0,604800,0,2,1,1,1,,,,,
3,s==6|七日登录活动,0,,0,604800,0,1,1,2,1,,,,,
4,s==4|掉落活动,0,,432000,604800,0,1,1,1,1,,,,,
5,s==3|月基金,0,,0,432000,10,2,1,1,1,,,,,
6,s==4|周末福利,0,s==1|6,0,259200,4,2,2,1,2,,,,,
7,s==4|周末锦鲤,0,s==1|6,172800,259200,4,2,2,1,2,,,,,
8,s==4|英雄崛起,0,,0,2419200,2,2,1,1,1,,,,,
9,s==4|限时抢购,0,,0,604800,0,1,1,1,1,,,,,
10,s==4|卧龙出世,0,,0,259200,0,1,1,2,1,,,,,
12,s==4|定制礼包,0,,0,259200,0,2,1,1,1,,,,,
13,s==4|铜雀游园,70,,0,604800,0,2,1,3,2,,s==1| ,,,
14,s==4|至尊礼遇,42,,0,604800,0,2,1,2,1,,s==13|-1|2022-02-18,,,
15,s==4|共度元宵,0,s==10|2021-02-26,0,604800,0,2,3,1,2,,,,,
50,s==5|全民竞技赛,0,,0,604800,0,1,1,2,2,,,,,
16,s==4|开服冲榜,0,,0,259200,0,2,1,2,2,,,,,
17,s==4|猫咪活动,98,,0,604800,0,2,1,2,2,,,,,
18,s==6|主题武将活动,0,s==10|2021-02-26,0,604800,0,2,1,2,1,,,,,
19,s==6|吕布皮肤活动,28,,0,604800,0,2,1,2,1,,,,,
20,s==6|预留皮肤活动,0,s==10|2021-04-06,0,604800,0,2,3,3,1,,,,,
21,s==4|神兵活动,14,,0,604800,9999,2,1,3,1,,,,,
22,s==4|青梅煮酒,84,,0,604800,0,2,1,2,1,,s==13|-1|2022-01-07,,,
23,s==8|五一单独开服冲榜,0,s==10|2021-04-30,0,259200,0,2,3,2,1,,,,,
24,s==4|封魔活动,56,,0,604800,0,2,1,2,1,,,,,
26,s==4|绝版商城,0,s==1|1,0,259200,0,2,7,2,2,,,,,
27,s==4|端午活动,0,s==10|2021-06-13,0,604800,0,2,3,2,2,,,,,
28,s==4|射箭活动,98,,0,604800,0,2,1,2,1,,s==13|-1|2021-08-12,,,
29,s==4|美人余香,0,s==2|15,0,259200,0,2,5,1,2,13,,,,
30,s==6|真龙转盘跨服,0,s==10|2021-06-13,604800,704800,0,2,3,2,2,,,,,
31,s==4|花露梦宵,-1,s==10|2021-06-13,0,604800,0,2,3,2,2,,,,,
32,s==4|月挽婵娟,0,s==10|2022-09-05,0,777600,0,2,3,2,2,,,,,
33,s==4|武道大会,45,,0,1209600,0,2,1,2,1,,,,,
34,s==4|华章庆典,0,s==10|2023-09-27,0,777600,0,2,3,2,2,,,,,
35,s==4|活动灯笼,0,s==10|2021-09-30,0,604800,0,2,3,2,2,,,,,
36,s==4|神兵再临,-1,s==10|2021-02-26,0,604800,56,2,1,2,1,,,,,
37,s==4|元宝周卡,0,s==10|2021-01-20,0,604800,0,2,3,2,2,,,,,
38,s==4|无效活动,0,s==10|2021-01-20,0,604800,0,2,3,2,1,,,,,
39,s==4|红颜探宝,7,,604800,604800,0,2,1,2,1,,,,,
54,s==8|红颜探宝（复刻）,21,,604800,604800,0,2,1,2,1,,,,,
40,s==4|踏浪东征,56,,0,604800,0,2,1,2,1,,s==13|-1|2021-09-09,,,
41,s==4|重阳活动,0,s==10|2021-10-09,0,259200,0,2,3,2,2,,,,,
42,s==8|踏浪东征（轮循）,112,,0,604800,49,2,1,1,1,,,,,
43,s==8|绿意盎然（轮循）,126,,0,604800,49,2,1,3,1,,s==13|-1|2022-01-02,,,
44,s==8|封魔活动（轮循）,140,,0,604800,49,2,1,1,1,,,,,
45,s==8|至尊礼遇（轮循）,154,,0,604800,49,2,1,3,1,,s==13|-1|2022-02-03,,,
46,s==8|征战日志（轮循）,7,,0,604800,35,2,1,1,1,,,,,
47,s==8|献帝密诏（轮循）,21,,0,604800,35,2,1,1,1,,,,,
48,s==8|七日演武（轮循）,35,,0,604800,35,2,1,1,1,,,,,
49,s==4|铜钱周卡,0,s==10|2021-12-10,0,604800,0,2,3,2,2,,,,,
51,s==4|愿起星辰,0,s==10|2021-10-09,0,604800,0,2,3,2,2,,,,,
52,s==4|游园惊梦,0,s==10|2021-10-09,0,604800,0,2,3,2,2,,,,,
53,s==4|千灯集市,0,s==10|2024-02-21,0,604800,0,2,3,2,2,,,,,
55,s==4|芜绿桑田,0,s==10|2021-10-09,0,604800,0,2,3,2,2,,,,,
56,s==4|花火千树,0,s==10|2021-06-25,0,604800,0,2,3,2,2,,,,,
57,s==4|仲春踏青,0,s==10|2023-04-05,0,777600,0,2,3,2,2,,,,,
58,s==4|金刚轰临,0,s==10|2021-06-25,0,604800,0,2,3,2,2,,,,,
59,s==4|超值周卡,0,s==10|2022-01-01,0,604800,0,2,3,2,2,,,,,
60,s==8|元旦红包（无效）,0,s==10|2022-02-01,0,86400,0,2,3,2,2,,,,,
61,s==4|乾坤探宝,0,s==1|0,0,604800,0,2,6,2,1,,,,,
63,s==4|诡诳妖策,0,s==10|2021-06-25,0,604800,0,2,3,2,2,,,,,
64,s==4|限购商城,0,s==10|2024-02-14,0,86400,0,2,3,2,2,,,,,
65,s==4|喜迎新春,0,s==10|2024-02-09,777600,777600,0,2,3,2,2,,,,,
66,s==4|上元明宵,0,s==10|2024-02-21,0,604800,0,2,3,2,2,,,,,
67,s==4|真龙现世,0,s==10|2021-06-25,0,604800,0,2,3,2,2,,,,,
8001,s==4|合服狂欢,0,s==1|1,0,604800,0,2,7,2,2,,,,,
8002,s==4|龙虎庆典,0,s==1|1,777600,950400,0,2,7,2,2,,,,,
68,s==4|合服预告,0,s==10|2021-03-14,0,604800,0,2,3,2,2,,,,,
70,s==8|神兵活动（复刻）,42,,0,604800,35,2,1,2,1,,,,,
71,s==4|周末活动,0,s==1|6,0,259200,4,2,2,1,2,,,,,
72,s==4|节日红包,0,s==10|2024-03-03,0,86400,0,2,3,2,2,,,,,
73,s==4|神魔临现,2,,0,86400,0,2,1,2,1,,,,,
74,s==8|乾坤探宝（轮循）,357,,0,604800,7,2,1,1,1,,,,,
75,s==4|砥兵砺伍,0,s==10|2023-04-30,0,777600,0,2,3,2,2,,,,,
76,s==8|铜雀游园（轮循）,126,,0,604800,49,2,1,1,1,,s==1| ,,,
77,s==4|神威煌雷,0,s==10|2021-06-25,0,432000,0,2,3,2,2,,,,,
78,s==4|双城之战,0,s==10|2021-05-05,0,259200,0,2,3,2,2,,,,,
79,s==4|粽情九州,0,s==10|2023-06-21,0,777600,0,2,3,2,2,,,,,
80,s==4|节日累充,0,s==10|2022-05-20,0,86400,0,2,3,2,2,,,,,
81,s==8|神兵活动（轮循）,154,,0,604800,49,2,1,1,1,,,,,
82,s==7|主题武将（新）,0,s==10|2024-03-03,0,604800,0,2,3,2,2,,,,,
