id,mainId,dateStart,dateEnd,stageStart,stageEnd,stage,rechargeNum,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,
1,1,1,14,1,3,1,200,2,1003,10,1,8,1000000,2,1001,500,
2,1,1,14,1,3,1,500,2,1516,1,1,8,1000000,2,1001,500,
3,1,1,14,1,3,1,1000,2,1468,1,2,1003,15,2,1006,8000,
4,1,1,14,1,3,1,2000,2,1468,2,2,3014,50,2,1006,20000,
5,1,1,14,1,3,1,5000,2,2128,1,2,3014,100,2,1082,60,
6,1,1,14,1,3,1,10000,2,2128,3,2,3014,100,2,1081,25,
7,1,1,14,1,3,1,20000,2,2157,1,2,3014,200,2,1081,25,
8,1,1,14,4,7,2,200,2,1003,10,1,8,1000000,2,1001,500,
9,1,1,14,4,7,2,500,2,1516,1,1,8,1000000,2,1001,500,
10,1,1,14,4,7,2,1000,2,1105,10,2,1003,15,2,1006,8000,
11,1,1,14,4,7,2,2000,2,1004,8,2,3014,50,2,1006,20000,
12,1,1,14,4,7,2,5000,2,1177,1,2,3014,100,2,1043,120,
13,1,1,14,4,7,2,10000,2,4050,1,2,3014,100,2,1044,50,
14,1,1,14,4,7,2,20000,2,6666,1,2,3014,200,2,1044,50,
15,1,15,30,1,3,1,200,2,1003,10,1,8,1000000,2,1001,500,
16,1,15,30,1,3,1,500,2,1516,1,1,8,1000000,2,1001,500,
17,1,15,30,1,3,1,1000,2,1761,1,2,1003,15,2,1006,8000,
18,1,15,30,1,3,1,2000,2,1761,2,2,3014,50,2,1006,20000,
19,1,15,30,1,3,1,5000,2,6677,1,2,3014,100,2,1036,60,
20,1,15,30,1,3,1,10000,2,6674,1,2,3014,100,2,1036,25,
21,1,15,30,1,3,1,20000,2,6675,1,2,3014,200,2,1037,25,
22,1,15,30,4,7,2,200,2,1003,10,1,8,1000000,2,1001,500,
23,1,15,30,4,7,2,500,2,1516,1,1,8,1000000,2,1001,500,
24,1,15,30,4,7,2,1000,2,1105,10,2,1003,15,2,1006,8000,
25,1,15,30,4,7,2,2000,2,1468,2,2,3014,50,2,1006,20000,
26,1,15,30,4,7,2,5000,2,6677,1,2,3014,100,2,1036,60,
27,1,15,30,4,7,2,10000,2,6674,1,2,3014,100,2,1036,25,
28,1,15,30,4,7,2,20000,2,6675,1,2,3014,200,2,1037,25,
29,3,31,45,1,3,1,200,2,1003,10,1,8,1000000,2,1001,500,
30,3,31,45,1,3,1,500,2,1516,1,1,8,1000000,2,1001,500,
31,3,31,45,1,3,1,1000,2,1761,1,2,1003,15,2,1006,8000,
32,3,31,45,1,3,1,2000,2,1761,2,2,3014,50,2,1006,20000,
33,3,31,45,1,3,1,5000,2,6677,1,2,3014,100,2,1036,60,
34,3,31,45,1,3,1,10000,2,6674,1,2,3014,100,2,1036,25,
35,3,31,45,1,3,1,20000,2,6675,1,2,3014,200,2,1037,25,
36,3,31,45,4,7,2,200,2,1003,10,1,8,1000000,2,1001,500,
37,3,31,45,4,7,2,500,2,1516,1,1,8,1000000,2,1001,500,
38,3,31,45,4,7,2,1000,2,1105,10,2,1003,15,2,1006,8000,
39,3,31,45,4,7,2,2000,2,1468,2,2,3014,50,2,1006,20000,
40,3,31,45,4,7,2,5000,2,6677,1,2,3014,100,2,1046,60,
41,3,31,45,4,7,2,10000,2,6674,1,2,3014,100,2,1045,25,
42,3,31,45,4,7,2,20000,2,6675,1,2,3014,200,2,1045,25,
43,3,46,60,1,3,1,200,2,1003,10,1,8,1000000,2,1001,500,
44,3,46,60,1,3,1,500,2,1516,1,1,8,1000000,2,1001,500,
45,3,46,60,1,3,1,1000,2,1761,1,2,1003,15,2,1006,8000,
46,3,46,60,1,3,1,2000,2,1761,2,2,3014,50,2,1006,20000,
47,3,46,60,1,3,1,5000,2,6677,1,2,3014,100,2,1036,60,
48,3,46,60,1,3,1,10000,2,6674,1,2,3014,100,2,1036,25,
49,3,46,60,1,3,1,20000,2,6675,1,2,3014,200,2,1037,25,
50,3,46,60,4,7,2,200,2,1003,10,1,8,1000000,2,1001,500,
51,3,46,60,4,7,2,500,2,1516,1,1,8,1000000,2,1001,500,
52,3,46,60,4,7,2,1000,2,1105,10,2,1003,15,2,1006,8000,
53,3,46,60,4,7,2,2000,2,1468,2,2,3014,50,2,1006,20000,
54,3,46,60,4,7,2,5000,2,6677,1,2,3014,100,2,1017,60,
55,3,46,60,4,7,2,10000,2,6674,1,2,3014,100,2,1018,25,
56,3,46,60,4,7,2,20000,2,6675,1,2,3014,200,2,1018,25,
57,4,61,90,1,3,1,200,2,1003,10,1,8,1000000,2,1001,500,
58,4,61,90,1,3,1,500,2,1516,1,1,8,1000000,2,1001,500,
59,4,61,90,1,3,1,1000,2,1761,1,2,1003,15,2,1006,8000,
60,4,61,90,1,3,1,2000,2,1761,2,2,3014,50,2,1006,20000,
61,4,61,90,1,3,1,5000,2,6677,1,2,3014,100,2,1036,60,
62,4,61,90,1,3,1,10000,2,6674,1,2,3014,100,2,1036,25,
63,4,61,90,1,3,1,20000,2,6675,1,2,3014,200,2,1037,25,
64,4,61,90,4,7,2,200,2,1003,10,1,8,1000000,2,1001,500,
65,4,61,90,4,7,2,500,2,1516,1,1,8,1000000,2,1001,500,
