lightenNum,mysticbook-type-1,mysticbook-way-1,mysticbook-value-1,
1,2,1,100,
2,1,1,100,
3,2,1,100,
4,1,1,100,
5,2,1,100,
6,1,1,100,
7,2,1,100,
8,1,1,100,
9,2,1,100,
10,1,1,100,
11,2,1,100,
12,1,1,100,
13,2,1,100,
14,1,1,100,
15,2,1,100,
16,1,1,100,
17,2,1,100,
18,1,1,100,
19,2,1,100,
20,1,1,100,
21,2,1,100,
22,1,1,100,
23,2,1,100,
24,1,1,100,
25,2,1,100,
26,1,1,100,
27,2,1,100,
28,1,1,100,
29,2,1,100,
30,1,1,100,
31,2,1,100,
32,1,1,100,
33,2,1,100,
34,1,1,100,
35,2,1,100,
36,1,1,100,
37,2,1,100,
38,1,1,100,
39,2,1,100,
40,1,1,100,
41,2,1,100,
42,1,1,100,
43,2,1,100,
44,1,1,100,
45,2,1,100,
46,1,1,100,
47,2,1,100,
48,1,1,100,
49,2,1,100,
50,1,1,100,
51,2,1,100,
52,1,1,100,
53,2,1,100,
54,1,1,100,
55,2,1,100,
56,1,1,100,
57,2,1,100,
58,1,1,100,
59,2,1,100,
60,1,1,100,
61,2,1,100,
62,1,1,100,
63,2,1,100,
64,1,1,100,
65,2,1,100,
66,1,1,100,
67,2,1,100,
68,1,1,100,
69,2,1,100,
70,1,1,100,
