lv,num,rewards-type-1,rewards-id-1,rewards-value-1,lockRewards-type-1,lockRewards-id-1,lockRewards-value-1,
0,200,,,,,,,
1,200,2,1027,15,2,1027,30,
2,200,2,1002,1,2,1003,1,
3,200,2,1005,3,2,3008,10,
4,200,2,1007,1,2,1490,1,
5,200,1,9,1000,1,9,1000,
6,200,2,1027,15,2,1027,30,
7,200,2,1007,1,2,1490,1,
8,200,2,1019,3,2,3008,10,
9,200,2,1003,1,2,1004,1,
10,200,1,9,1000,1,9,1000,
11,200,2,1027,20,2,1027,40,
12,200,2,1005,3,2,1490,1,
13,200,2,1007,1,2,1014,1,
14,200,2,1003,1,2,1004,1,
15,200,2,1519,1,2,1521,1,
16,200,2,1027,20,2,1027,40,
17,200,2,1003,1,2,1490,1,
18,200,2,1019,3,2,1014,1,
19,200,2,1004,1,2,1004,1,
20,200,2,7412,1,2,7413,1,
21,200,2,1007,1,2,1490,1,
