id,heroId,heroStar,freeReward-type-1,freeReward-id-1,freeReward-value-1,giftId,
1,24516,5,2,1001,300,29600,
2,24516,6,2,100081,1,29601,
3,24516,9,2,1004,5,29602,
4,24516,10,2,2632,1,29603,
5,24516,11,2,2631,1,29604,
6,24516,12,2,2643,1,29605,
7,24516,13,2,1024516,1,29606,
101,22515,5,2,1001,300,29607,
102,22515,6,2,100091,1,29608,
103,22515,9,2,1004,5,29609,
104,22515,10,2,2632,1,29610,
105,22515,11,2,2631,1,29611,
106,22515,12,2,2643,1,29612,
107,22515,13,2,1022515,1,29613,
201,23511,5,2,1001,300,29614,
202,23511,6,2,100001,1,29615,
203,23511,9,2,1004,5,29616,
204,23511,10,2,2632,1,29617,
205,23511,11,2,2631,1,29618,
206,23511,12,2,2643,1,29619,
207,23511,13,2,1023511,1,29620,
301,22512,5,2,1001,300,29621,
302,22512,6,2,100011,1,29622,
303,22512,9,2,1004,5,29623,
304,22512,10,2,2632,1,29624,
305,22512,11,2,2631,1,29625,
306,22512,12,2,2643,1,29626,
307,22512,13,2,1022512,1,29627,
401,21515,5,2,1001,300,29628,
402,21515,6,2,100021,1,29629,
403,21515,9,2,1004,5,29630,
404,21515,10,2,2632,1,29631,
405,21515,11,2,2631,1,29632,
406,21515,12,2,2643,1,29633,
407,21515,13,2,1021515,1,29634,
501,25518,5,2,1001,300,29635,
502,25518,6,2,100031,1,29636,
503,25518,9,2,1004,5,29637,
504,25518,10,2,2632,1,29638,
505,25518,11,2,2631,1,29639,
506,25518,12,2,2643,1,29640,
507,25518,13,2,1025518,1,29641,
601,24518,5,2,1001,300,29642,
602,24518,6,2,100041,1,29643,
603,24518,9,2,1004,5,29644,
604,24518,10,2,2632,1,29645,
605,24518,11,2,2631,1,29646,
606,24518,12,2,2643,1,29647,
607,24518,13,2,1024518,1,29648,
701,25516,5,2,1001,300,29649,
702,25516,6,2,100051,1,29650,
703,25516,9,2,1004,5,29651,
704,25516,10,2,2632,1,29652,
705,25516,11,2,2631,1,29653,
706,25516,12,2,2643,1,29654,
707,25516,13,2,1025516,1,29655,
801,24517,5,2,1001,300,29656,
802,24517,6,2,100071,1,29657,
803,24517,9,2,1004,5,29658,
804,24517,10,2,2632,1,29659,
805,24517,11,2,2631,1,29660,
806,24517,12,2,2643,1,29661,
807,24517,13,2,1024517,1,29662,
901,25517,5,2,1001,300,29663,
902,25517,6,2,100061,1,29664,
903,25517,9,2,1004,5,29665,
904,25517,10,2,2632,1,29666,
905,25517,11,2,2631,1,29667,
906,25517,12,2,2643,1,29668,
907,25517,13,2,1025517,1,29669,
1001,24504,5,2,1001,300,29963,
1002,24504,6,2,2541,1,29964,
1003,24504,7,2,1004,3,29965,
1004,24504,8,2,1006,1000,29966,
1005,24504,9,2,4030,1,29967,
1006,24504,10,2,2632,1,29968,
1101,25515,5,2,1001,300,29969,
1102,25515,6,2,2541,1,29970,
1103,25515,7,2,1004,3,29971,
1104,25515,8,2,1006,1000,29972,
1105,25515,9,2,4030,1,29973,
1106,25515,10,2,2632,1,29974,
1201,21508,5,2,1001,300,29945,
1202,21508,6,2,2541,1,29946,
1203,21508,7,2,1004,3,29947,
1204,21508,8,2,1006,1000,29948,
1205,21508,9,2,4030,1,29949,
1206,21508,10,2,2632,1,29950,
1301,22508,5,2,1001,300,29951,
1302,22508,6,2,2541,1,29952,
1303,22508,7,2,1004,3,29953,
1304,22508,8,2,1006,1000,29954,
1305,22508,9,2,4030,1,29955,
1306,22508,10,2,2632,1,29956,
1401,23510,5,2,1001,300,29957,
1402,23510,6,2,2541,1,29958,
1403,23510,7,2,1004,3,29959,
1404,23510,8,2,1006,1000,29960,
1405,23510,9,2,4030,1,29961,
1406,23510,10,2,2632,1,29962,
1501,26501,5,2,1001,300,29670,
1502,26501,6,2,100101,1,29671,
1503,26501,9,2,1004,5,29672,
1504,26501,10,2,2632,1,29673,
1505,26501,11,2,2631,1,29674,
1506,26501,12,2,2643,1,29675,
1507,26501,13,2,1026501,1,29676,
1601,21516,5,2,1001,300,29677,
1602,21516,6,2,100111,1,29678,
1603,21516,9,2,1004,5,29679,
1604,21516,10,2,2632,1,29680,
1605,21516,11,2,2631,1,29681,
1606,21516,12,2,2643,1,29682,
1607,21516,13,2,1021516,1,29683,
1701,26502,5,2,1001,300,30730,
1702,26502,6,2,100121,1,30731,
1703,26502,9,2,1004,5,30732,
1704,26502,10,2,2632,1,30733,
1705,26502,11,2,2631,1,30734,
1706,26502,12,2,2643,1,30735,
1707,26502,13,2,1026502,1,30736,
1801,26503,5,2,1001,300,30904,
1802,26503,6,2,100131,1,30905,
1803,26503,9,2,1004,5,30906,
1804,26503,10,2,2632,1,30907,
1805,26503,11,2,2631,1,30908,
1806,26503,12,2,2643,1,30909,
1807,26503,13,2,1026503,1,30910,
1901,26504,5,2,1001,300,30991,
1902,26504,6,2,100141,1,30992,
1903,26504,9,2,1004,5,30993,
1904,26504,10,2,2632,1,30994,
1905,26504,11,2,2631,1,30995,
1906,26504,12,2,2643,1,30996,
1907,26504,13,2,1026504,1,30997,
2001,26505,5,2,1001,300,31058,
2002,26505,6,2,100151,1,31059,
2003,26505,9,2,1004,5,31060,
2004,26505,10,2,2632,1,31061,
2005,26505,11,2,2631,1,31062,
2006,26505,12,2,2643,1,31063,
2007,26505,13,2,1026505,1,31064,
