id,autoReset,itemType,itemId,combineNum,resourceType,resourceId,disPrice,buyLimit,sort,discount,
1,4,2,1209,1,1,9,100,50,14,,
2,4,2,1210,1,1,9,300,10,13,,
3,4,2,19834,1,2,1207,1000,1,12,,
4,4,2,1003,1,2,1207,400,10,10,,
5,4,2,1004,1,2,1207,1200,2,9,,
6,4,2,1030,1,2,1207,400,5,8,,
7,4,2,1029,1,2,1207,200,10,7,,
8,4,2,1027,30,2,1207,200,10,6,,
9,4,2,4030,1,2,1207,6000,1,5,,
10,4,2,1001,100,2,1207,200,,4,,
11,4,2,1006,100,2,1207,200,,3,,
12,4,1,8,1000,2,1207,1,,2,,
13,4,1,10,200,2,1207,1,,1,,
14,4,2,19589,1,2,1207,2000,1,11,,
