boxLv,breachLv%1,breachLv%2,breachLv%3,breachLv%4,breachLv%5,breachLv%6,breachLv%7,breachLv%8,breachLv%9,breachLv%10,breachLv%11,breachLv%12,breachLv%13,breachLv%14,breachLv%15,breachLv%16,breachLv%17,breachLv%18,breachLv%19,breachLv%20,breachLv%21,
1,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,25,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,0,25,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,0,0,25,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,0,0,0,25,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,0,0,0,0,25,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,0,0,0,0,0,25,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,25,50,25,0,0,0,0,0,0,0,0,0,0,0,0,
9,0,0,0,0,0,0,0,25,50,25,0,0,0,0,0,0,0,0,0,0,0,
10,0,0,0,0,0,0,0,0,25,50,25,0,0,0,0,0,0,0,0,0,0,
11,0,0,0,0,0,0,0,0,0,25,50,25,0,0,0,0,0,0,0,0,0,
12,0,0,0,0,0,0,0,0,0,0,25,50,25,0,0,0,0,0,0,0,0,
13,0,0,0,0,0,0,0,0,0,0,0,25,50,25,0,0,0,0,0,0,0,
14,0,0,0,0,0,0,0,0,0,0,0,0,25,50,25,0,0,0,0,0,0,
15,0,0,0,0,0,0,0,0,0,0,0,0,0,25,50,25,0,0,0,0,0,
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,50,25,0,0,0,0,
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,50,25,0,0,0,
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,50,25,0,0,
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,50,25,0,
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,50,25,
