id,activityId,wheel,item-type-1,item-id-1,item-value-1,weight,
1,3013,1,2,1001,100,20,
2,3013,1,2,1002,3,20,
3,3013,1,2,3008,5,15,
4,3013,1,2,3002,30,20,
5,3013,1,1,10,300000,20,
6,3013,1,2,1006,200,20,
7,3013,1,2,1004,1,5,
8,3013,1,2,1005,10,20,
9,3013,2,2,1003,1,20,
10,3013,2,2,1005,8,20,
11,3013,2,2,1004,1,5,
12,3013,2,2,1001,150,20,
13,3013,2,2,3002,30,20,
14,3013,2,2,1007,5,20,
15,3013,2,2,1029,5,10,
16,3013,2,2,1037,1,20,
17,3013,3,1,9,100,20,
18,3013,3,2,1077,20,20,
19,3013,3,1,8,750000,20,
20,3013,3,2,1003,1,20,
21,3013,3,2,1044,4,5,
22,3013,3,2,3008,5,10,
23,3013,3,2,3002,30,20,
24,3013,3,2,1001,150,20,
25,3013,4,2,1005,8,20,
26,3013,4,2,1003,1,20,
27,3013,4,2,1019,10,20,
28,3013,4,2,1030,1,5,
29,3013,4,2,1004,1,5,
30,3013,4,1,8,750000,20,
31,3013,4,1,9,100,20,
32,3013,4,1,10,300000,20,
33,3013,5,2,1007,5,20,
34,3013,5,2,1014,1,5,
35,3013,5,2,1011,10,20,
36,3013,5,2,1077,20,20,
37,3013,5,2,1006,200,20,
38,3013,5,2,1019,10,20,
39,3013,5,2,1044,4,5,
40,3013,5,2,1004,1,5,
41,3013,6,1,8,750000,20,
42,3013,6,1,9,100,20,
43,3013,6,1,10,300000,20,
44,3013,6,2,1005,8,20,
45,3013,6,2,1029,10,5,
46,3013,6,2,1507,1,20,
47,3013,6,2,1008,5,20,
48,3013,6,2,1003,1,20,
49,3013,7,2,1001,200,20,
50,3013,7,2,3008,10,5,
51,3013,7,2,3002,30,20,
52,3013,7,2,1019,10,20,
53,3013,7,2,1077,20,20,
54,3013,7,2,1004,1,5,
55,3013,7,2,1007,6,20,
56,3013,7,1,9,100,20,
100,3100,1,2,1001,100,20,
101,3100,1,2,1002,3,20,
102,3100,1,2,3008,5,15,
103,3100,1,2,3002,30,20,
104,3100,1,1,10,300000,20,
105,3100,1,2,1006,200,20,
106,3100,1,2,1004,1,5,
107,3100,1,2,1005,10,20,
108,3100,2,2,1003,1,20,
109,3100,2,2,1005,8,20,
110,3100,2,2,1004,1,5,
111,3100,2,2,1001,150,20,
112,3100,2,2,3002,30,20,
113,3100,2,2,1007,5,20,
114,3100,2,2,1029,5,10,
115,3100,2,2,1037,1,20,
116,3100,3,1,9,100,20,
117,3100,3,2,1077,20,20,
118,3100,3,1,8,750000,20,
119,3100,3,2,1003,1,20,
120,3100,3,2,1044,4,5,
121,3100,3,2,3008,5,10,
122,3100,3,2,3002,30,20,
123,3100,3,2,1001,150,20,
124,3100,4,2,1005,8,20,
125,3100,4,2,1003,1,20,
126,3100,4,2,1019,10,20,
127,3100,4,2,1030,1,5,
128,3100,4,2,1004,1,5,
129,3100,4,1,8,750000,20,
130,3100,4,1,9,100,20,
131,3100,4,1,10,300000,20,
132,3100,5,2,1007,5,20,
133,3100,5,2,1014,1,5,
134,3100,5,2,1011,10,20,
135,3100,5,2,1077,20,20,
136,3100,5,2,1006,200,20,
137,3100,5,2,1019,10,20,
138,3100,5,2,1044,4,5,
139,3100,5,2,1004,1,5,
140,3100,6,1,8,750000,20,
141,3100,6,1,9,100,20,
142,3100,6,1,10,300000,20,
143,3100,6,2,1005,8,20,
144,3100,6,2,1029,10,5,
145,3100,6,2,1507,1,20,
146,3100,6,2,1008,5,20,
147,3100,6,2,1003,1,20,
148,3100,7,2,1001,200,20,
149,3100,7,2,3008,10,5,
150,3100,7,2,3002,30,20,
151,3100,7,2,1019,10,20,
152,3100,7,2,1077,20,20,
153,3100,7,2,1004,1,5,
154,3100,7,2,1007,6,20,
155,3100,7,1,9,100,20,
