level,battleStage,battleId,DamageValue,nextId,levelReward-type-1,levelReward-id-1,levelReward-value-1,
1,1,121001,200000000,2,2,1007,1,
2,1,121002,400000000,3,2,1001,200,
3,1,121003,600000000,4,2,1006,150,
4,1,121004,800000000,5,2,1027,20,
5,1,121005,1000000000,6,1,8,100000,
6,1,121006,1500000000,7,1,10,40000,
7,1,121007,2100000000,8,1,9,50,
8,1,121008,2800000000,9,2,1077,20,
9,1,121009,3700000000,10,2,1005,2,
10,1,121011,4700000000,11,2,1003,1,
11,2,121012,5800000000,12,2,1007,2,
12,2,121013,7000000000,13,2,1001,300,
13,2,121014,10000000000,14,2,1006,200,
14,2,121015,12000000000,15,2,1027,20,
15,2,121021,15000000000,16,2,1003,1,
16,2,121022,20000000000,17,1,8,500000,
17,2,121023,30000000000,18,1,10,200000,
18,2,121024,45000000000,19,2,1077,20,
19,2,121025,60000000000,20,1,9,50,
20,2,121026,80000000000,21,2,1014,1,
21,3,121027,110000000000,22,1,8,1000000,
22,3,121028,150000000000,23,1,10,400000,
23,3,121029,200000000000,24,2,1007,2,
24,3,121030,240000000000,25,2,1001,300,
25,3,121031,280000000000,26,2,1006,200,
26,3,121032,300000000000,27,2,1027,20,
27,3,121033,300000000000,28,1,9,50,
28,3,121034,300000000000,29,2,1003,2,
29,3,121035,300000000000,30,2,1075,1,
30,3,121036,300000000000,0,2,1004,1,
