id,minRank,maxRank,floor,items-type-1,items-id-1,items-value-1,items-type-2,items-id-2,items-value-2,items-type-3,items-id-3,items-value-3,items-type-4,items-id-4,items-value-4,items-type-5,items-id-5,items-value-5,items-type-6,items-id-6,items-value-6,
1001,1,1,1,1,85,500,2,6556,30,,,,,,,,,,,,,
1002,2,2,1,1,85,475,2,6556,30,,,,,,,,,,,,,
1003,3,3,1,1,85,450,2,6556,30,,,,,,,,,,,,,
1004,4,10,1,1,85,425,2,6556,30,,,,,,,,,,,,,
1005,11,30,1,1,85,400,2,6556,30,,,,,,,,,,,,,
1006,31,60,1,1,85,375,2,6556,30,,,,,,,,,,,,,
1007,61,100,1,1,85,350,2,6556,30,,,,,,,,,,,,,
2001,1,1,2,1,85,550,2,6556,30,,,,,,,,,,,,,
2002,2,2,2,1,85,525,2,6556,30,,,,,,,,,,,,,
2003,3,3,2,1,85,500,2,6556,30,,,,,,,,,,,,,
2004,4,10,2,1,85,475,2,6556,30,,,,,,,,,,,,,
2005,11,30,2,1,85,450,2,6556,30,,,,,,,,,,,,,
2006,31,60,2,1,85,425,2,6556,30,,,,,,,,,,,,,
2007,61,100,2,1,85,400,2,6556,30,,,,,,,,,,,,,
3001,1,1,3,1,85,650,2,6556,30,,,,,,,,,,,,,
3002,2,2,3,1,85,625,2,6556,30,,,,,,,,,,,,,
3003,3,3,3,1,85,600,2,6556,30,,,,,,,,,,,,,
3004,4,10,3,1,85,575,2,6556,30,,,,,,,,,,,,,
3005,11,30,3,1,85,550,2,6556,30,,,,,,,,,,,,,
3006,31,60,3,1,85,525,2,6556,30,,,,,,,,,,,,,
3007,61,100,3,1,85,500,2,6556,30,,,,,,,,,,,,,
4001,1,1,4,1,85,750,2,6556,30,,,,,,,,,,,,,
4002,2,2,4,1,85,725,2,6556,30,,,,,,,,,,,,,
4003,3,3,4,1,85,700,2,6556,30,,,,,,,,,,,,,
4004,4,10,4,1,85,675,2,6556,30,,,,,,,,,,,,,
4005,11,30,4,1,85,650,2,6556,30,,,,,,,,,,,,,
4006,31,50,4,1,85,625,2,6556,30,,,,,,,,,,,,,
4007,51,100,4,1,85,600,2,6556,30,,,,,,,,,,,,,
5001,1,1,5,1,85,850,2,6556,30,,,,,,,,,,,,,
5002,2,2,5,1,85,825,2,6556,30,,,,,,,,,,,,,
5003,3,3,5,1,85,800,2,6556,30,,,,,,,,,,,,,
5004,4,10,5,1,85,775,2,6556,30,,,,,,,,,,,,,
5005,11,30,5,1,85,750,2,6556,30,,,,,,,,,,,,,
5006,31,50,5,1,85,725,2,6556,30,,,,,,,,,,,,,
5007,51,100,5,1,85,700,2,6556,30,,,,,,,,,,,,,
6001,1,1,6,1,85,1000,2,6556,30,,,,,,,,,,,,,
6002,2,2,6,1,85,975,2,6556,30,,,,,,,,,,,,,
6003,3,3,6,1,85,950,2,6556,30,,,,,,,,,,,,,
6004,4,10,6,1,85,925,2,6556,30,,,,,,,,,,,,,
6005,11,30,6,1,85,900,2,6556,30,,,,,,,,,,,,,
6006,31,50,6,1,85,875,2,6556,30,,,,,,,,,,,,,
6007,51,9999,6,1,85,850,2,6556,30,,,,,,,,,,,,,
