id,arrayId,campType,property-type-1,property-way-1,property-value-1,property-type-2,property-way-2,property-value-2,property-type-3,property-way-3,property-value-3,property-type-4,property-way-4,property-value-4,
1,1001,1,2,1,350,1,1,350,3,1,350,4,0,8,
2,1001,2,2,1,225,1,1,225,3,1,225,4,0,4,
3,1001,3,2,1,225,1,1,225,3,1,225,4,0,4,
4,1002,1,2,1,350,1,1,350,3,1,350,4,0,8,
5,1002,2,2,1,225,1,1,225,3,1,225,4,0,4,
6,1002,3,2,1,225,1,1,225,3,1,225,4,0,4,
7,1003,1,2,1,350,1,1,350,3,1,350,4,0,8,
8,1003,2,2,1,225,1,1,225,3,1,225,4,0,4,
9,1003,3,2,1,225,1,1,225,3,1,225,4,0,4,
10,1004,1,2,1,225,1,1,225,3,1,225,4,0,4,
11,1004,2,2,1,225,1,1,225,3,1,225,4,0,4,
12,1004,3,2,1,225,1,1,225,3,1,225,4,0,4,
13,1005,1,2,1,225,1,1,225,3,1,225,4,0,4,
14,1005,2,2,1,225,1,1,225,3,1,225,4,0,4,
15,1005,3,2,1,225,1,1,225,3,1,225,4,0,4,
16,1006,1,2,1,225,1,1,225,3,1,225,4,0,4,
17,1006,2,2,1,225,1,1,225,3,1,225,4,0,4,
18,1006,3,2,1,225,1,1,225,3,1,225,4,0,4,
19,1007,1,2,1,105,1,1,105,3,1,105,4,0,3,
20,1007,2,2,1,105,1,1,105,3,1,105,4,0,3,
21,1007,3,2,1,105,1,1,105,3,1,105,4,0,3,
