skillId,heroId,level,
2650151,26501,1,
2650152,26501,2,
2650153,26501,3,
2650154,26501,4,
2650155,26501,5,
2650156,26501,6,
2650157,26501,7,
2650158,26501,8,
2650159,26501,9,
2650251,26502,1,
2650252,26502,2,
2650253,26502,3,
2650254,26502,4,
2650255,26502,5,
2650256,26502,6,
2650257,26502,7,
2650258,26502,8,
2650259,26502,9,
2650351,26503,1,
2650352,26503,2,
2650353,26503,3,
2650354,26503,4,
2650355,26503,5,
2650356,26503,6,
2650357,26503,7,
2650358,26503,8,
2650359,26503,9,
2650451,26504,1,
2650452,26504,2,
2650453,26504,3,
2650454,26504,4,
2650455,26504,5,
2650456,26504,6,
2650457,26504,7,
2650458,26504,8,
2650459,26504,9,
2650551,26505,1,
2650552,26505,2,
2650553,26505,3,
2650554,26505,4,
2650555,26505,5,
2650556,26505,6,
2650557,26505,7,
2650558,26505,8,
2650559,26505,9,
