id,targets-targetType-1,targets-targetId-1,targets-targetValue-1,ToSystemFunId,taskDesc,rewards-type-1,rewards-id-1,rewards-value-1,
1011,401,0,2,1650,s==7|征战通关第2章,1,9,50,
1012,201,0,5,1650,s==6|君主达到5级,1,9,50,
1013,204,20,1,1200,s==9|1个武将到达20级,1,9,50,
1014,403,3,1,1640,s==8|进行1次高级寻访,1,9,50,
1021,401,0,20,1650,s==8|征战通关第20章,1,9,50,
1022,201,0,10,1650,s==7|君主达到10级,1,9,50,
1023,104,0,3,1110,s==6|校场挑战3次,1,9,50,
1024,110,0,1,1650,s==8|接受1次奇遇任务,1,9,50,
1031,401,0,30,1650,s==8|征战通关第30章,1,9,50,
1032,107,0,1,1410,s==8|挑战1次军团敌将,1,9,50,
1033,201,0,15,1650,s==7|君主达到15级,1,9,50,
1034,308,0,10,1130,s==8|通天塔通关10关,1,9,50,
1041,401,0,50,1650,s==8|征战通关第50章,1,9,50,
1042,201,0,20,1650,s==7|君主达到20级,1,9,50,
1043,105,0,1,1650,s==8|进行1次快速作战,1,9,50,
1044,402,2,3,1810,s==8|神秘商店购物3次,1,9,50,
1051,401,0,70,1650,s==8|征战通关第70章,1,9,50,
1052,201,0,25,1650,s==7|君主达到25级,1,9,50,
1053,216,0,50000,1200,s==5|总战力5万,1,9,50,
1054,519,5,1,1630,s==8|合成1个5星武将,1,9,50,
