id,itemType,itemId,combineNum,resourceType,resourceId,disPrice,buyLimit,autoReset,worldlvLimit,lvLimit,lvLimitEx,vipLimit,desc,oriPrice,discount,sort,
1,2,1103,1,1,60,1100,50,2,,,,,s==13|Đá Nung Luyện,,,10,
2,2,1036,1,1,60,1100,50,2,,,,,s==14|Đả Khổng Thạch,,,9,
3,2,1104,1,1,60,5500,10,2,,,,,s==18|Bảo Thạch Tinh Hoa,,,8,
4,2,1037,1,1,60,5500,10,2,,,,,s==13|Thôi Hỏa Ngọc,,,7,
5,2,1900,1,1,60,3000,20,2,,,,,s==26|Gói Quà Ngọc Tự Chọn Cấp 1,,,13,
6,2,1760,1,1,60,21900,4,2,,,,,s==26|Gói Quà Ngọc Tự Chọn Cấp 2,,,12,
7,2,1761,1,1,60,107400,2,2,,,,,s==26|Gói Quà Ngọc Tự Chọn Cấp 3,,,11,
8,2,1006,1000,1,60,27360,3,2,,,,,s==13|Ngọc Long Hồn,,,6,
9,2,21503,50,1,60,68000,1,3,,,,,s==12|Mảnh Chân Cơ,,,5,
10,2,22509,50,1,60,68000,1,3,,,,,s==12|Mảnh Mã Siêu,,,4,
11,2,23503,50,1,60,68000,1,3,,,,,s==20|Mảnh Tướng Tiểu Kiều,,,3,
12,2,24513,50,1,60,68000,1,3,,,,,s==30|Thần·Mảnh Ghép Trương Tinh Sắc,,,2,
13,2,25507,50,1,60,68000,1,3,,,,,s==24|Ma·Điêu Thuyền Tủy Phiến,,,1,
