id,moncakeId,Value,MaxPiont,WaitTime,stage-score-1,stage-time-1,stage-face-1,stage-score-2,stage-time-2,stage-face-2,stage-score-3,stage-time-3,stage-face-3,stage-score-4,stage-time-4,stage-face-4,Visitorreward-Type-1,Visitorreward-id-1,Visitorreward-value-1,Visitorreward-Type-2,Visitorreward-id-2,Visitorreward-value-2,
1,,1000,14,20,5,5,6250000,4,10,6250001,3,15,6250002,2,20,6250003,2,1002,1,1,8,100000,
2,,1000,14,20,5,5,6250000,4,10,6250001,3,15,6250002,2,20,6250003,2,1002,1,1,8,100000,
3,,1000,14,20,5,5,6250000,4,10,6250001,3,15,6250002,2,20,6250003,2,1002,1,1,8,100000,
4,4,300,28,20,10,5,6250000,8,10,6250001,6,15,6250002,4,20,6250003,2,1004,1,1,8,200000,
5,,1000,14,20,5,5,6250000,4,10,6250001,3,15,6250002,2,20,6250003,2,1002,1,1,8,100000,
6,,1000,14,20,5,5,6250000,4,10,6250001,3,15,6250002,2,20,6250003,2,1002,1,1,8,100000,
7,,1000,14,20,5,5,6250000,4,10,6250001,3,15,6250002,2,20,6250003,2,1002,1,1,8,100000,
8,,1000,14,20,5,5,6250000,4,10,6250001,3,15,6250002,2,20,6250003,2,1002,1,1,8,100000,
9,,1000,14,20,5,5,6250000,4,10,6250001,3,15,6250002,2,20,6250003,2,1002,1,1,8,100000,
10,5,300,28,20,10,5,6250000,8,10,6250001,6,15,6250002,4,20,6250003,2,6980,1,1,8,200000,
