id,type,itemId,num,totalNum,desc,
1,1,8,50000000,1000000000,s==8|Đồng Bạc,
2,1,9,10000,50000,s==3|KNB,
3,2,1001,20000,500000,s==13|Đột Phá Thạch,
4,2,1002,100,500,s==26|Lệnh Tầm Bảo Thường Thường,
5,2,1003,100,500,s==20|Lệnh Tầm Bảo Cao Cấp,
6,2,1004,100,500,s==12|Tụ Hiền Lệnh,
7,2,1009,200,50000,s==12|Hồn Phụ Kiện,
8,2,1010,200,50000,s==25|Phối Sức Tinh Luyện Thạch,
9,2,1011,200,50000,s==24|Thạch Thăng Sao Phụ Kiện,
10,2,4010,10,50,s==13|Hiệu Ấn Đô Úy,
11,2,4020,10,30,s==15|Hiệu Ấn Hiệu Úy,
12,2,4030,10,20,s==19|Trung Lang Tướng Ấn,
13,2,4040,10,10,s==18|Lãnh Quân Tướng Ấn,
14,2,4050,10,3,s==17|Đại Tướng Quân Ấn,
15,2,4051,10,3,s==17|Đại Tướng Quân Ấn,
16,2,4052,10,5,s==17|Đại Tướng Quân Ấn,
17,2,4060,10,5,s==16|Kiếm Hùng Kim Ấn,
18,2,1012,200,2000,s==29|Thạch Rèn Bảo Vật Chuyên Dụng,
19,2,1013,200,2000,s==23|Hồn Bảo Vật Chuyên Dụng,
20,2,1014,200,2000,s==21|Đoạt Bảo Lệnh Cao Cấp,
21,2,1015,200,2000,s==24|CÔNG THÀNH ĐOẠT BẢO LỆNH,
22,2,1016,200,2000,s==21|Thạch Truyền Thừa Phù,
23,2,1017,200,2000,s==25|Tướng Quân Phó Tướng Lệnh,
24,2,1018,200,2000,s==33|Tướng Quân Phó Tướng Cấp Cao Lệnh,
25,2,1019,200,2000,s==20|KỲ NGỘ LÀM MỚI QUYỂN,
26,2,1020,50000,100000,s==17|Tinh Hoa Tướng Ấn,
27,2,1021,1000,2000,s==25|Thạch Tinh Luyện Tướng Ấn,
28,2,1022,1000,5000,s==13|TƯỚNG QUÂN ẤN,
29,2,1023,1000,5000,s==17|KẾT TINH NGỌC BỘI,
30,2,1024,1000,5000,s==28|CHUYÊN THUỘC TẨY LUYỆN THẠCH,
31,2,1025,1000,5000,s==11|ĐỘ KANG TỬU,
32,2,1026,200,2000,s==19|Tinh Hoa Thời Trang,
33,2,1027,200,2000,s==26|Thần Binh Tinh Luyện Thạch,
34,2,1028,200,2000,s==23|THẦN BINH KỸ NĂNG THẠCH,
35,2,1029,200,2000,s==24|Thạch Tiến Hóa Thần Binh,
36,2,1030,200,2000,s==13|Hồn Thần Binh,
37,2,1031,200,2000,s==20|Thần Binh Ngọc Thạch,
38,2,1032,200,2000,s==18|THẦN TƯỚNG CHI HỒN,
39,2,1033,200,2000,s==15|Lệnh Thần Tướng,
40,2,1034,200,2000,s==15|KỲ MƯU TINH HOA,
41,2,1035,200,2000,s==15|KỲ MƯU TINH HỒN,
42,2,1036,200,2000,s==6|Dự Trữ,
43,2,1037,200,2000,s==6|Dự Trữ,
