id,dateStart,dateEnd,excLibId,excHeroId,desc,probability,
1,1,-1,14,21401,s==6|四星魏国武将,2500,
2,1,-1,14,21402,,2500,
3,1,-1,14,21403,,2500,
4,1,-1,14,21404,,2500,
5,1,-1,15,21405,s==10|五星魏国武将（普通）,600,
6,1,-1,15,21501,,600,
7,1,-1,15,21502,,600,
8,1,-1,15,21503,,600,
9,1,-1,15,21504,s==10|五星魏国武将（精英）,600,
10,1,-1,15,21505,,800,
11,1,-1,15,21507,,300,
12,1,-1,15,21508,,200,
13,1,-1,15,21510,,600,
14,1,-1,15,21512,,200,
15,1,-1,24,22402,s==6|四星蜀国武将,2500,
16,1,-1,24,22403,,2500,
17,1,-1,24,22404,,2500,
18,1,-1,24,22405,,2500,
19,1,-1,25,22401,,600,
20,1,-1,25,22502,s==10|五星蜀国武将（精英）,300,
21,1,-1,25,22504,,200,
22,1,-1,25,22505,,600,
23,1,-1,25,22507,,200,
24,1,-1,25,22508,,600,
25,1,-1,25,22509,,600,
26,1,-1,25,22510,,600,
27,1,-1,25,22511,,600,
28,1,-1,34,23401,s==6|四星吴国武将,2500,
29,1,-1,34,23402,,2500,
30,1,-1,34,23403,,2500,
31,1,-1,34,23404,,2500,
32,1,-1,35,23405,,600,
33,1,-1,35,23502,s==10|五星吴国武将（普通）,600,
34,1,-1,35,23503,s==10|五星吴国武将（精英）,600,
35,1,-1,35,23504,,600,
36,1,-1,35,23506,,200,
37,1,-1,35,23507,,600,
38,1,-1,35,23508,,600,
39,1,-1,35,23510,,200,
40,1,-1,35,23513,,600,
