id,activityID,gridId,gridType,battleId,reward-type-1,reward-id-1,reward-value-1,reward-type-2,reward-id-2,reward-value-2,strikereward-type-1,strikereward-id-1,strikereward-value-1,strikereward-type-2,strikereward-id-2,strikereward-value-2,
1,4000,1,1,,,,,,,,,,,,,,
2,4000,2,1,,1,8,1000000,,,,,,,,,,
3,4000,3,1,,2,1003,1,,,,,,,,,,
4,4000,4,1,,2,1001,100,,,,,,,,,,
5,4000,5,1,8015,2,1251,3,2,1253,1,2,1003,1,2,1001,200,
6,4000,6,1,,1,10,400000,,,,,,,,,,
7,4000,7,1,,2,1008,40,,,,,,,,,,
8,4000,8,1,,2,1005,5,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,,,,
9,4000,9,1,,2,1006,200,,,,,,,,,,
10,4000,10,1,8016,2,1251,3,2,1253,1,2,1003,1,2,1001,200,
11,4000,11,1,,2,1001,200,,,,,,,,,,
12,4000,12,1,,2,1019,3,,,,,,,,,,
13,4000,13,1,,2,1003,1,,,,,,,,,,
14,4000,14,1,,2,1027,50,,,,,,,,,,
15,4000,15,1,,1,8,800000,,,,,,,,,,
16,4000,16,1,,2,3002,30,,,,,,,,,,
17,4000,17,1,,2,1030,1,,,,,,,,,,
18,4000,18,1,,2,1006,200,,,,,,,,,,
19,4000,19,1,,2,3008,10,,,,,,,,,,
20,4000,20,1,,1,10,400000,,,,,,,,,,
21,4000,21,1,,2,1077,20,,,,,,,,,,
22,4000,22,1,,2,1014,1,,,,,,,,,,
23,4000,23,1,,2,1036,1,,,,,,,,,,
24,4000,24,1,8017,2,1251,3,2,1253,2,2,1003,1,2,1001,200,
25,4000,25,1,,2,1027,50,,,,,,,,,,
26,4000,26,1,,2,1019,5,,,,,,,,,,
27,4000,27,1,,2,1005,3,,,,,,,,,,
28,4000,28,1,8018,2,1251,3,2,1253,2,2,1003,1,2,1001,200,
29,4000,29,1,,2,1004,1,,,,,,,,,,
30,4000,30,1,,2,1077,30,,,,,,,,,,
31,4000,31,1,,2,3008,10,,,,,,,,,,
32,4000,32,1,8019,2,1251,3,2,1253,2,2,1003,1,2,1001,200,
33,4000,33,1,,2,1003,1,,,,,,,,,,
34,4000,34,2,8020,2,1251,5,2,1253,3,,,,,,,
35,4010,1,1,,,,,,,,,,,,,,
36,4010,2,1,,1,8,1000000,,,,,,,,,,
37,4010,3,1,,2,1003,1,,,,,,,,,,
38,4010,4,1,,2,1001,100,,,,,,,,,,
39,4010,5,1,8015,2,1252,3,2,1254,1,2,1003,1,2,1001,200,
40,4010,6,1,,1,10,400000,,,,,,,,,,
41,4010,7,1,,2,1008,40,,,,,,,,,,
42,4010,8,1,,2,1005,5,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,,,,
43,4010,9,1,,2,1006,200,,,,,,,,,,
44,4010,10,1,8016,2,1252,3,2,1254,1,2,1003,1,2,1001,200,
45,4010,11,1,,2,1001,200,,,,,,,,,,
46,4010,12,1,,2,1019,3,,,,,,,,,,
47,4010,13,1,,2,1003,1,,,,,,,,,,
48,4010,14,1,,2,1027,50,,,,,,,,,,
49,4010,15,1,,1,8,800000,,,,,,,,,,
50,4010,16,1,,2,3002,30,,,,,,,,,,
51,4010,17,1,,2,1030,1,,,,,,,,,,
52,4010,18,1,,2,1006,200,,,,,,,,,,
53,4010,19,1,,2,3008,10,,,,,,,,,,
54,4010,20,1,,1,10,400000,,,,,,,,,,
55,4010,21,1,,2,1077,20,,,,,,,,,,
56,4010,22,1,,2,1014,1,,,,,,,,,,
57,4010,23,1,,2,1036,1,,,,,,,,,,
58,4010,24,1,8017,2,1252,3,2,1254,2,2,1003,1,2,1001,200,
59,4010,25,1,,2,1027,50,,,,,,,,,,
60,4010,26,1,,2,1019,5,,,,,,,,,,
61,4010,27,1,,2,1005,3,,,,,,,,,,
62,4010,28,1,8018,2,1252,3,2,1254,2,2,1003,1,2,1001,200,
63,4010,29,1,,2,1004,1,,,,,,,,,,
64,4010,30,1,,2,1077,30,,,,,,,,,,
65,4010,31,1,,2,3008,10,,,,,,,,,,
66,4010,32,1,8019,2,1252,3,2,1254,2,2,1003,1,2,1001,200,
67,4010,33,1,,2,1003,1,,,,,,,,,,
68,4010,34,2,8020,2,1252,5,2,1254,3,,,,,,,
