id,activityId,group%1,group%2,group%3,group%4,regular,systemid,
9000,1900,1,2,3,,,,
9010,1900,4,5,6,,,,
9020,1900,7,8,9,,,,
9030,1900,10,11,12,,,,
9040,1900,13,14,15,,,,
9050,1900,16,17,18,,,,
9060,2500,19,,,,,,
9070,2500,20,,,,,,
9080,2500,21,,,,,,
9090,2500,22,,,,,,
9100,2500,23,,,,,,
12217,3011,24,24,24,24,,,
12218,3011,25,25,25,25,,,
12219,3011,26,26,26,26,,,
13001,3060,24,24,24,24,,,
13002,3060,25,25,25,25,,,
13003,3060,26,26,26,26,,,
14000,3110,19,,,,,,
14010,3110,20,,,,,,
14020,3110,27,,,,,,
14030,3110,22,,,,,,
14040,3110,23,,,,,,
15500,3120,24,24,24,24,,,
15520,3120,25,25,25,25,,,
15540,3120,26,26,26,26,,,
29500,5220,28,29,,,30,6352,
29501,5800,28,29,,,30,6352,
