id,type,event,event1,reward-type-1,reward-id-1,reward-value-1,reward-type-2,reward-id-2,reward-value-2,
1,1,1,1,1,75,300,1,8,30000,
2,1,1,2,1,75,500,1,8,50000,
3,1,1,3,1,75,3000,1,8,300000,
4,1,1,4,1,75,1000,1,8,100000,
5,1,2,,2,1287,1,,,,
6,2,1,1,1,75,360,1,8,36000,
7,2,1,2,1,75,600,1,8,60000,
8,2,1,3,1,75,3600,1,8,360000,
9,2,1,4,1,75,1200,1,8,120000,
10,2,2,,2,1287,1,,,,
11,3,1,1,1,75,420,1,8,42000,
12,3,1,2,1,75,700,1,8,70000,
13,3,1,3,1,75,4200,1,8,420000,
14,3,1,4,1,75,1400,1,8,140000,
15,3,2,,2,1287,1,,,,
16,4,1,1,1,75,480,1,8,48000,
17,4,1,2,1,75,800,1,8,80000,
18,4,1,3,1,75,4800,1,8,480000,
19,4,1,4,1,75,1600,1,8,160000,
20,4,2,,2,1287,1,,,,
21,5,1,1,1,75,540,1,8,54000,
22,5,1,2,1,75,900,1,8,90000,
23,5,1,3,1,75,5400,1,8,540000,
24,5,1,4,1,75,1800,1,8,180000,
25,5,2,,2,1287,1,,,,
26,6,1,1,1,75,615,1,8,61500,
27,6,1,2,1,75,1025,1,8,102500,
28,6,1,3,1,75,6150,1,8,615000,
29,6,1,4,1,75,2050,1,8,205000,
30,6,2,,2,1287,1,,,,
31,7,1,1,1,75,690,1,8,69000,
32,7,1,2,1,75,1150,1,8,115000,
33,7,1,3,1,75,6900,1,8,690000,
34,7,1,4,1,75,2300,1,8,230000,
35,7,2,,2,1287,1,,,,
36,8,1,1,1,75,795,1,8,79500,
37,8,1,2,1,75,1325,1,8,132500,
38,8,1,3,1,75,7950,1,8,795000,
39,8,1,4,1,75,2650,1,8,265000,
40,8,2,,2,1287,1,,,,
41,9,1,1,1,75,900,1,8,90000,
42,9,1,2,1,75,1500,1,8,150000,
43,9,1,3,1,75,9000,1,8,900000,
44,9,1,4,1,75,3000,1,8,300000,
45,9,2,,2,1287,1,,,,
46,10,1,1,1,75,1050,1,8,105000,
47,10,1,2,1,75,1750,1,8,175000,
48,10,1,3,1,75,10500,1,8,1050000,
49,10,1,4,1,75,3500,1,8,350000,
50,10,2,,2,1287,1,,,,
51,11,1,1,1,75,1200,1,8,120000,
52,11,1,2,1,75,2000,1,8,200000,
53,11,1,3,1,75,12000,1,8,1200000,
54,11,1,4,1,75,4000,1,8,400000,
55,11,2,,2,1287,1,,,,
