id,group,weight,itemType,itemId,combineNum,resourceType,resourceId,oriPrice,disPrice,discount,vipLimit,buyLimit,recommend,refreshStartTime,refreshEndTime,fastBuy,
1,1,300,2,2311,1,1,8,100000,100000,0,0,1,1,,,,
2,1,100,2,2311,1,1,9,20,20,0,0,1,,,,,
3,1,300,2,2312,1,1,8,100000,100000,0,0,1,1,,,,
4,1,100,2,2312,1,1,9,20,20,0,0,1,,,,,
5,1,300,2,2313,1,1,8,100000,100000,0,0,1,,,,,
6,1,100,2,2313,1,1,9,20,20,0,0,1,,,,,
7,1,300,2,2314,1,1,8,100000,100000,0,0,1,,,,,
8,1,100,2,2314,1,1,9,20,20,0,0,1,,,,,
9,2,300,2,2321,1,1,8,200000,200000,0,0,1,,,,,
10,2,100,2,2321,1,1,9,39,39,0,0,1,1,,,,
11,2,300,2,2322,1,1,8,200000,200000,0,0,1,,,,,
12,2,100,2,2322,1,1,9,39,39,0,0,1,,,,,
13,2,300,2,2323,1,1,8,200000,200000,0,0,1,,,,,
14,2,100,2,2323,1,1,9,39,39,0,0,1,,,,,
15,2,300,2,2324,1,1,8,200000,200000,0,0,1,,,,,
16,2,100,2,2324,1,1,9,39,39,0,0,1,,,,,
17,3,300,2,2411,1,1,8,500000,500000,0,0,1,,,,,
18,3,100,2,2411,1,1,9,60,60,0,0,1,,,,,
19,3,300,2,2412,1,1,8,500000,500000,0,0,1,,,,,
20,3,100,2,2412,1,1,9,60,60,0,0,1,,,,,
21,3,300,2,2413,1,1,8,500000,500000,0,0,1,,,,,
22,3,100,2,2413,1,1,9,60,60,0,0,1,,,,,
23,3,300,2,2414,1,1,8,500000,500000,0,0,1,,,,,
24,3,100,2,2414,1,1,9,60,60,0,0,1,,,,,
25,4,300,2,2421,1,1,8,800000,800000,0,0,1,,,,,
26,4,100,2,2421,1,1,9,142,142,0,0,1,,,,,
27,4,300,2,2422,1,1,8,800000,800000,0,0,1,,,,,
28,4,100,2,2422,1,1,9,142,142,0,0,1,,,,,
29,4,300,2,2423,1,1,8,800000,800000,0,0,1,,,,,
30,4,100,2,2423,1,1,9,142,142,0,0,1,,,,,
31,4,300,2,2424,1,1,8,800000,800000,0,0,1,,,,,
32,4,100,2,2424,1,1,9,142,142,0,0,1,,,,,
33,5,100,2,2431,1,1,9,245,245,0,0,1,,,,,
34,5,300,2,2431,1,1,8,1250000,1250000,0,0,1,,,,,
35,5,100,2,2432,1,1,9,245,245,0,0,1,,,,,
36,5,300,2,2432,1,1,8,1250000,1250000,0,0,1,,,,,
37,5,100,2,2433,1,1,9,245,245,0,0,1,,,,,
38,5,300,2,2433,1,1,8,1250000,1250000,0,0,1,,,,,
39,5,100,2,2434,1,1,9,245,245,0,0,1,,,,,
40,5,300,2,2434,1,1,8,1250000,1250000,0,0,1,,,,,
41,6,300,2,2511,1,1,8,2200000,2200000,0,0,1,,,,,
42,6,100,2,2511,1,1,9,420,420,0,0,1,,,,,
43,6,300,2,2512,1,1,8,2200000,2200000,0,0,1,,,,,
44,6,100,2,2512,1,1,9,420,420,0,0,1,,,,,
45,6,300,2,2513,1,1,8,2200000,2200000,0,0,1,,,,,
46,6,100,2,2513,1,1,9,420,420,0,0,1,,,,,
47,6,300,2,2514,1,1,8,2200000,2200000,0,0,1,,,,,
48,6,100,2,2514,1,1,9,420,420,0,0,1,,,,,
49,7,300,2,2521,1,1,8,3600000,3600000,0,0,1,,,,,
50,7,100,2,2521,1,1,9,294,294,0,0,1,,,,,
51,7,300,2,2522,1,1,8,3600000,3600000,0,0,1,,,,,
52,7,100,2,2522,1,1,9,294,294,0,0,1,,,,,
53,7,300,2,2523,1,1,8,3600000,3600000,0,0,1,,,,,
54,7,100,2,2523,1,1,9,294,294,0,0,1,,,,,
55,7,300,2,2524,1,1,8,3600000,3600000,0,0,1,,,,,
56,7,100,2,2524,1,1,9,294,294,0,0,1,,,,,
57,8,100,2,2531,1,1,9,1225,1225,0,0,1,,,,,
58,8,300,2,2531,1,1,8,6250000,6250000,0,0,1,,,,,
59,8,100,2,2532,1,1,9,1225,1225,0,0,1,,,,,
60,8,300,2,2532,1,1,8,6250000,6250000,0,0,1,,,,,
61,8,100,2,2533,1,1,9,1225,1225,0,0,1,,,,,
62,8,300,2,2533,1,1,8,6250000,6250000,0,0,1,,,,,
63,8,100,2,2534,1,1,9,1225,1225,0,0,1,,,,,
64,8,300,2,2534,1,1,8,6250000,6250000,0,0,1,,,,,
65,9,300,2,21301,20,1,9,100,100,0,0,1,,,,,
66,9,100,2,21301,20,1,8,350000,350000,6,0,1,,,,,
67,9,300,2,22301,20,1,9,100,100,0,0,1,,,,,
68,9,100,2,22301,20,1,8,350000,350000,6,0,1,,,,,
69,9,300,2,23301,20,1,9,100,100,0,0,1,,,,,
70,9,100,2,23301,20,1,8,350000,350000,6,0,1,,,,,
71,9,300,2,24301,20,1,9,100,100,0,0,1,,,,,
72,9,100,2,24301,20,1,8,350000,350000,6,0,1,,,,,
73,9,300,2,25301,20,1,9,100,100,0,0,1,,,,,
74,9,100,2,25301,20,1,8,350000,350000,6,0,1,,,,,
75,10,50,2,21401,30,1,8,1800000,1800000,6,0,1,,,,,
76,10,50,2,21402,30,1,8,1800000,1800000,6,0,1,,,,,
77,10,50,2,21403,30,1,8,1800000,1800000,6,0,1,,,,,
78,10,50,2,21404,30,1,8,1800000,1800000,6,0,1,,,,,
79,10,50,2,21404,30,1,8,1800000,1800000,6,0,1,,,,,
80,10,50,2,22402,30,1,8,1800000,1800000,6,0,1,,,,,
81,10,50,2,22402,30,1,8,1800000,1800000,6,0,1,,,,,
82,10,50,2,22403,30,1,8,1800000,1800000,6,0,1,,,,,
83,10,50,2,22404,30,1,8,1800000,1800000,6,0,1,,,,,
