actId,daysStart,days,mainId,
3290,1,30,,
3290,1,30,,
3290,1,30,,
3290,1,30,,
3290,1,30,,
3290,1,30,,
3290,31,60,,
3290,31,60,,
3290,31,60,,
3290,31,60,,
3290,31,60,,
3290,31,60,,
3290,61,90,,
3290,61,90,,
3290,61,90,,
3290,61,90,,
3290,61,90,,
3290,61,90,,
3290,91,-1,,
3290,91,-1,,
3290,91,-1,,
3290,91,-1,,
3290,91,-1,,
3290,91,-1,,
3330,1,30,,
3330,1,30,,
3330,1,30,,
3330,1,30,,
3330,1,30,,
3330,1,30,,
3330,31,60,,
3330,31,60,,
3330,31,60,,
3330,31,60,,
3330,31,60,,
3330,31,60,,
3330,61,90,,
3330,61,90,,
3330,61,90,,
3330,61,90,,
3330,61,90,,
3330,61,90,,
3330,91,-1,,
3330,91,-1,,
3330,91,-1,,
3330,91,-1,,
3330,91,-1,,
3330,91,-1,,
3390,1,30,,
3390,1,30,,
3390,1,30,,
3390,1,30,,
3390,1,30,,
3390,1,30,,
3390,31,60,,
3390,31,60,,
3390,31,60,,
3390,31,60,,
3390,31,60,,
3390,31,60,,
3390,61,90,,
3390,61,90,,
3390,61,90,,
3390,61,90,,
3390,61,90,,
3390,61,90,,
3390,91,-1,,
3390,91,-1,,
3390,91,-1,,
3390,91,-1,,
3390,91,-1,,
3390,91,-1,,
5220,1,30,1,
5220,1,30,1,
5220,1,30,1,
5220,1,30,1,
5220,1,30,1,
5220,1,30,1,
5220,31,60,3,
5220,31,60,3,
5220,31,60,3,
5220,31,60,3,
5220,31,60,3,
5220,31,60,3,
5220,61,90,4,
5220,61,90,4,
5220,61,90,4,
5220,61,90,4,
5220,61,90,4,
5220,61,90,4,
5220,9989,9990,10,
5220,9989,9990,10,
5220,9989,9990,10,
5220,9989,9990,10,
5220,9989,9990,10,
5220,9989,9990,10,
5220,9987,9988,11,
5220,9987,9988,11,
5220,9987,9988,11,
5220,9987,9988,11,
5220,9987,9988,11,
5220,9987,9988,11,
5220,9985,9986,12,
5220,9985,9986,12,
5220,9985,9986,12,
5220,9985,9986,12,
5220,9985,9986,12,
5220,9985,9986,12,
5220,9983,9984,13,
5220,9983,9984,13,
5220,9983,9984,13,
5220,9983,9984,13,
5220,9983,9984,13,
5220,9983,9984,13,
5220,91,120,14,
5220,91,120,14,
5220,91,120,14,
5220,91,120,14,
5220,91,120,14,
5220,91,120,14,
5220,121,150,15,
5220,121,150,15,
5220,121,150,15,
5220,121,150,15,
5220,121,150,15,
5220,121,150,15,
5800,1,99999,30,
5800,1,99999,30,
5800,1,99999,30,
5800,1,99999,30,
5800,1,99999,30,
5800,1,99999,30,
5220,151,999,16,
5220,151,999,16,
5220,151,999,16,
5220,151,999,16,
5220,151,999,16,
5220,151,999,16,
5220,9975,9976,17,
5220,9975,9976,17,
5220,9975,9976,17,
5220,9975,9976,17,
5220,9975,9976,17,
5220,9975,9976,17,
5220,9973,9974,18,
5220,9973,9974,18,
5220,9973,9974,18,
5220,9973,9974,18,
5220,9973,9974,18,
5220,9973,9974,18,
5220,9971,9972,19,
5220,9971,9972,19,
5220,9971,9972,19,
5220,9971,9972,19,
5220,9971,9972,19,
5220,9971,9972,19,
5220,9967,9968,20,
5220,9967,9968,20,
5220,9967,9968,20,
5220,9967,9968,20,
5220,9967,9968,20,
5220,9967,9968,20,
