id,effect1,effect2,effect3,effect4,effect5,
1001,61001,61011,61021,,,
1002,61002,61012,61022,,,
1003,61003,61013,61023,,,
1004,61004,61014,61024,,,
1005,61005,61015,61025,,,
2001,62001,62011,62021,,,
2002,62002,62012,62022,,,
2003,62003,62013,62023,,,
2004,62004,62014,62024,,,
2005,62005,62015,62025,,,
3001,63001,63011,63021,,,
3002,63002,63012,63022,,,
3003,63003,63013,63023,,,
3004,63004,63014,63024,,,
3005,63005,63015,63025,,,
4001,64001,64011,64021,64031,64041,
4002,64002,64012,64022,64032,64042,
4003,64003,64013,64023,64033,64043,
4004,64004,64014,64024,64034,64044,
4005,64005,64015,64025,64035,64045,
