id,level,itemId,needNum,upgradeRewards-type-1,upgradeRewards-id-1,upgradeRewards-value-1,upgradeRewards-type-2,upgradeRewards-id-2,upgradeRewards-value-2,properties-type-1,properties-way-1,properties-value-1,properties-type-2,properties-way-2,properties-value-2,
1,0,5,40,1,17,100,1,8,20000,2,0,0,1,0,0,
2,1,5,80,1,17,110,1,8,40000,2,0,200,1,0,2000,
3,2,5,130,1,17,120,1,8,60000,2,0,400,1,0,4000,
4,3,5,190,1,17,130,1,8,80000,2,0,800,1,0,8000,
5,4,5,260,1,17,140,1,8,100000,2,0,1400,1,0,14000,
6,5,5,340,1,17,150,1,8,120000,2,0,2200,1,0,22000,
7,6,5,430,1,17,160,1,8,140000,2,0,3200,1,0,32000,
8,7,5,530,1,17,170,1,8,160000,2,0,4400,1,0,44000,
9,8,5,640,1,17,180,1,8,180000,2,0,5800,1,0,58000,
10,9,5,760,1,17,190,1,8,200000,2,0,7400,1,0,74000,
11,10,5,890,1,17,200,1,8,220000,2,0,9200,1,0,92000,
12,11,5,1030,1,17,210,1,8,240000,2,0,11200,1,0,112000,
13,12,5,1180,1,17,220,1,8,260000,2,0,13400,1,0,134000,
14,13,5,1340,1,17,230,1,8,280000,2,0,15800,1,0,158000,
15,14,5,1510,1,17,240,1,8,300000,2,0,18400,1,0,184000,
16,15,5,1690,1,17,250,1,8,320000,2,0,21200,1,0,212000,
17,16,5,1880,1,17,260,1,8,340000,2,0,24200,1,0,242000,
18,17,5,2080,1,17,270,1,8,360000,2,0,27200,1,0,272000,
19,18,5,2290,1,17,280,1,8,380000,2,0,30200,1,0,302000,
20,19,5,2510,1,17,290,1,8,400000,2,0,33200,1,0,332000,
21,20,5,2740,1,17,300,1,8,420000,2,0,36200,1,0,362000,
22,21,5,2980,1,17,310,1,8,440000,2,0,39200,1,0,392000,
23,22,5,3230,1,17,320,1,8,460000,2,0,42200,1,0,422000,
24,23,5,3490,1,17,330,1,8,480000,2,0,45200,1,0,452000,
25,24,5,3760,1,17,340,1,8,500000,2,0,48200,1,0,482000,
26,25,5,4040,1,17,350,1,8,520000,2,0,51200,1,0,512000,
27,26,5,4330,1,17,360,1,8,540000,2,0,54200,1,0,542000,
28,27,5,4630,1,17,370,1,8,560000,2,0,57200,1,0,572000,
29,28,5,4940,1,17,380,1,8,580000,2,0,60200,1,0,602000,
30,29,5,5260,1,17,390,1,8,600000,2,0,63200,1,0,632000,
31,30,5,5590,1,17,400,1,8,620000,2,0,66200,1,0,662000,
32,31,5,5930,1,17,410,1,8,640000,2,0,69200,1,0,692000,
33,32,5,6280,1,17,420,1,8,660000,2,0,72200,1,0,722000,
34,33,5,6640,1,17,430,1,8,680000,2,0,75200,1,0,752000,
35,34,5,7010,1,17,440,1,8,700000,2,0,78200,1,0,782000,
36,35,5,7390,1,17,450,1,8,720000,2,0,81200,1,0,812000,
37,36,5,7780,1,17,460,1,8,740000,2,0,84200,1,0,842000,
38,37,5,8180,1,17,470,1,8,760000,2,0,87200,1,0,872000,
39,38,5,8590,1,17,480,1,8,780000,2,0,90200,1,0,902000,
40,39,5,9010,1,17,490,1,8,800000,2,0,93200,1,0,932000,
41,40,5,9440,1,17,500,1,8,820000,2,0,96200,1,0,962000,
42,41,5,9880,1,17,510,1,8,840000,2,0,99200,1,0,992000,
43,42,5,10330,1,17,520,1,8,860000,2,0,102200,1,0,1022000,
44,43,5,10790,1,17,530,1,8,880000,2,0,105200,1,0,1052000,
45,44,5,11260,1,17,540,1,8,900000,2,0,108200,1,0,1082000,
46,45,5,11740,1,17,550,1,8,920000,2,0,111200,1,0,1112000,
47,46,5,12230,1,17,560,1,8,940000,2,0,114200,1,0,1142000,
48,47,5,12730,1,17,570,1,8,960000,2,0,117200,1,0,1172000,
49,48,5,13240,1,17,580,1,8,980000,2,0,120200,1,0,1202000,
50,49,5,13760,1,17,590,1,8,1000000,2,0,123200,1,0,1232000,
51,50,5,14290,1,17,600,1,8,1020000,2,0,126200,1,0,1262000,
