id,activityId,taskGroup,includeTaskId,
1,2000,1,1001,
2,2000,1,1002,
3,2000,1,1003,
4,2000,1,1004,
5,2000,1,1007,
6,2000,1,1008,
7,2000,1,1009,
8,2000,1,1028,
9,2000,1,1029,
10,2000,1,1030,
11,2000,2,1001,
12,2000,2,1002,
13,2000,2,1003,
14,2000,2,1005,
15,2000,2,1010,
16,2000,2,1011,
17,2000,2,1012,
18,2000,2,1028,
19,2000,2,1029,
20,2000,2,1030,
21,2000,3,1001,
22,2000,3,1002,
23,2000,3,1003,
24,2000,3,1006,
25,2000,3,1013,
26,2000,3,1014,
27,2000,3,1015,
28,2000,3,1028,
29,2000,3,1029,
30,2000,3,1030,
31,2000,4,1001,
32,2000,4,1002,
33,2000,4,1003,
34,2000,4,1004,
35,2000,4,1016,
36,2000,4,1017,
37,2000,4,1018,
38,2000,4,1028,
39,2000,4,1029,
40,2000,4,1030,
41,2000,5,1001,
42,2000,5,1002,
43,2000,5,1003,
44,2000,5,1005,
45,2000,5,1019,
46,2000,5,1020,
47,2000,5,1021,
48,2000,5,1028,
49,2000,5,1029,
50,2000,5,1030,
51,2000,6,1001,
52,2000,6,1002,
53,2000,6,1003,
54,2000,6,1006,
55,2000,6,1022,
56,2000,6,1023,
57,2000,6,1024,
58,2000,6,1028,
59,2000,6,1029,
60,2000,6,1030,
61,2000,7,1001,
62,2000,7,1002,
63,2000,7,1003,
64,2000,7,1004,
65,2000,7,1025,
66,2000,7,1026,
67,2000,7,1027,
68,2000,7,1028,
69,2000,7,1029,
70,2000,7,1030,
71,2002,1,2001,
72,2002,1,2002,
73,2002,1,2003,
74,2002,1,2004,
75,2002,1,2007,
76,2002,1,2008,
77,2002,1,2009,
78,2002,1,2028,
79,2002,1,2029,
80,2002,1,2030,
81,2002,2,2001,
82,2002,2,2002,
83,2002,2,2003,
84,2002,2,2005,
85,2002,2,2010,
86,2002,2,2011,
87,2002,2,2012,
88,2002,2,2028,
89,2002,2,2029,
90,2002,2,2030,
91,2002,3,2001,
92,2002,3,2002,
93,2002,3,2003,
94,2002,3,2006,
95,2002,3,2013,
96,2002,3,2014,
97,2002,3,2015,
98,2002,3,2028,
99,2002,3,2029,
100,2002,3,2030,
101,2002,4,2001,
102,2002,4,2002,
103,2002,4,2003,
104,2002,4,2004,
105,2002,4,2016,
106,2002,4,2017,
107,2002,4,2018,
108,2002,4,2028,
109,2002,4,2029,
110,2002,4,2030,
111,2002,5,2001,
112,2002,5,2002,
113,2002,5,2003,
114,2002,5,2005,
115,2002,5,2019,
116,2002,5,2020,
117,2002,5,2021,
118,2002,5,2028,
119,2002,5,2029,
120,2002,5,2030,
121,2002,6,2001,
122,2002,6,2002,
123,2002,6,2003,
124,2002,6,2006,
125,2002,6,2022,
126,2002,6,2023,
127,2002,6,2024,
128,2002,6,2028,
129,2002,6,2029,
130,2002,6,2030,
131,2002,7,2001,
132,2002,7,2002,
133,2002,7,2003,
134,2002,7,2004,
135,2002,7,2025,
136,2002,7,2026,
137,2002,7,2027,
138,2002,7,2028,
139,2002,7,2029,
140,2002,7,2030,
