id,tecType,tecPlace,icon,properties-type-1,properties-way-1,properties-value-1,
1,1,1,2130131,1,1,30,
2,1,2,2140221,2,1,30,
3,1,3,2150221,5,0,30,
4,1,4,2150721,6,0,60,
5,1,5,2140431,4,0,3,
6,1,6,2150831,10,0,30,
7,1,7,2150831,10,0,30,
8,1,8,2150831,10,0,30,
9,2,1,2130131,1,1,30,
10,2,2,2140221,2,1,30,
11,2,3,2150221,5,0,30,
12,2,4,2150721,6,0,60,
13,2,5,2140431,4,0,3,
14,2,6,2150831,10,0,30,
15,2,7,2150831,10,0,30,
16,2,8,2150831,10,0,30,
17,3,1,2130131,1,1,30,
18,3,2,2140221,2,1,30,
19,3,3,2150221,5,0,30,
20,3,4,2150721,6,0,60,
21,3,5,2140431,4,0,3,
22,3,6,2150831,10,0,30,
23,3,7,2150831,10,0,30,
24,3,8,2150831,10,0,30,
25,4,1,2130131,1,1,30,
26,4,2,2140221,2,1,30,
27,4,3,2130131,1,1,30,
28,4,4,2140221,2,1,30,
29,4,5,2150221,5,0,30,
30,4,6,2150721,6,0,60,
31,4,7,2140431,4,0,3,
32,4,8,2150831,10,0,30,
