id,itemType,itemId,combineNum,resourceType,resourceId,disPrice,buyLimit,autoReset,worldlvLimit,lvLimit,lvLimitEx,vipLimit,desc,oriPrice,discount,sort,
1,2,1522,1,1,9,225,5,2,,1,,,s==19|Lệnh Bài Chiêu Hiền,450,5,1,
2,2,1532,1,1,9,60,5,2,,1,,,s==26|Gói Quà Tu Luyện Thần Binh,120,5,1,
3,2,1531,1,1,9,30,5,2,,4,,,s==26|Bảo Vật Dưỡng Thành Lễ Bao,60,5,1,
4,2,1512,1,1,9,60,5,2,,6,,,s==25|Gói Quà Tu Luyện Phụ Kiện,120,5,1,
5,2,1513,1,1,9,35,5,2,,8,,,s==25|Gói quà ngẫu nhiên sao đá,70,5,1,
6,2,1550,1,1,9,60,5,2,,10,,,s==25|Lễ Bao Tu Luyện Phó Tướng,120,5,1,
7,2,1003,5,1,9,120,1,4,,1,,,s==20|Lệnh Tầm Bảo Cao Cấp,1200,1,1,
8,2,1004,1,1,9,150,1,4,,1,,,s==12|Tụ Hiền Lệnh,1500,1,1,
9,2,1006,500,1,9,150,1,4,,1,,,s==14|Tướng Ấn Thạch,500,3,1,
10,2,1001,500,1,9,150,1,4,,1,,,s==13|Đột Phá Thạch,500,3,1,
11,2,1029,4,1,9,120,1,4,,2,,,s==26|Thần Binh Tinh Luyện Thạch,400,3,1,
12,2,1030,2,1,9,120,1,4,,2,,,s==13|Hồn Thần Binh,400,3,1,
13,2,1027,100,1,9,225,1,4,,2,,,s==25|Thần Binh Cường Hóa Thạch,750,3,1,
14,2,1029,4,1,9,120,1,4,,2,,,s==26|Thần Binh Tinh Luyện Thạch,400,3,1,
15,2,1030,2,1,9,120,1,4,,3,,,s==13|Hồn Thần Binh,400,3,1,
16,2,1027,100,1,9,225,1,4,,3,,,s==25|Thần Binh Cường Hóa Thạch,750,3,1,
17,2,1043,8,1,9,120,1,4,,3,,,s==22|Thạch Tiến Cấp Bảo Vật,400,3,1,
18,2,1044,4,1,9,120,1,4,,3,,,s==16|Linh Hồn Bảo Vật,400,3,1,
19,2,1077,100,1,9,150,1,4,,4,,,s==16|Tinh Túy Tự Chọn,500,3,1,
20,2,1043,8,1,9,120,1,4,,4,,,s==22|Thạch Tiến Cấp Bảo Vật,400,3,1,
21,2,1044,4,1,9,120,1,4,,4,,,s==16|Linh Hồn Bảo Vật,400,3,1,
22,2,1077,100,1,9,150,1,4,,5,,,s==16|Tinh Túy Tự Chọn,500,3,1,
23,2,1043,8,1,9,120,1,4,,5,,,s==22|Thạch Tiến Cấp Bảo Vật,400,3,1,
24,2,1044,4,1,9,120,1,4,,5,,,s==16|Linh Hồn Bảo Vật,400,3,1,
25,2,1567,2,1,9,1200,1,4,,6,,,s==34|Lựa Chọn Phụ Kiện Tối Thượng 1 Sao,3000,4,1,
26,2,1029,4,1,9,120,1,4,,6,,,s==26|Thần Binh Tinh Luyện Thạch,400,3,1,
27,2,1030,2,1,9,120,1,4,,6,,,s==13|Hồn Thần Binh,400,3,1,
28,2,1009,2,1,9,120,1,4,,7,,,s==12|Hồn Phụ Kiện,400,3,1,
