id,libId,godBeastID,odds,lockNum,aptitude,
1001,1,50001,42649,,101,
1002,1,50002,42648,,101,
1003,1,50003,4866,,201,
1004,1,50004,4866,,201,
1005,1,50005,4866,,201,
1006,1,50006,20,,301,
1007,1,50007,20,,301,
1008,1,50008,20,,301,
1009,1,50009,20,,301,
1010,1,50010,20,,301,
1011,1,50011,1,5,401,
1012,1,50012,1,5,401,
1013,1,50013,1,5,401,
1014,1,50014,1,5,401,
1015,1,50015,1,5,401,
2001,2,50001,42649,,101,
2002,2,50002,42648,,101,
2003,2,50003,4866,,201,
2004,2,50004,4866,,201,
2005,2,50005,4866,,201,
2006,2,50006,20,,301,
2007,2,50007,20,,301,
2008,2,50008,20,,301,
2009,2,50009,20,,301,
2010,2,50010,20,,301,
2011,2,50011,1,,501,
2012,2,50012,1,,501,
2013,2,50013,1,,501,
2014,2,50014,1,,501,
2015,2,50015,1,,501,
3001,3,50001,100,,1001,
5001,5,50006,100,,2001,
5002,5,50007,100,,2001,
5003,5,50008,100,,2001,
5004,5,50009,100,,2001,
5005,5,50010,100,,2001,
6001,6,50011,100,,3001,
6002,6,50012,100,,3001,
6003,6,50013,100,,3001,
6004,6,50014,100,,3001,
6005,6,50015,100,,3001,
101001,101,50006,100,,10101,
101002,101,50007,100,,10101,
101003,101,50008,100,,10101,
101004,101,50009,100,,10101,
101005,101,50010,100,,10101,
102001,102,50006,100,,10201,
102002,102,50007,100,,10201,
102003,102,50008,100,,10201,
102004,102,50009,100,,10201,
102005,102,50010,100,,10201,
103001,103,50006,100,,10301,
103002,103,50007,100,,10301,
103003,103,50008,100,,10301,
103004,103,50009,100,,10301,
103005,103,50010,100,,10301,
104001,104,50006,100,,10401,
104002,104,50007,100,,10401,
104003,104,50008,100,,10401,
104004,104,50009,100,,10401,
104005,104,50010,100,,10401,
105001,105,50011,100,,10501,
105002,105,50012,100,,10501,
105003,105,50013,100,,10501,
105004,105,50014,100,,10501,
105005,105,50015,100,,10501,
106001,106,50011,100,,10601,
106002,106,50012,100,,10601,
106003,106,50013,100,,10601,
106004,106,50014,100,,10601,
106005,106,50015,100,,10601,
10701,107,50011,100,,10701,
10702,107,50012,100,,10701,
10703,107,50013,100,,10701,
10704,107,50014,100,,10701,
10705,107,50015,100,,10701,
10801,108,50011,100,,10801,
10802,108,50012,100,,10801,
10803,108,50013,100,,10801,
10804,108,50014,100,,10801,
10805,108,50015,100,,10801,
10901,109,50003,4866,,10901,
10902,109,50004,4866,,10901,
10903,109,50005,4866,,10901,
11001,110,50003,4866,,11001,
11002,110,50004,4866,,11001,
11003,110,50005,4866,,11001,
11101,111,50003,4866,,11101,
11102,111,50004,4866,,11101,
11103,111,50005,4866,,11101,
11201,112,50003,4866,,11201,
11202,112,50004,4866,,11201,
11203,112,50005,4866,,11201,
