id,chapterId,grid,type,iconId,buildingType,mark,mark2,offsetType,iconOffsetType,effectType,effectType2,
1,1,1,6,10013,,s==2|山林,,,,,,
2,1,2,6,10013,,s==2|山林,,,,,,
3,1,3,6,10013,,s==2|山林,,,,,,
4,1,4,6,10001,,s==2|河流,,,,,,
5,1,5,6,10013,,s==2|山林,,,,,,
6,1,6,6,10002,,s==2|山林,,,18,,,
7,1,7,6,10013,,s==2|山林,,,,,,
8,1,8,6,10013,,s==2|山林,,,,,,
9,1,9,6,10002,,s==2|山林,,,18,,,
10,1,10,6,10013,,s==2|山林,,,,,,
11,1,11,6,10002,,s==2|河流,,,,,,
12,1,12,6,10013,,s==2|山林,,,,,,
13,1,13,6,10002,,s==2|树林,,,18,,,
14,1,14,6,10013,,s==2|山林,,,,,,
15,1,15,6,10013,,s==2|山林,,,,,,
16,1,16,6,10002,,s==2|树林,,,18,,,
17,1,17,6,10013,,s==2|山林,,,,,,
18,1,18,6,10013,,s==2|山林,,,,,,
19,1,19,6,10013,,s==2|山林,,,,,,
20,1,20,6,10013,,s==2|山林,,,,,,
21,1,21,6,10002,,s==2|树林,,,18,,,
22,1,22,6,10013,,s==2|山林,,,,,,
23,1,23,6,10013,,s==2|山林,,,,,,
24,1,24,6,10013,,s==2|山林,,,,,,
25,1,25,6,10013,,s==2|山林,,,,,,
26,1,26,6,10002,,s==2|河流,,,,,,
27,1,27,6,10013,,s==2|山林,,,,,,
28,1,28,6,10013,,s==2|山林,,,,,,
29,1,29,6,10002,,s==2|山林,,,18,,,
30,1,30,6,10013,,s==2|山林,,,,,,
31,1,31,6,10002,,s==2|山林,,,18,,,
32,1,32,6,10013,,s==2|山林,,,,,,
33,1,33,6,10002,,s==2|山林,,,18,,,
34,1,34,6,10001,,s==2|河流,,,,,,
35,1,35,6,10013,,s==2|山林,,,,,,
36,1,36,6,10002,,s==2|树林,,,18,,,
37,1,37,6,10013,,s==2|山林,,,,,,
38,1,38,6,10013,,s==2|山林,,,,,,
39,1,39,6,10002,,s==2|树林,,,18,,,
40,1,40,6,10013,,s==2|山林,,,,,,
41,1,41,6,10013,,s==2|山林,,,,,,
42,1,42,6,10013,,s==2|山林,,,,,,
43,1,43,6,10013,,s==2|山林,,,,,,
44,1,44,6,10002,,s==2|树林,,,18,,,
45,1,45,6,10013,,s==2|山林,,,,,,
46,1,46,6,10013,,s==2|山林,,,,,,
47,1,47,6,10013,,s==2|山林,,,,,,
48,1,48,6,10013,,s==2|山林,,,,,,
49,1,49,6,10013,,s==2|山林,,,,,,
50,1,50,6,10001,,s==2|河流,,,,,,
51,1,51,6,10013,,s==2|山林,,,,,,
52,1,52,6,10002,,s==2|山林,,,18,,,
53,1,53,6,10013,,s==2|山林,,,,,,
54,1,54,6,10002,,s==2|山林,,,18,,,
55,1,55,6,10013,,s==2|山林,,,,,,
56,1,56,6,10002,,s==2|山林,,,18,,,
57,1,57,6,10002,,s==2|河流,,,,,,
58,1,58,6,10013,,s==2|山林,,,,,,
59,1,59,6,10002,,s==2|树林,,,18,,,
60,1,60,6,10013,,s==2|山林,,,,,,
61,1,61,6,10013,,s==2|山林,,,,,,
62,1,62,6,10002,,s==2|树林,,,18,,,
63,1,63,6,10013,,s==2|山林,,,,,,
64,1,64,6,10013,,s==2|山林,,,,,,
65,1,65,6,10013,,s==2|山林,,,,,,
66,1,66,6,10013,,s==2|山林,,,,,,
67,1,67,6,10002,,s==2|树林,,,18,,,
68,1,68,6,10013,,s==2|山林,,,,,,
69,1,69,6,10013,,s==2|山林,,,,,,
70,1,70,6,10002,,s==2|树林,,,18,,,
71,1,71,6,10002,,s==2|树林,,,18,,,
72,1,72,6,10002,,s==6|石块（井口）,,,20,,,
73,1,73,6,10002,,s==2|树林,,,18,,,
74,1,74,6,10002,,s==6|石块（井口）,,,20,,,
75,1,75,6,10002,,s==2|树林,,,18,,,
76,1,76,6,10002,,s==6|石块（井口）,,,20,,,
77,1,77,6,10002,,s==2|树林,,,18,,,
78,1,78,6,10002,,s==6|石块（井口）,,,20,,,
79,1,79,6,10002,,s==2|树林,,,18,,,
80,1,80,6,10001,,s==2|河流,,,,,,
81,1,81,6,10002,,s==6|石块（井口）,,,20,,,
82,1,82,6,10006,,s==2|河流,,,,,,
83,1,83,6,10006,,s==2|河流,,,44,,,
84,1,84,6,10006,,s==2|河流,,,,,,
85,1,85,6,10006,,s==2|河流,,,,,,
86,1,86,6,10006,,s==2|河流,,,44,,,
87,1,87,6,10006,,s==2|河流,,,,,,
88,1,88,6,10006,,s==2|河流,,,,,,
89,1,89,6,10006,,s==2|河流,,,,,,
90,1,90,6,10006,,s==2|河流,,,,,,
91,1,91,6,10006,,s==2|河流,,,44,,,
92,1,92,6,10006,,s==2|河流,,,,,,
93,1,93,6,10013,,s==2|山林,,,,,,
94,1,94,6,10012,,s==2|马场,,,16,,,
95,1,95,4,10010,,s==7|攻方成员移动点,,5,,11,,
96,1,96,6,10009,,s==2|河流,,,,,,
97,1,97,6,10006,,s==2|河流,,,,,,
98,1,98,6,10006,,s==2|河流,,,44,,,
99,1,99,6,10006,,s==2|河流,,,,,,
100,1,100,6,10006,,s==2|河流,,,,,,
101,1,101,6,10006,,s==2|河流,,,44,,,
102,1,102,6,10006,,s==2|河流,,,75,,,
103,1,103,6,10008,,s==2|河流,,,,,,
104,1,104,6,10002,,s==2|树林,,,18,,,
