id,offsetType,pro-type-1,pro-way-1,pro-value-1,pro-type-2,pro-way-2,pro-value-2,pro-type-3,pro-way-3,pro-value-3,pro-type-4,pro-way-4,pro-value-4,pro-type-5,pro-way-5,pro-value-5,
1,,2,1,-3000,1,1,-5000,,,,,,,,,,
2,,2,1,-4000,,,,,,,,,,,,,
3,,2,1,-2500,,,,,,,,,,,,,
4,,2,1,-2000,,,,,,,,,,,,,
5,,2,1,-1000,,,,,,,,,,,,,
6,,2,1,1000,,,,,,,,,,,,,
7,,2,1,2000,,,,,,,,,,,,,
8,,1,1,-1500,,,,,,,,,,,,,
9,,1,1,-3000,,,,,,,,,,,,,
10,,3,1,-10000,1,1,15000,1,1,15000,,,,,,,
11,,1,1,-9999,3,1,-10000,,,,,,,,,,
12,,5,0,10000,3,1,-10000,1,1,30000,,,,,,,
13,,3,0,-10000,4,0,-11,1,1,15000,,,,,,,
14,,3,0,-10000,4,0,-20,1,1,15000,,,,,,,
15,1,2,1,-9000,,,,,,,,,,,,,
16,,3,1,-10000,1,1,-3000,,,,,,,,,,
17,,1,0,100000,2,1,-9000,4,1,-8000,3,1,-9000,,,,
18,,1,0,150000,2,1,-9000,4,1,-8000,3,1,-8920,,,,
19,,1,0,225000,2,1,-9000,4,1,-8000,3,1,-8840,,,,
20,,1,0,337500,2,1,-9000,4,1,-8000,3,1,-8760,,,,
21,,1,0,506250,2,1,-9000,4,1,-8000,3,1,-8680,,,,
22,,1,0,759375,2,1,-9000,4,1,-8000,3,1,-8600,,,,
23,,1,0,1139063,2,1,-9000,4,1,-8000,3,1,-8520,,,,
24,,1,0,1708594,2,1,-9000,4,1,-8000,3,1,-8440,,,,
25,,1,0,2562891,2,1,-9000,4,1,-8000,3,1,-8360,,,,
26,,1,0,3844336,2,1,-9000,4,1,-8000,3,1,-8280,,,,
27,,1,0,4228770,2,1,-9000,4,1,-8000,3,1,-8200,,,,
28,,1,0,4651646,2,1,-9000,4,1,-8000,3,1,-8120,,,,
29,,1,0,5116811,2,1,-9000,4,1,-8000,3,1,-8040,,,,
30,,1,0,5628492,2,1,-9000,4,1,-8000,3,1,-7960,,,,
31,,1,0,6191341,2,1,-9000,4,1,-8000,3,1,-7880,,,,
32,,1,0,6810476,2,1,-9000,4,1,-8000,3,1,-7800,,,,
33,,1,0,7491523,2,1,-9000,4,1,-8000,3,1,-7720,,,,
34,,1,0,8240675,2,1,-9000,4,1,-8000,3,1,-7640,,,,
35,,1,0,9064743,2,1,-9000,4,1,-8000,3,1,-7560,,,,
36,,1,0,9971217,2,1,-9000,4,1,-8000,3,1,-7480,,,,
37,,1,0,10968339,2,1,-9000,4,1,-8000,3,1,-7400,,,,
38,,1,0,12065173,2,1,-9000,4,1,-8000,3,1,-7320,,,,
39,,1,0,13271690,2,1,-9000,4,1,-8000,3,1,-7240,,,,
40,,1,0,14598859,2,1,-9000,4,1,-8000,3,1,-7160,,,,
41,,1,0,16058745,2,1,-9000,4,1,-8000,3,1,-7080,,,,
42,,1,0,17664620,2,1,-9000,4,1,-8000,3,1,-7000,,,,
43,,1,0,19431082,2,1,-9000,4,1,-8000,3,1,-6920,,,,
44,,1,0,21374190,2,1,-9000,4,1,-8000,3,1,-6840,,,,
45,,1,0,23511609,2,1,-9000,4,1,-8000,3,1,-6760,,,,
46,,1,0,25862770,2,1,-9000,4,1,-8000,3,1,-6680,,,,
47,,1,0,28449047,2,1,-9000,4,1,-8000,3,1,-6600,,,,
48,,1,0,31293951,2,1,-9000,4,1,-8000,3,1,-6520,,,,
49,,1,0,34423347,2,1,-9000,4,1,-8000,3,1,-6440,,,,
50,,1,0,37865681,2,1,-9000,4,1,-8000,3,1,-6360,,,,
51,,1,0,41652249,2,1,-9000,4,1,-8000,3,1,-6280,,,,
52,,1,0,45817474,2,1,-9000,4,1,-8000,3,1,-6200,,,,
53,,1,0,50399222,2,1,-9000,4,1,-8000,3,1,-6120,,,,
54,,1,0,55439144,2,1,-9000,4,1,-8000,3,1,-6040,,,,
55,,1,0,60983058,2,1,-9000,4,1,-8000,3,1,-5960,,,,
56,,1,0,67081364,2,1,-9000,4,1,-8000,3,1,-5880,,,,
57,,1,0,73789501,2,1,-9000,4,1,-8000,3,1,-5800,,,,
58,,1,0,81168451,2,1,-9000,4,1,-8000,3,1,-5720,,,,
59,,1,0,89285296,2,1,-9000,4,1,-8000,3,1,-5640,,,,
60,,1,0,98213825,2,1,-9000,4,1,-8000,3,1,-5560,,,,
61,,1,0,108035208,2,1,-9000,4,1,-8000,3,1,-5480,,,,
62,,1,0,118838729,2,1,-9000,4,1,-8000,3,1,-5400,,,,
63,,1,0,130722602,2,1,-9000,4,1,-8000,3,1,-5320,,,,
64,,1,0,143794862,2,1,-9000,4,1,-8000,3,1,-5240,,,,
65,,1,0,158174348,2,1,-9000,4,1,-8000,3,1,-5160,,,,
66,,1,0,173991783,2,1,-9000,4,1,-8000,3,1,-5080,,,,
67,,1,0,191390961,2,1,-9000,4,1,-8000,3,1,-5000,,,,
68,,1,0,210530057,2,1,-9000,4,1,-8000,3,1,-4920,,,,
69,,1,0,231583063,2,1,-9000,4,1,-8000,3,1,-4840,,,,
