id,activityId,bonus,reward-type-1,reward-id-1,reward-num-1,reward-type-2,reward-id-2,reward-num-2,
1,3008,3000,1,8,500000,2,1006,50,
2,3008,5000,2,1136,60,2,1006,50,
3,3008,7000,2,1120,2,2,1006,50,
4,3008,10000,2,1136,60,2,1006,50,
5,3008,13000,2,1027,50,2,1006,50,
6,3008,16000,2,1120,2,2,1006,50,
7,3008,20000,2,1136,70,2,1006,50,
8,3008,24000,2,1004,1,2,1006,50,
9,3008,28000,2,1120,4,2,1006,50,
10,3008,33000,2,1077,100,2,1006,50,
11,3008,38000,2,1136,80,2,1006,50,
12,3008,43000,2,1014,1,2,1006,50,
13,3008,48000,2,1136,100,2,1006,50,
14,3008,53000,2,1001,1500,2,1006,50,
15,3009,3000,1,8,500000,2,1006,50,
16,3009,5000,2,1136,60,2,1006,50,
17,3009,7000,2,1120,2,2,1006,50,
18,3009,10000,2,1136,60,2,1006,50,
19,3009,13000,2,1027,50,2,1006,50,
20,3009,16000,2,1120,2,2,1006,50,
21,3009,20000,2,1136,70,2,1006,50,
22,3009,24000,2,1004,1,2,1006,50,
23,3009,28000,2,1120,4,2,1006,50,
24,3009,33000,2,1077,100,2,1006,50,
25,3009,38000,2,1136,80,2,1006,50,
26,3009,43000,2,1014,1,2,1006,50,
27,3009,48000,2,1136,100,2,1006,50,
28,3009,53000,2,1001,1500,2,1006,50,
