id,itemType,itemId,combineNum,resourceType,resourceId,disPrice,buyLimit,autoReset,worldlvLimit,lvLimit,lvLimitEx,vipLimit,desc,oriPrice,discount,sort,isHide,
1,2,50050,50,1,77,0,1,2,,,,,s==17|Linh Khí Linh Thú,0,10,1000,,
2,2,1296,1,1,77,1500,1,3,,,,,s==21|Gói Quà Chọn Hiếm Quý,1500,10,830,1,
3,2,5184,1,1,77,800,5,3,,,,,s==33|Lễ Bao Hộp Bảo Rương Hiếm Tự Chọn,800,10,820,1,
4,2,1294,1,1,77,648,12,3,,,,,s==35|Thần Ma Tự Chọn Võ Tướng (Mới Thêm),648,10,810,1,
5,2,1295,1,1,77,328,8,3,,,,,s==36|Tam Quốc Tự Chọn Võ Tướng (Mới Thêm),328,10,950,,
6,2,1527,1,1,77,68,5,2,,,,,s==34|Gói Quà Tự Chọn Nguyên Liệu Hiếm ④,68,10,940,,
7,2,1516,1,1,77,30,5,2,,,,,s==35|Gói Quà Lựa Chọn Nguyên Liệu Hiếm ④,30,10,930,,
8,2,1105,10,1,77,50,10,3,,,,,s==19|Tướng Ấn Khóa Thạch,100,5,920,,
9,2,1054,10,1,77,100,10,3,,,,,s==18|Tạo Hóa Thần Thạch,200,5,910,,
10,2,1292,1,1,77,40,300,3,,,,,s==16|Kỹ Năng Thú Linh,40,10,900,,
11,2,50050,100,1,77,40,300,3,,,,,s==17|Linh Khí Linh Thú,980,5,890,,
12,2,1290,500,1,77,40,300,3,,,,,s==13|Ngọc Linh Thú,196,5,880,,
13,2,1014,1,1,77,10,50,3,,,,,s==21|Đoạt Bảo Lệnh Cao Cấp,20,5,870,,
14,2,1004,1,1,77,15,50,3,,,,,s==12|Tụ Hiền Lệnh,8000,5,860,,
15,1,9,1000,1,77,50,10,3,,,,,s==3|KNB,330,10,850,1,
16,1,9,2000,1,77,50,10,3,,,,3,s==3|KNB,50,10,840,1,
17,2,1199,1,1,77,1500,1,3,,,,,s==17|Thần Sức Tẩm Tinh,1500,10,990,,
18,2,1222,1,1,77,1500,1,3,,,,,s==21|Tinh Hạch Mão Tú Tinh,1500,10,980,,
19,2,1960,1,1,77,1000,1,3,,,,,s==22|Phụ Kiện 4 Sao Tự Chọn,1000,10,970,,
20,2,1298,1,1,77,648,8,3,,,,,s==35|Thần Ma Tự Chọn Võ Tướng (Mới Thêm),648,10,960,,
