id,breachLv,addProsType,proRange-key-1,proRange-min-1,proRange-max-1,proRange-key-2,proRange-min-2,proRange-max-2,proRange-key-3,proRange-min-3,proRange-max-3,proRange-key-4,proRange-min-4,proRange-max-4,proRange-key-5,proRange-min-5,proRange-max-5,proRange-key-6,proRange-min-6,proRange-max-6,proRange-key-7,proRange-min-7,proRange-max-7,
1,1,1,1,240,400,2,300,500,3,360,600,4,420,700,5,480,800,6,540,900,7,600,1000,
2,2,1,1,300,500,2,375,625,3,450,750,4,525,875,5,600,1000,6,675,1125,7,750,1250,
3,3,1,1,360,600,2,450,750,3,540,900,4,630,1050,5,720,1200,6,810,1350,7,900,1500,
4,4,1,1,420,700,2,525,875,3,630,1050,4,735,1225,5,840,1400,6,945,1575,7,1050,1750,
5,5,1,1,480,800,2,600,1000,3,720,1200,4,840,1400,5,960,1600,6,1080,1800,7,1200,2000,
6,6,1,1,540,900,2,675,1125,3,810,1350,4,945,1575,5,1080,1800,6,1215,2025,7,1350,2250,
7,7,1,1,630,1050,2,787,1312,3,945,1575,4,1102,1837,5,1260,2100,6,1417,2362,7,1575,2625,
8,8,1,1,720,1200,2,900,1500,3,1080,1800,4,1260,2100,5,1440,2400,6,1620,2700,7,1800,3000,
9,9,1,1,810,1350,2,1012,1687,3,1215,2025,4,1417,2362,5,1620,2700,6,1822,3037,7,2025,3375,
10,10,1,1,900,1500,2,1125,1875,3,1350,2250,4,1575,2625,5,1800,3000,6,2025,3375,7,2250,3750,
11,11,1,1,1050,1750,2,1312,2187,3,1575,2625,4,1837,3062,5,2100,3500,6,2362,3937,7,2625,4375,
12,12,1,1,1200,2000,2,1500,2500,3,1800,3000,4,2100,3500,5,2400,4000,6,2700,4500,7,3000,5000,
13,13,1,1,1350,2250,2,1687,2812,3,2025,3375,4,2362,3937,5,2700,4500,6,3037,5062,7,3375,5625,
14,14,1,1,1500,2500,2,1875,3125,3,2250,3750,4,2625,4375,5,3000,5000,6,3375,5625,7,3750,6250,
15,15,1,1,1725,2875,2,2156,3593,3,2587,4312,4,3018,5031,5,3450,5750,6,3881,6468,7,4312,7187,
16,16,1,1,1950,3250,2,2437,4062,3,2925,4875,4,3412,5687,5,3900,6500,6,4387,7312,7,4875,8125,
17,17,1,1,2175,3625,2,2718,4531,3,3262,5437,4,3806,6343,5,4350,7250,6,4893,8156,7,5437,9062,
18,18,1,1,2400,4000,2,3000,5000,3,3600,6000,4,4200,7000,5,4800,8000,6,5400,9000,7,6000,10000,
19,19,1,1,2700,4500,2,3375,5625,3,4050,6750,4,4725,7875,5,5400,9000,6,6075,10125,7,6750,11250,
20,20,1,1,3000,5000,2,3750,6250,3,4500,7500,4,5250,8750,5,6000,10000,6,6750,11250,7,7500,12500,
21,21,1,1,3300,5500,2,4125,6875,3,4950,8250,4,5775,9625,5,6600,11000,6,7425,12375,7,8250,13750,
22,1,2,1,24,40,2,30,50,3,36,60,4,42,70,5,48,80,6,54,90,7,60,100,
23,2,2,1,30,50,2,37,62,3,45,75,4,52,87,5,60,100,6,67,112,7,75,125,
24,3,2,1,36,60,2,45,75,3,54,90,4,63,105,5,72,120,6,81,135,7,90,150,
25,4,2,1,42,70,2,52,87,3,63,105,4,73,122,5,84,140,6,94,157,7,105,175,
26,5,2,1,48,80,2,60,100,3,72,120,4,84,140,5,96,160,6,108,180,7,120,200,
27,6,2,1,54,90,2,67,112,3,81,135,4,94,157,5,108,180,6,121,202,7,135,225,
28,7,2,1,63,105,2,78,131,3,94,157,4,110,183,5,126,210,6,141,236,7,157,262,
29,8,2,1,72,120,2,90,150,3,108,180,4,126,210,5,144,240,6,162,270,7,180,300,
30,9,2,1,81,135,2,101,168,3,121,202,4,141,236,5,162,270,6,182,303,7,202,337,
31,10,2,1,90,150,2,112,187,3,135,225,4,157,262,5,180,300,6,202,337,7,225,375,
32,11,2,1,105,175,2,131,218,3,157,262,4,183,306,5,210,350,6,236,393,7,262,437,
33,12,2,1,120,200,2,150,250,3,180,300,4,210,350,5,240,400,6,270,450,7,300,500,
34,13,2,1,135,225,2,168,281,3,202,337,4,236,393,5,270,450,6,303,506,7,337,562,
35,14,2,1,150,250,2,187,312,3,225,375,4,262,437,5,300,500,6,337,562,7,375,625,
36,15,2,1,172,287,2,215,359,3,258,431,4,301,503,5,345,575,6,388,646,7,431,718,
37,16,2,1,195,325,2,243,406,3,292,487,4,341,568,5,390,650,6,438,731,7,487,812,
38,17,2,1,217,362,2,271,453,3,326,543,4,380,634,5,435,725,6,489,815,7,543,906,
39,18,2,1,240,400,2,300,500,3,360,600,4,420,700,5,480,800,6,540,900,7,600,1000,
40,19,2,1,270,450,2,337,562,3,405,675,4,472,787,5,540,900,6,607,1012,7,675,1125,
41,20,2,1,300,500,2,375,625,3,450,750,4,525,875,5,600,1000,6,675,1125,7,750,1250,
42,21,2,1,330,550,2,412,687,3,495,825,4,577,962,5,660,1100,6,742,1237,7,825,1375,
43,1,4,1,3,5,2,4,7,3,5,8,4,6,10,5,6,11,6,7,12,7,9,15,
44,2,4,1,3,6,2,5,8,3,6,10,4,6,11,5,8,13,6,9,15,7,10,17,
45,3,4,1,4,7,2,6,10,3,6,11,4,8,13,5,9,15,6,10,17,7,12,20,
46,4,4,1,5,8,2,6,11,3,7,12,4,9,15,5,10,17,6,12,20,7,13,22,
47,5,4,1,6,10,2,7,12,3,9,15,4,10,17,5,12,20,6,13,22,7,15,25,
48,6,4,1,6,10,2,8,13,3,9,16,4,11,18,5,12,21,6,14,23,7,16,27,
49,7,4,1,6,11,2,9,15,3,10,17,4,12,20,5,14,23,6,15,26,7,18,30,
50,8,4,1,7,12,2,9,16,3,11,18,4,13,22,5,15,25,6,17,28,7,19,32,
51,9,4,1,8,13,2,10,17,3,12,20,4,14,23,5,16,27,6,18,31,7,21,35,
52,10,4,1,9,15,2,11,18,3,13,22,4,15,26,5,18,30,6,20,33,7,22,37,
53,11,4,1,9,15,2,12,20,3,14,23,4,16,27,5,18,31,6,21,35,7,24,40,
54,12,4,1,9,16,2,12,21,3,15,25,4,17,28,5,20,33,6,22,37,7,25,42,
55,13,4,1,10,17,2,13,22,3,15,26,4,18,31,5,21,35,6,24,40,7,27,45,
56,14,4,1,11,18,2,14,23,3,16,27,4,19,32,5,22,37,6,25,42,7,28,47,
57,15,4,1,12,20,2,15,25,3,18,30,4,21,35,5,24,40,6,27,45,7,30,50,
58,16,4,1,12,20,2,15,26,3,18,31,4,21,36,5,24,41,6,27,46,7,31,52,
59,17,4,1,12,21,2,16,27,3,19,32,4,22,37,5,26,43,6,29,48,7,33,55,
60,18,4,1,13,22,2,17,28,3,20,33,4,24,40,5,27,45,6,30,51,7,34,57,
61,19,4,1,14,23,2,18,30,3,21,35,4,24,41,5,28,47,6,32,53,7,36,60,
62,20,4,1,15,25,2,18,31,3,22,37,4,26,43,5,30,50,6,33,56,7,37,62,
63,21,4,1,15,25,2,19,32,3,23,38,4,27,45,5,30,51,6,34,57,7,39,65,
64,1,5|7|13|15|12|14|20|16|17|23|3,1,15,25,2,18,31,3,22,37,4,26,43,5,30,50,6,33,56,7,37,62,
65,2,5|7|13|15|12|14|20|16|17|23|3,1,16,27,2,20,34,3,24,41,4,28,48,5,33,55,6,37,61,7,41,68,
66,3,5|7|13|15|12|14|20|16|17|23|3,1,18,30,2,22,37,3,27,45,4,31,52,5,36,60,6,40,67,7,45,75,
67,4,5|7|13|15|12|14|20|16|17|23|3,1,19,32,2,24,40,3,29,48,4,34,56,5,39,65,6,43,73,7,48,81,
68,5,5|7|13|15|12|14|20|16|17|23|3,1,21,35,2,26,43,3,31,52,4,36,61,5,42,70,6,47,78,7,52,87,
69,6,5|7|13|15|12|14|20|16|17|23|3,1,22,37,2,28,46,3,33,56,4,39,65,5,45,75,6,50,84,7,56,93,
70,7,5|7|13|15|12|14|20|16|17|23|3,1,24,40,2,30,50,3,36,60,4,42,70,5,48,80,6,54,90,7,60,100,
71,8,5|7|13|15|12|14|20|16|17|23|3,1,25,42,2,31,53,3,38,63,4,44,74,5,51,85,6,57,95,7,63,106,
72,9,5|7|13|15|12|14|20|16|17|23|3,1,27,45,2,33,56,3,40,67,4,47,78,5,54,90,6,60,101,7,67,112,
73,10,5|7|13|15|12|14|20|16|17|23|3,1,28,47,2,35,59,3,42,71,4,49,83,5,57,95,6,64,106,7,71,118,
74,11,5|7|13|15|12|14|20|16|17|23|3,1,30,50,2,37,62,3,45,75,4,52,87,5,60,100,6,67,112,7,75,125,
75,12,5|7|13|15|12|14|20|16|17|23|3,1,31,52,2,39,65,3,47,78,4,55,91,5,63,105,6,70,118,7,78,131,
76,13,5|7|13|15|12|14|20|16|17|23|3,1,33,55,2,41,68,3,49,82,4,57,96,5,66,110,6,74,123,7,82,137,
77,14,5|7|13|15|12|14|20|16|17|23|3,1,34,57,2,43,71,3,51,86,4,60,100,5,69,115,6,77,129,7,86,143,
78,15,5|7|13|15|12|14|20|16|17|23|3,1,36,60,2,45,75,3,54,90,4,63,105,5,72,120,6,81,135,7,90,150,
79,16,5|7|13|15|12|14|20|16|17|23|3,1,37,62,2,46,78,3,56,93,4,65,109,5,75,125,6,84,140,7,93,156,
80,17,5|7|13|15|12|14|20|16|17|23|3,1,39,65,2,48,81,3,58,97,4,68,113,5,78,130,6,87,146,7,97,162,
81,18,5|7|13|15|12|14|20|16|17|23|3,1,40,67,2,50,84,3,60,101,4,70,118,5,81,135,6,91,151,7,101,168,
82,19,5|7|13|15|12|14|20|16|17|23|3,1,42,70,2,52,87,3,63,105,4,73,122,5,84,140,6,94,157,7,105,175,
83,20,5|7|13|15|12|14|20|16|17|23|3,1,43,72,2,54,90,3,65,108,4,76,126,5,87,145,6,97,163,7,108,181,
84,21,5|7|13|15|12|14|20|16|17|23|3,1,45,75,2,56,93,3,67,112,4,78,131,5,90,150,6,101,168,7,112,187,
85,1,8|9,1,12,20,2,15,25,3,18,30,4,21,35,5,24,40,6,27,45,7,30,50,
86,2,8|9,1,12,21,2,16,26,3,19,32,4,22,37,5,25,43,6,29,48,7,32,53,
87,3,8|9,1,13,23,2,17,28,3,20,34,4,24,40,5,27,46,6,31,51,7,34,57,
88,4,8|9,1,14,24,2,18,30,3,22,36,4,25,42,5,29,49,6,33,55,7,36,61,
89,5,8|9,1,15,26,2,19,32,3,23,39,4,27,45,5,31,52,6,35,58,7,39,65,
90,6,8|9,1,16,27,2,20,34,3,24,41,4,28,48,5,33,55,6,37,61,7,41,68,
91,7,8|9,1,17,29,2,21,36,3,26,43,4,30,50,5,34,58,6,39,65,7,43,72,
92,8,8|9,1,18,30,2,22,38,3,27,45,4,32,53,5,36,61,6,41,68,7,45,76,
93,9,8|9,1,19,32,2,24,40,3,28,48,4,33,56,5,38,64,6,43,72,7,48,80,
94,10,8|9,1,20,33,2,25,41,3,30,50,4,35,58,5,40,67,6,45,75,7,50,83,
95,11,8|9,1,21,35,2,26,43,3,31,52,4,36,61,5,42,70,6,47,78,7,52,87,
96,12,8|9,1,21,36,2,27,45,3,32,54,4,38,63,5,43,73,6,49,82,7,54,91,
97,13,8|9,1,22,38,2,28,47,3,34,57,4,39,66,5,45,76,6,51,85,7,57,95,
98,14,8|9,1,23,39,2,29,49,3,35,59,4,41,69,5,47,79,6,53,88,7,59,98,
99,15,8|9,1,24,41,2,30,51,3,36,61,4,43,71,5,49,82,6,55,92,7,61,102,
100,16,8|9,1,25,42,2,31,53,3,38,63,4,44,74,5,51,85,6,57,95,7,63,106,
101,17,8|9,1,26,44,2,33,55,3,39,66,4,46,77,5,52,88,6,59,99,7,66,110,
102,18,8|9,1,27,45,2,34,56,3,40,68,4,47,79,5,54,91,6,61,102,7,68,113,
103,19,8|9,1,28,47,2,35,58,3,42,70,4,49,82,5,56,94,6,63,105,7,70,117,
104,20,8|9,1,29,48,2,36,60,3,43,72,4,50,84,5,58,97,6,65,109,7,72,121,
105,21,8|9,1,30,50,2,37,62,3,45,75,4,52,87,5,60,100,6,67,112,7,75,125,
106,1,6,1,30,50,2,37,62,3,45,75,4,52,87,5,60,100,6,67,112,7,75,125,
107,2,6,1,33,55,2,41,68,3,49,82,4,57,96,5,66,110,6,74,123,7,82,137,
108,3,6,1,36,60,2,45,75,3,54,90,4,63,105,5,72,120,6,81,135,7,90,150,
109,4,6,1,39,65,2,48,81,3,58,97,4,68,113,5,78,130,6,87,146,7,97,162,
110,5,6,1,42,70,2,52,87,3,63,105,4,73,122,5,84,140,6,94,157,7,105,175,
111,6,6,1,45,75,2,56,93,3,67,112,4,78,131,5,90,150,6,101,168,7,112,187,
112,7,6,1,48,80,2,60,100,3,72,120,4,84,140,5,96,160,6,108,180,7,120,200,
113,8,6,1,51,85,2,63,106,3,76,127,4,89,148,5,102,170,6,114,191,7,127,212,
114,9,6,1,54,90,2,67,112,3,81,135,4,94,157,5,108,180,6,121,202,7,135,225,
115,10,6,1,57,95,2,71,118,3,85,142,4,99,166,5,114,190,6,128,213,7,142,237,
116,11,6,1,60,100,2,75,125,3,90,150,4,105,175,5,120,200,6,135,225,7,150,250,
