id,groupId,lv,properties-type-1,properties-way-1,properties-value-1,properties-type-2,properties-way-2,properties-value-2,properties-type-3,properties-way-3,properties-value-3,properties-type-4,properties-way-4,properties-value-4,properties-type-5,properties-way-5,properties-value-5,properties-type-6,properties-way-6,properties-value-6,materials-type-1,materials-id-1,materials-value-1,materials-type-2,materials-id-2,materials-value-2,newMaterials-type-1,newMaterials-id-1,newMaterials-value-1,newMaterials-type-2,newMaterials-id-2,newMaterials-value-2,
1101,1100,1,1,0,21942,2,1,30,,,,,,,,,,,,,,,,,,,,,,,,,
1102,1100,2,1,0,22918,2,1,20,,,,,,,,,,,,,2,1032,1,2,1033,4,2,1032,1,2,1033,4,
1103,1100,3,1,0,24381,2,1,20,,,,,,,,,,,,,2,1032,2,2,1033,8,2,1032,3,2,1033,12,
1104,1100,4,1,0,25843,2,1,20,,,,,,,,,,,,,2,1032,3,2,1033,12,2,1032,5,2,1033,20,
1105,1100,5,1,0,27306,2,1,20,,,,,,,,,,,,,2,1032,4,2,1033,16,2,1032,8,2,1033,32,
1106,1100,6,1,0,28769,2,1,20,,,,,,,,,,,,,2,1032,5,2,1033,20,2,1032,12,2,1033,48,
1107,1100,7,1,0,30232,2,1,20,,,,,,,,,,,,,2,1032,6,2,1033,24,2,1032,15,2,1033,60,
1108,1100,8,1,0,31695,2,1,30,,,,,,,,,,,,,2,1032,7,2,1033,28,2,1032,18,2,1033,72,
1109,1100,9,1,0,33157,2,1,30,,,,,,,,,,,,,2,1032,8,2,1033,32,2,1032,21,2,1033,84,
1110,1100,10,1,0,34620,2,1,30,,,,,,,,,,,,,2,1032,9,2,1033,36,2,1032,25,2,1033,100,
1111,1100,11,1,0,36083,2,1,30,,,,,,,,,,,,,2,1032,10,2,1033,40,2,1032,30,2,1033,120,
1112,1100,12,1,0,38034,2,1,30,,,,,,,,,,,,,2,1032,10,2,1033,40,2,1032,35,2,1033,140,
1113,1100,13,1,0,40472,2,1,30,,,,,,,,,,,,,2,1032,10,2,1033,40,2,1032,40,2,1033,160,
1114,1100,14,1,0,43397,2,1,30,,,,,,,,,,,,,2,1032,10,2,1033,40,2,1032,45,2,1033,180,
1115,1100,15,1,0,48761,2,1,30,,,,,,,,,,,,,2,1032,10,2,1033,40,2,1032,50,2,1033,200,
1201,1200,1,1,0,21942,2,1,30,,,,,,,,,,,,,,,,,,,,,,,,,
1202,1200,2,1,0,22918,2,1,20,,,,,,,,,,,,,2,1032,2,2,1033,8,2,1032,1,2,1033,4,
1203,1200,3,1,0,24381,2,1,20,,,,,,,,,,,,,2,1032,3,2,1033,12,2,1032,3,2,1033,12,
1204,1200,4,1,0,25843,2,1,20,,,,,,,,,,,,,2,1032,4,2,1033,16,2,1032,5,2,1033,20,
1205,1200,5,1,0,27306,2,1,20,,,,,,,,,,,,,2,1032,5,2,1033,20,2,1032,8,2,1033,32,
1206,1200,6,1,0,28769,2,1,20,,,,,,,,,,,,,2,1032,6,2,1033,24,2,1032,12,2,1033,48,
1207,1200,7,1,0,30232,2,1,20,,,,,,,,,,,,,2,1032,7,2,1033,28,2,1032,15,2,1033,60,
1208,1200,8,1,0,31695,2,1,30,,,,,,,,,,,,,2,1032,8,2,1033,32,2,1032,18,2,1033,72,
1209,1200,9,1,0,33157,2,1,30,,,,,,,,,,,,,2,1032,9,2,1033,36,2,1032,21,2,1033,84,
1210,1200,10,1,0,34620,2,1,30,,,,,,,,,,,,,2,1032,10,2,1033,40,2,1032,25,2,1033,100,
1211,1200,11,1,0,36083,2,1,30,,,,,,,,,,,,,2,1032,11,2,1033,44,2,1032,30,2,1033,120,
1212,1200,12,1,0,38034,2,1,30,,,,,,,,,,,,,2,1032,11,2,1033,44,2,1032,35,2,1033,140,
1213,1200,13,1,0,40472,2,1,30,,,,,,,,,,,,,2,1032,11,2,1033,44,2,1032,40,2,1033,160,
1214,1200,14,1,0,43397,2,1,30,,,,,,,,,,,,,2,1032,11,2,1033,44,2,1032,45,2,1033,180,
1215,1200,15,1,0,48761,2,1,30,,,,,,,,,,,,,2,1032,11,2,1033,44,2,1032,50,2,1033,200,
1301,1300,1,2,0,1540,1,1,30,,,,,,,,,,,,,,,,,,,,,,,,,
1302,1300,2,2,0,1609,1,1,20,,,,,,,,,,,,,2,1032,1,2,1033,4,2,1032,1,2,1033,4,
1303,1300,3,2,0,1711,1,1,20,,,,,,,,,,,,,2,1032,2,2,1033,8,2,1032,3,2,1033,12,
1304,1300,4,2,0,1814,1,1,20,,,,,,,,,,,,,2,1032,3,2,1033,12,2,1032,5,2,1033,20,
1305,1300,5,2,0,1917,1,1,20,,,,,,,,,,,,,2,1032,4,2,1033,16,2,1032,8,2,1033,32,
1306,1300,6,2,0,2019,1,1,20,,,,,,,,,,,,,2,1032,5,2,1033,20,2,1032,12,2,1033,48,
1307,1300,7,2,0,2122,1,1,20,,,,,,,,,,,,,2,1032,6,2,1033,24,2,1032,15,2,1033,60,
1308,1300,8,2,0,2225,1,1,30,,,,,,,,,,,,,2,1032,7,2,1033,28,2,1032,18,2,1033,72,
1309,1300,9,2,0,2327,1,1,30,,,,,,,,,,,,,2,1032,8,2,1033,32,2,1032,21,2,1033,84,
1310,1300,10,2,0,2430,1,1,30,,,,,,,,,,,,,2,1032,9,2,1033,36,2,1032,25,2,1033,100,
1311,1300,11,2,0,2533,1,1,30,,,,,,,,,,,,,2,1032,10,2,1033,40,2,1032,30,2,1033,120,
1312,1300,12,2,0,2670,1,1,30,,,,,,,,,,,,,2,1032,10,2,1033,40,2,1032,35,2,1033,140,
1313,1300,13,2,0,2841,1,1,30,,,,,,,,,,,,,2,1032,10,2,1033,40,2,1032,40,2,1033,160,
1314,1300,14,2,0,3046,1,1,30,,,,,,,,,,,,,2,1032,10,2,1033,40,2,1032,45,2,1033,180,
1315,1300,15,2,0,3423,1,1,30,,,,,,,,,,,,,2,1032,10,2,1033,40,2,1032,50,2,1033,200,
1401,1400,1,1,0,24281,2,0,1739,4,0,2,2,1,30,1,1,30,,,,,,,,,,,,,,,,
1402,1400,2,1,0,25360,2,0,1816,4,0,2,2,1,20,1,1,20,,,,2,1032,2,2,1033,8,2,1032,1,2,1033,4,
1403,1400,3,1,0,26978,2,0,1932,4,0,2,2,1,20,1,1,20,,,,2,1032,3,2,1033,12,2,1032,3,2,1033,12,
1404,1400,4,1,0,28597,2,0,2048,4,0,2,2,1,20,1,1,20,,,,2,1032,4,2,1033,16,2,1032,5,2,1033,20,
1405,1400,5,1,0,30216,2,0,2164,4,0,2,2,1,20,1,1,20,,,,2,1032,5,2,1033,20,2,1032,8,2,1033,32,
1406,1400,6,1,0,31835,2,0,2280,4,0,2,2,1,20,1,1,20,,,,2,1032,6,2,1033,24,2,1032,12,2,1033,48,
1407,1400,7,1,0,33453,2,0,2396,4,0,2,2,1,20,1,1,20,,,,2,1032,7,2,1033,28,2,1032,15,2,1033,60,
1408,1400,8,1,0,35072,2,0,2512,4,0,2,2,1,30,1,1,30,,,,2,1032,8,2,1033,32,2,1032,18,2,1033,72,
