id,lv,stage,lvMaterials-type-1,lvMaterials-id-1,lvMaterials-value-1,lvMaterials-type-2,lvMaterials-id-2,lvMaterials-value-2,lvMaterials-type-3,lvMaterials-id-3,lvMaterials-value-3,lvProperties-type-1,lvProperties-way-1,lvProperties-value-1,lvProperties-type-2,lvProperties-way-2,lvProperties-value-2,
1,0,0,1,8,4200000,1,10,2100000,,,,1,0,0,2,0,0,
2,0,1,1,8,4200000,1,10,2100000,,,,1,0,100,2,0,10,
3,0,2,1,8,4200000,1,10,2100000,,,,1,0,200,2,0,20,
4,0,3,1,8,4200000,1,10,2100000,,,,1,0,300,2,0,30,
5,0,4,1,8,4200000,1,10,2100000,,,,1,0,400,2,0,40,
6,0,5,1,8,4200000,1,10,2100000,,,,1,0,500,2,0,50,
7,0,6,1,8,4200000,1,10,2100000,,,,1,0,600,2,0,60,
8,0,7,1,8,4200000,1,10,2100000,,,,1,0,700,2,0,70,
9,0,8,1,8,4200000,1,10,2100000,,,,1,0,800,2,0,80,
10,0,9,1,8,4200000,1,10,2100000,,,,1,0,900,2,0,90,
11,0,10,2,1257,10,2,1001,6300,,,,1,0,1000,2,0,100,
12,1,0,1,8,4400000,1,10,2200000,,,,1,0,1000,2,0,100,
13,1,1,1,8,4400000,1,10,2200000,,,,1,0,1100,2,0,110,
14,1,2,1,8,4400000,1,10,2200000,,,,1,0,1200,2,0,120,
15,1,3,1,8,4400000,1,10,2200000,,,,1,0,1300,2,0,130,
16,1,4,1,8,4400000,1,10,2200000,,,,1,0,1400,2,0,140,
17,1,5,1,8,4400000,1,10,2200000,,,,1,0,1500,2,0,150,
18,1,6,1,8,4400000,1,10,2200000,,,,1,0,1600,2,0,160,
19,1,7,1,8,4400000,1,10,2200000,,,,1,0,1700,2,0,170,
20,1,8,1,8,4400000,1,10,2200000,,,,1,0,1800,2,0,180,
21,1,9,1,8,4400000,1,10,2200000,,,,1,0,1900,2,0,190,
22,1,10,2,1257,10,2,1001,6600,,,,1,0,2000,2,0,200,
23,2,0,1,8,4600000,1,10,2300000,,,,1,0,2000,2,0,200,
24,2,1,1,8,4600000,1,10,2300000,,,,1,0,2100,2,0,210,
25,2,2,1,8,4600000,1,10,2300000,,,,1,0,2200,2,0,220,
26,2,3,1,8,4600000,1,10,2300000,,,,1,0,2300,2,0,230,
27,2,4,1,8,4600000,1,10,2300000,,,,1,0,2400,2,0,240,
28,2,5,1,8,4600000,1,10,2300000,,,,1,0,2500,2,0,250,
29,2,6,1,8,4600000,1,10,2300000,,,,1,0,2600,2,0,260,
30,2,7,1,8,4600000,1,10,2300000,,,,1,0,2700,2,0,270,
31,2,8,1,8,4600000,1,10,2300000,,,,1,0,2800,2,0,280,
32,2,9,1,8,4600000,1,10,2300000,,,,1,0,2900,2,0,290,
33,2,10,2,1257,10,2,1001,6900,,,,1,0,3000,2,0,300,
34,3,0,1,8,4800000,1,10,2400000,,,,1,0,3000,2,0,300,
35,3,1,1,8,4800000,1,10,2400000,,,,1,0,3100,2,0,310,
36,3,2,1,8,4800000,1,10,2400000,,,,1,0,3200,2,0,320,
37,3,3,1,8,4800000,1,10,2400000,,,,1,0,3300,2,0,330,
38,3,4,1,8,4800000,1,10,2400000,,,,1,0,3400,2,0,340,
39,3,5,1,8,4800000,1,10,2400000,,,,1,0,3500,2,0,350,
40,3,6,1,8,4800000,1,10,2400000,,,,1,0,3600,2,0,360,
41,3,7,1,8,4800000,1,10,2400000,,,,1,0,3700,2,0,370,
42,3,8,1,8,4800000,1,10,2400000,,,,1,0,3800,2,0,380,
43,3,9,1,8,4800000,1,10,2400000,,,,1,0,3900,2,0,390,
44,3,10,2,1257,10,2,1001,7200,,,,1,0,4000,2,0,400,
45,4,0,1,8,5000000,1,10,2500000,,,,1,0,4000,2,0,400,
46,4,1,1,8,5000000,1,10,2500000,,,,1,0,4100,2,0,410,
47,4,2,1,8,5000000,1,10,2500000,,,,1,0,4200,2,0,420,
48,4,3,1,8,5000000,1,10,2500000,,,,1,0,4300,2,0,430,
49,4,4,1,8,5000000,1,10,2500000,,,,1,0,4400,2,0,440,
50,4,5,1,8,5000000,1,10,2500000,,,,1,0,4500,2,0,450,
51,4,6,1,8,5000000,1,10,2500000,,,,1,0,4600,2,0,460,
52,4,7,1,8,5000000,1,10,2500000,,,,1,0,4700,2,0,470,
53,4,8,1,8,5000000,1,10,2500000,,,,1,0,4800,2,0,480,
54,4,9,1,8,5000000,1,10,2500000,,,,1,0,4900,2,0,490,
55,4,10,2,1257,10,2,1001,7500,,,,1,0,5000,2,0,500,
56,5,0,1,8,5200000,1,10,2600000,,,,1,0,5000,2,0,500,
57,5,1,1,8,5200000,1,10,2600000,,,,1,0,5100,2,0,510,
58,5,2,1,8,5200000,1,10,2600000,,,,1,0,5200,2,0,520,
59,5,3,1,8,5200000,1,10,2600000,,,,1,0,5300,2,0,530,
60,5,4,1,8,5200000,1,10,2600000,,,,1,0,5400,2,0,540,
61,5,5,1,8,5200000,1,10,2600000,,,,1,0,5500,2,0,550,
62,5,6,1,8,5200000,1,10,2600000,,,,1,0,5600,2,0,560,
63,5,7,1,8,5200000,1,10,2600000,,,,1,0,5700,2,0,570,
64,5,8,1,8,5200000,1,10,2600000,,,,1,0,5800,2,0,580,
65,5,9,1,8,5200000,1,10,2600000,,,,1,0,5900,2,0,590,
66,5,10,2,1257,10,2,1001,7800,,,,1,0,6000,2,0,600,
67,6,0,1,8,5400000,1,10,2700000,,,,1,0,6000,2,0,600,
68,6,1,1,8,5400000,1,10,2700000,,,,1,0,6100,2,0,610,
69,6,2,1,8,5400000,1,10,2700000,,,,1,0,6200,2,0,620,
70,6,3,1,8,5400000,1,10,2700000,,,,1,0,6300,2,0,630,
71,6,4,1,8,5400000,1,10,2700000,,,,1,0,6400,2,0,640,
72,6,5,1,8,5400000,1,10,2700000,,,,1,0,6500,2,0,650,
73,6,6,1,8,5400000,1,10,2700000,,,,1,0,6600,2,0,660,
74,6,7,1,8,5400000,1,10,2700000,,,,1,0,6700,2,0,670,
75,6,8,1,8,5400000,1,10,2700000,,,,1,0,6800,2,0,680,
76,6,9,1,8,5400000,1,10,2700000,,,,1,0,6900,2,0,690,
77,6,10,2,1257,10,2,1001,8100,,,,1,0,7000,2,0,700,
78,7,0,1,8,5600000,1,10,2800000,,,,1,0,7000,2,0,700,
79,7,1,1,8,5600000,1,10,2800000,,,,1,0,7100,2,0,710,
80,7,2,1,8,5600000,1,10,2800000,,,,1,0,7200,2,0,720,
81,7,3,1,8,5600000,1,10,2800000,,,,1,0,7300,2,0,730,
82,7,4,1,8,5600000,1,10,2800000,,,,1,0,7400,2,0,740,
83,7,5,1,8,5600000,1,10,2800000,,,,1,0,7500,2,0,750,
84,7,6,1,8,5600000,1,10,2800000,,,,1,0,7600,2,0,760,
85,7,7,1,8,5600000,1,10,2800000,,,,1,0,7700,2,0,770,
86,7,8,1,8,5600000,1,10,2800000,,,,1,0,7800,2,0,780,
87,7,9,1,8,5600000,1,10,2800000,,,,1,0,7900,2,0,790,
88,7,10,2,1257,10,2,1001,8400,,,,1,0,8000,2,0,800,
89,8,0,1,8,5800000,1,10,2900000,,,,1,0,8000,2,0,800,
90,8,1,1,8,5800000,1,10,2900000,,,,1,0,8100,2,0,810,
91,8,2,1,8,5800000,1,10,2900000,,,,1,0,8200,2,0,820,
92,8,3,1,8,5800000,1,10,2900000,,,,1,0,8300,2,0,830,
93,8,4,1,8,5800000,1,10,2900000,,,,1,0,8400,2,0,840,
94,8,5,1,8,5800000,1,10,2900000,,,,1,0,8500,2,0,850,
95,8,6,1,8,5800000,1,10,2900000,,,,1,0,8600,2,0,860,
