id,heroGroup,heroOdd,heroName,heroPIC1,heroPIC2,moneyPre,property-type-1,property-way-1,property-value-1,property-type-2,property-way-2,property-value-2,property-type-3,property-way-3,property-value-3,property-type-4,property-way-4,property-value-4,
1,100,100,s==5|绿色石头怪,s==8|x_xshx10,s==7|x_js101,100,2,1,100,3,1,100,1,1,100,4,1,100,
2,100,100,s==5|蓝色石头怪,s==8|x_xshx10,s==7|x_js102,100,2,1,100,3,1,100,1,1,100,4,1,100,
3,100,100,s==2|鼎怪,s==8|x_xshx11,s==6|x_js11,100,2,1,100,3,1,100,1,1,100,4,1,100,
4,100,100,s==2|许攸,s==8|x_xshx01,s==6|x_js01,100,2,1,100,3,1,100,1,1,100,4,1,100,
5,100,100,s==2|张梁,s==8|x_xshx02,s==6|x_js02,100,2,1,100,3,1,100,1,1,100,4,1,100,
6,100,100,s==2|潘璋,s==8|x_xshx03,s==6|x_js03,100,2,1,100,3,1,100,1,1,100,4,1,100,
7,100,100,s==2|孟获,s==8|x_xshx04,s==6|x_js04,100,2,1,100,3,1,100,1,1,100,4,1,100,
8,100,100,s==3|刘三刀,s==8|x_xshx05,s==6|x_js05,100,2,1,100,3,1,100,1,1,100,4,1,100,
9,200,100,s==3|刘三刀,s==8|x_xshx05,s==6|x_js05,200,2,1,200,3,1,100,1,1,100,4,1,100,
10,200,100,s==2|鲁肃,s==8|x_xshx06,s==6|x_js06,200,2,1,200,3,1,200,1,1,200,4,1,200,
11,200,100,s==2|魏延,s==8|x_xshx07,s==6|x_js07,200,2,1,200,3,1,200,1,1,200,4,1,200,
12,200,100,s==2|潘璋,s==8|x_xshx03,s==6|x_js03,200,2,1,200,3,1,200,1,1,200,4,1,200,
13,200,100,s==2|孟获,s==8|x_xshx04,s==6|x_js04,200,2,1,200,3,1,200,1,1,200,4,1,200,
14,200,100,s==2|孙策,s==8|x_xshx08,s==6|x_js08,200,2,1,200,3,1,200,1,1,200,4,1,200,
15,200,100,s==5|蓝色石头怪,s==8|x_xshx10,s==7|x_js102,200,2,1,200,3,1,200,1,1,200,4,1,200,
16,200,100,s==5|紫色石头怪,s==8|x_xshx10,s==7|x_js103,200,2,1,200,3,1,200,1,1,200,4,1,200,
17,200,100,s==3|石狮怪,s==8|x_xshx13,s==6|x_js13,200,2,1,200,3,1,200,1,1,200,4,1,200,
18,200,100,s==3|长牙怪,s==8|x_xshx12,s==6|x_js12,200,2,1,200,3,1,200,1,1,200,4,1,200,
19,200,100,s==3|水晶怪,s==8|x_xshx14,s==6|x_js14,200,2,1,200,3,1,200,1,1,200,4,1,200,
20,200,100,s==2|鼎怪,s==8|x_xshx11,s==6|x_js11,200,2,1,200,3,1,200,1,1,200,4,1,200,
21,300,100,s==5|紫色石头怪,s==8|x_xshx10,s==7|x_js103,300,2,1,300,3,1,200,1,1,200,4,1,200,
22,300,100,s==3|石狮怪,s==8|x_xshx13,s==6|x_js13,300,2,1,300,3,1,300,1,1,300,4,1,300,
23,300,100,s==3|水晶怪,s==8|x_xshx14,s==6|x_js14,300,2,1,300,3,1,300,1,1,300,4,1,300,
24,300,100,s==3|长牙怪,s==8|x_xshx12,s==6|x_js12,300,2,1,300,3,1,300,1,1,300,4,1,300,
25,300,100,s==2|鲁肃,s==8|x_xshx06,s==6|x_js06,300,2,1,300,3,1,300,1,1,300,4,1,300,
26,300,100,s==2|魏延,s==8|x_xshx07,s==6|x_js07,300,2,1,300,3,1,300,1,1,300,4,1,300,
27,300,100,s==2|孙策,s==8|x_xshx08,s==6|x_js08,300,2,1,300,3,1,300,1,1,300,4,1,300,
28,300,100,s==3|刘三刀,s==8|x_xshx05,s==6|x_js05,300,2,1,300,3,1,300,1,1,300,4,1,300,
29,400,100,s==3|水晶怪,s==8|x_xshx14,s==6|x_js14,400,2,1,400,3,1,300,1,1,300,4,1,300,
30,400,100,s==3|石狮怪,s==8|x_xshx13,s==6|x_js13,400,2,1,400,3,1,400,1,1,400,4,1,400,
31,400,100,s==2|孙策,s==8|x_xshx08,s==6|x_js08,400,2,1,400,3,1,400,1,1,400,4,1,400,
32,400,100,s==3|司马徽,s==8|x_xshx09,s==6|x_js09,400,2,1,400,3,1,400,1,1,400,4,1,400,
33,400,100,s==3|长牙怪,s==8|x_xshx12,s==6|x_js12,400,2,1,400,3,1,400,1,1,400,4,1,400,
34,400,100,s==5|红色石头怪,s==8|x_xshx10,s==7|x_js104,400,2,1,400,3,1,400,1,1,400,4,1,400,
35,400,100,s==2|魏延,s==8|x_xshx07,s==6|x_js07,400,2,1,400,3,1,400,1,1,400,4,1,400,
36,1,100,s==5|绿色石头怪,s==8|x_xshx10,s==7|x_js101,100,2,1,100,3,1,100,1,1,100,4,1,100,
37,1,100,s==5|蓝色石头怪,s==8|x_xshx10,s==7|x_js102,100,2,1,100,3,1,100,1,1,100,4,1,100,
38,1,100,s==2|鼎怪,s==8|x_xshx11,s==6|x_js11,100,2,1,100,3,1,100,1,1,100,4,1,100,
39,1,100,s==2|许攸,s==8|x_xshx01,s==6|x_js01,100,2,1,100,3,1,100,1,1,100,4,1,100,
40,1,100,s==2|张梁,s==8|x_xshx02,s==6|x_js02,100,2,1,100,3,1,100,1,1,100,4,1,100,
41,2,100,s==5|绿色石头怪,s==8|x_xshx10,s==7|x_js101,200,2,1,100,3,1,100,1,1,100,4,1,100,
42,2,100,s==5|蓝色石头怪,s==8|x_xshx10,s==7|x_js102,200,2,1,100,3,1,100,1,1,100,4,1,100,
43,2,100,s==2|鼎怪,s==8|x_xshx11,s==6|x_js11,200,2,1,100,3,1,100,1,1,100,4,1,100,
44,2,100,s==2|许攸,s==8|x_xshx01,s==6|x_js01,200,2,1,100,3,1,100,1,1,100,4,1,100,
45,2,100,s==2|张梁,s==8|x_xshx02,s==6|x_js02,200,2,1,100,3,1,100,1,1,100,4,1,100,
