id,spName,isAtlas,filePath,desc,
101,s==7|site_01,1,s==32|GUI/Atlas/HeFuFight/HFBuildIcon1,s==24|Thủ phương đại bản doanh,
102,s==7|site_02,1,s==32|GUI/Atlas/HeFuFight/HFBuildIcon1,s==22|Đại bản doanh bên công,
103,s==7|site_03,1,s==32|GUI/Atlas/HeFuFight/HFBuildIcon1,s==10|Quân doanh,
104,s==7|site_04,1,s==32|GUI/Atlas/HeFuFight/HFBuildIcon1,s==9|Thành môn,
105,s==7|site_05,1,s==32|GUI/Atlas/HeFuFight/HFBuildIcon1,s==23|Thành lũy góc trái trên,
106,s==7|site_06,1,s==32|GUI/Atlas/HeFuFight/HFBuildIcon1,s==23|Thành lũy góc phải trên,
107,s==7|site_07,1,s==32|GUI/Atlas/HeFuFight/HFBuildIcon1,s==13|Thành lũy dọc,
108,s==7|site_08,1,s==32|GUI/Atlas/HeFuFight/HFBuildIcon1,s==23|Thành lũy góc trái dưới,
109,s==7|site_09,1,s==32|GUI/Atlas/HeFuFight/HFBuildIcon1,s==23|Thành lũy góc phải dưới,
110,s==7|site_10,1,s==32|GUI/Atlas/HeFuFight/HFBuildIcon1,s==18|Tàn tích kiến trúc,
111,s==7|site_11,1,s==32|GUI/Atlas/HeFuFight/HFBuildIcon1,s==13|Phong hỏa đài,
112,s==7|site_12,1,s==32|GUI/Atlas/HeFuFight/HFBuildIcon1,s==9|Mã trường,
113,s==7|site_13,1,s==32|GUI/Atlas/HeFuFight/HFBuildIcon1,s==12|Binh khí đài,
114,s==7|site_14,1,s==32|GUI/Atlas/HeFuFight/HFBuildIcon1,s==15|Một cụm thụ mộc,
115,s==7|site_15,1,s==32|GUI/Atlas/HeFuFight/HFBuildIcon1,s==15|Một vài thụ mộc,
116,s==7|site_16,1,s==32|GUI/Atlas/HeFuFight/HFBuildIcon1,s==23|Thạch khối 1 (có giếng),
117,s==7|site_17,1,s==32|GUI/Atlas/HeFuFight/HFBuildIcon1,s==12|Thạch khối 2,
118,s==7|site_18,1,s==32|GUI/Atlas/HeFuFight/HFBuildIcon1,s==4|Kiều,
119,s==7|site_19,1,s==32|GUI/Atlas/HeFuFight/HFBuildIcon1,s==15|Thành lũy ngang,
120,s==7|site_20,1,s==32|GUI/Atlas/HeFuFight/HFBuildIcon1,s==15|Thụ mộc đơn độc,
121,s==7|site_21,1,s==32|GUI/Atlas/HeFuFight/HFBuildIcon1,s==8|Long Trụ,
122,s==7|site_22,1,s==32|GUI/Atlas/HeFuFight/HFBuildIcon1,s==7|Quan ải,
123,s==7|icon_gu,1,s==32|GUI/Atlas/HeFuFight/HFBuildIcon1,s==5|Trống,
124,s==10|icon_ship1,1,s==32|GUI/Atlas/HeFuFight/HFBuildIcon1,s==22|Thuyền (góc trái dưới),
125,s==10|icon_ship2,1,s==32|GUI/Atlas/HeFuFight/HFBuildIcon1,s==22|Thuyền (góc phải dưới),
126,s==10|icon_ship3,1,s==32|GUI/Atlas/HeFuFight/HFBuildIcon1,s==17|Thuyền (bên trái),
127,s==10|icon_ship4,1,s==32|GUI/Atlas/HeFuFight/HFBuildIcon1,s==17|Thuyền (bên phải),
128,s==12|icon_barrack,1,s==32|GUI/Atlas/HeFuFight/HFBuildIcon1,s==17|Tiểu binh doanh 1,
129,s==13|icon_barrack1,1,s==32|GUI/Atlas/HeFuFight/HFBuildIcon1,s==17|Tiểu binh doanh 1,
130,s==6|site23,1,s==32|GUI/Atlas/HeFuFight/HFBuildIcon1,s==29|Thành lũy bên trái (mặt bằng),
131,s==13|icon_hospital,1,s==32|GUI/Atlas/HeFuFight/HFBuildIcon1,s==11|Chuẩn phòng,
132,s==16|icon_rockThrower,1,s==32|GUI/Atlas/HeFuFight/HFBuildIcon1,s==10|Máy bắn đá,
133,s==14|icon_waterwell,1,s==32|GUI/Atlas/HeFuFight/HFBuildIcon1,s==10|Giếng nước,
134,s==10|icon_tower,1,s==32|GUI/Atlas/HeFuFight/HFBuildIcon1,s==9|Thảo tháp,
135,s==6|site24,1,s==32|GUI/Atlas/HeFuFight/HFBuildIcon1,s==4|Cờ 1,
136,s==6|site25,1,s==32|GUI/Atlas/HeFuFight/HFBuildIcon1,s==4|Cờ 2,
137,s==6|site26,1,s==32|GUI/Atlas/HeFuFight/HFBuildIcon1,s==4|Cờ 3,
138,s==6|site27,1,s==32|GUI/Atlas/HeFuFight/HFBuildIcon1,s==4|Cờ 4,
139,s==6|site28,1,s==32|GUI/Atlas/HeFuFight/HFBuildIcon1,s==4|Cờ 5,
140,s==6|site29,1,s==32|GUI/Atlas/HeFuFight/HFBuildIcon1,s==20|Biểu tượng cửa thành,
