id,killAward,rankAwardGroup,rankAwardno1,challengePoint,killPoint,items-type-1,items-id-1,items-value-1,items-type-2,items-id-2,items-value-2,items-type-3,items-id-3,items-value-3,items-type-4,items-id-4,items-value-4,items-type-5,items-id-5,items-value-5,
1,866,1012,867,5,30,1,9,100,,,,,,,,,,,,,
2,873,1022,874,6,36,1,9,100,,,,,,,,,,,,,
3,880,1032,881,7,42,1,9,100,,,,,,,,,,,,,
4,887,1042,888,8,48,1,9,100,,,,,,,,,,,,,
101,866,1012,867,10,200,1,8,20000,,,,,,,,,,,,,
102,872,1014,873,15,300,1,8,35000,,,,,,,,,,,,,
103,878,1016,879,20,400,1,8,60000,,,,,,,,,,,,,
104,884,1018,885,12,200,1,8,80000,,,,,,,,,,,,,
201,890,1020,891,11,220,1,8,30000,,,,,,,,,,,,,
202,896,1022,897,16,330,1,8,52500,,,,,,,,,,,,,
203,902,1024,903,22,440,1,8,90000,,,,,,,,,,,,,
204,908,1026,909,14,220,1,8,120000,,,,,,,,,,,,,
301,914,1028,915,12,240,1,8,40000,,,,,,,,,,,,,
302,920,1030,921,17,360,1,8,70000,,,,,,,,,,,,,
303,926,1032,927,24,480,1,8,120000,,,,,,,,,,,,,
304,932,1034,933,16,240,1,8,160000,,,,,,,,,,,,,
401,938,1036,939,13,260,1,8,50000,,,,,,,,,,,,,
402,944,1038,945,18,390,1,8,87500,,,,,,,,,,,,,
403,950,1040,951,26,520,1,8,150000,,,,,,,,,,,,,
404,956,1042,957,18,260,1,8,200000,,,,,,,,,,,,,
501,962,1044,963,14,280,1,8,60000,,,,,,,,,,,,,
502,968,1046,969,19,420,1,8,105000,,,,,,,,,,,,,
503,974,1048,975,28,560,1,8,180000,,,,,,,,,,,,,
504,980,1050,981,20,280,1,8,240000,,,,,,,,,,,,,
601,986,1052,987,15,300,1,8,70000,,,,,,,,,,,,,
602,992,1054,993,20,450,1,8,122500,,,,,,,,,,,,,
603,998,1056,999,30,600,1,8,210000,,,,,,,,,,,,,
604,1004,1058,1005,22,300,1,8,280000,,,,,,,,,,,,,
701,1010,1060,1011,16,320,1,8,80000,,,,,,,,,,,,,
702,1016,1062,1017,21,480,1,8,140000,,,,,,,,,,,,,
703,1022,1064,1023,32,640,1,8,240000,,,,,,,,,,,,,
704,1028,1066,1029,24,320,1,8,320000,,,,,,,,,,,,,
