id,actId,showType,actType,beautyshow,show1,centreshow,dishow,group1,spend,codeTimes,codeTimes2,delayTimes,showtimes,timesspend,
1,3270,1,61,s==5|24516,s==9|z_zphpp05,s==9|z_zphpp01,s==9|z_zphpp03,1,2|1187|1,100,100,5,0,2|1187|50,
2,3270,2,61,s==5|24501,s==9|z_zphpp06,s==9|z_zphpp01,s==9|z_zphpp02,2,2|1226|1,100,100,5,1,2|1226|50,
3,3272,1,61,s==5|24516,s==9|z_zphpp05,s==9|z_zphpp01,s==9|z_zphpp03,3,2|1187|1,100,100,5,1,2|1187|50,
4,3272,2,61,s==5|24501,s==9|z_zphpp06,s==9|z_zphpp01,s==9|z_zphpp02,4,2|1226|1,100,100,5,1,2|1226|50,
5,3274,1,61,s==5|24516,s==9|z_zphpp05,s==9|z_zphpp01,s==9|z_zphpp03,5,2|1187|1,100,100,5,1,2|1187|50,
6,3274,2,61,s==5|24501,s==9|z_zphpp06,s==9|z_zphpp01,s==9|z_zphpp02,6,2|1226|1,100,100,5,1,2|1226|50,
7,3276,1,61,s==5|24516,s==9|z_zphpp05,s==9|z_zphpp01,s==9|z_zphpp03,7,2|1187|1,100,100,5,1,2|1187|50,
8,3276,2,61,s==5|24501,s==9|z_zphpp06,s==9|z_zphpp01,s==9|z_zphpp02,8,2|1226|1,100,100,5,1,2|1226|50,
9,4100,1,61,s==5|24516,s==9|z_zphpp05,s==9|z_zphpp01,s==9|z_zphpp03,9,2|1187|1,100,100,5,1,2|1187|50,
10,4100,2,61,s==5|24501,s==9|z_zphpp06,s==9|z_zphpp01,s==9|z_zphpp02,10,2|1226|1,100,100,5,1,2|1226|50,
11,4101,1,61,s==5|24516,s==9|z_zphpp05,s==9|z_zphpp01,s==9|z_zphpp03,11,2|1187|1,100,100,5,1,2|1187|50,
12,4101,2,61,s==5|24501,s==9|z_zphpp06,s==9|z_zphpp01,s==9|z_zphpp02,12,2|1226|1,100,100,5,1,2|1226|50,
13,4102,1,61,s==5|24516,s==9|z_zphpp05,s==9|z_zphpp01,s==9|z_zphpp03,13,2|1187|1,100,100,5,1,2|1187|50,
14,4102,2,61,s==5|24501,s==9|z_zphpp06,s==9|z_zphpp01,s==9|z_zphpp02,14,2|1226|1,100,100,5,1,2|1226|50,
15,4103,1,61,s==5|24516,s==9|z_zphpp05,s==9|z_zphpp01,s==9|z_zphpp03,15,2|1187|1,100,100,5,1,2|1187|50,
16,4103,2,61,s==5|24501,s==9|z_zphpp06,s==9|z_zphpp01,s==9|z_zphpp02,16,2|1226|1,100,100,5,1,2|1226|50,
17,4104,1,61,s==5|24516,s==9|z_zphpp05,s==9|z_zphpp01,s==9|z_zphpp03,17,2|1187|1,100,100,5,1,2|1187|50,
18,4104,2,61,s==5|24501,s==9|z_zphpp06,s==9|z_zphpp01,s==9|z_zphpp02,18,2|1226|1,100,100,5,1,2|1226|50,
19,4105,1,61,s==5|24516,s==9|z_zphpp05,s==9|z_zphpp01,s==9|z_zphpp03,19,2|1187|1,100,100,5,1,2|1187|50,
20,4105,2,61,s==5|24501,s==9|z_zphpp06,s==9|z_zphpp01,s==9|z_zphpp02,20,2|1226|1,100,100,5,1,2|1226|50,
21,4106,1,61,s==5|24516,s==9|z_zphpp05,s==9|z_zphpp01,s==9|z_zphpp03,21,2|1187|1,100,100,5,1,2|1187|50,
22,4106,2,61,s==5|24501,s==9|z_zphpp06,s==9|z_zphpp01,s==9|z_zphpp02,22,2|1226|1,100,100,5,1,2|1226|50,
23,4107,1,61,s==5|24516,s==9|z_zphpp05,s==9|z_zphpp01,s==9|z_zphpp03,23,2|1187|1,100,100,5,1,2|1187|50,
24,4107,2,61,s==5|24501,s==9|z_zphpp06,s==9|z_zphpp01,s==9|z_zphpp02,24,2|1226|1,100,100,5,1,2|1226|50,
25,4108,1,61,s==5|24516,s==9|z_zphpp05,s==9|z_zphpp01,s==9|z_zphpp03,25,2|1187|1,100,100,5,1,2|1187|50,
26,4108,2,61,s==5|24501,s==9|z_zphpp06,s==9|z_zphpp01,s==9|z_zphpp02,26,2|1226|1,100,100,5,1,2|1226|50,
27,4109,1,61,s==5|24516,s==9|z_zphpp05,s==9|z_zphpp01,s==9|z_zphpp03,27,2|1187|1,100,100,5,1,2|1187|50,
28,4109,2,61,s==5|24501,s==9|z_zphpp06,s==9|z_zphpp01,s==9|z_zphpp02,28,2|1226|1,100,100,5,1,2|1226|50,
29,4110,1,61,s==5|24516,s==9|z_zphpp05,s==9|z_zphpp01,s==9|z_zphpp03,29,2|1187|1,100,100,5,1,2|1187|50,
30,4110,2,61,s==5|24501,s==9|z_zphpp06,s==9|z_zphpp01,s==9|z_zphpp02,30,2|1226|1,100,100,5,1,2|1226|50,
31,4111,1,61,s==5|24516,s==9|z_zphpp05,s==9|z_zphpp01,s==9|z_zphpp03,31,2|1187|1,100,100,5,1,2|1187|50,
32,4111,2,61,s==5|24501,s==9|z_zphpp06,s==9|z_zphpp01,s==9|z_zphpp02,32,2|1226|1,100,100,5,1,2|1226|50,
33,4112,1,61,s==5|24516,s==9|z_zphpp05,s==9|z_zphpp01,s==9|z_zphpp03,33,2|1187|1,100,100,5,1,2|1187|50,
34,4112,2,61,s==5|24501,s==9|z_zphpp06,s==9|z_zphpp01,s==9|z_zphpp02,34,2|1226|1,100,100,5,1,2|1226|50,
35,4113,1,61,s==5|24516,s==9|z_zphpp05,s==9|z_zphpp01,s==9|z_zphpp03,35,2|1187|1,100,100,5,1,2|1187|50,
36,4113,2,61,s==5|24501,s==9|z_zphpp06,s==9|z_zphpp01,s==9|z_zphpp02,36,2|1226|1,100,100,5,1,2|1226|50,
37,4114,1,61,s==5|24516,s==9|z_zphpp05,s==9|z_zphpp01,s==9|z_zphpp03,37,2|1187|1,100,100,5,1,2|1187|50,
38,4114,2,61,s==5|24501,s==9|z_zphpp06,s==9|z_zphpp01,s==9|z_zphpp02,38,2|1226|1,100,100,5,1,2|1226|50,
39,4115,1,61,s==5|24516,s==9|z_zphpp05,s==9|z_zphpp01,s==9|z_zphpp03,39,2|1187|1,100,100,5,1,2|1187|50,
40,4115,2,61,s==5|24501,s==9|z_zphpp06,s==9|z_zphpp01,s==9|z_zphpp02,40,2|1226|1,100,100,5,1,2|1226|50,
41,4116,1,61,s==5|24516,s==9|z_zphpp05,s==9|z_zphpp01,s==9|z_zphpp03,41,2|1187|1,100,100,5,1,2|1187|50,
42,4116,2,61,s==5|24501,s==9|z_zphpp06,s==9|z_zphpp01,s==9|z_zphpp02,42,2|1226|1,100,100,5,1,2|1226|50,
43,4117,1,61,s==5|24516,s==9|z_zphpp05,s==9|z_zphpp01,s==9|z_zphpp03,43,2|1187|1,100,100,5,1,2|1187|50,
44,4117,2,61,s==5|24501,s==9|z_zphpp06,s==9|z_zphpp01,s==9|z_zphpp02,44,2|1226|1,100,100,5,1,2|1226|50,
45,4118,1,61,s==5|24516,s==9|z_zphpp05,s==9|z_zphpp01,s==9|z_zphpp03,45,2|1187|1,100,100,5,1,2|1187|50,
46,4118,2,61,s==5|24501,s==9|z_zphpp06,s==9|z_zphpp01,s==9|z_zphpp02,46,2|1226|1,100,100,5,1,2|1226|50,
