id,round,items-type-1,items-id-1,items-value-1,weight,
1,1,2,1004,1,166,
2,1,2,1014,1,170,
3,1,2,1003,5,100,
4,1,2,1003,3,166,
5,1,2,1005,5,1000,
6,1,2,1006,200,500,
7,1,2,1007,10,340,
8,1,2,1027,30,1000,
9,1,2,1030,1,200,
10,1,2,1029,2,400,
11,1,2,1019,5,667,
12,1,2,1002,6,833,
13,1,2,1003,2,250,
14,1,2,3008,10,855,
15,1,2,3008,25,334,
16,1,2,1001,200,500,
17,1,1,9,200,500,
18,1,2,1001,500,200,
19,1,1,8,1000000,1000,
20,2,2,1004,1,166,
21,2,2,1014,1,170,
22,2,2,1003,5,100,
23,2,2,1003,3,166,
24,2,2,1005,5,1000,
25,2,2,1006,200,500,
26,2,2,1007,10,340,
27,2,2,1027,30,1000,
28,2,2,1030,1,200,
29,2,2,1029,2,400,
30,2,2,1019,5,667,
31,2,2,1002,6,833,
32,2,2,1003,2,250,
33,2,2,3008,10,855,
34,2,2,3008,25,334,
35,2,2,1001,200,500,
36,2,1,9,200,500,
37,2,2,1001,500,200,
38,2,1,8,1000000,1000,
39,3,2,1004,1,166,
40,3,2,1014,1,170,
41,3,2,1003,5,100,
42,3,2,1003,3,166,
43,3,2,1005,5,1000,
44,3,2,1006,200,500,
45,3,2,1007,10,340,
46,3,2,1027,30,1000,
47,3,2,1030,1,200,
48,3,2,1029,2,400,
49,3,2,1019,5,667,
50,3,2,1002,6,833,
51,3,2,1003,2,250,
52,3,2,3008,10,855,
53,3,2,3008,25,334,
54,3,2,1001,200,500,
55,3,1,9,200,500,
56,3,2,1001,500,200,
57,3,1,8,1000000,1000,
58,4,2,1004,1,166,
59,4,2,1014,1,170,
60,4,2,1003,5,100,
61,4,2,1003,3,166,
62,4,2,1005,5,1000,
63,4,2,1006,200,500,
64,4,2,1007,10,340,
65,4,2,1027,30,1000,
66,4,2,1030,1,200,
67,4,2,1029,2,400,
68,4,2,1019,5,667,
69,4,2,1002,6,833,
70,4,2,1003,2,250,
71,4,2,3008,10,855,
72,4,2,3008,25,334,
73,4,2,1001,200,500,
74,4,1,9,200,500,
75,4,2,1001,500,200,
76,4,1,8,1000000,1000,
