id,totemId,level,propertys-type-1,propertys-way-1,propertys-value-1,propertys-type-2,propertys-way-2,propertys-value-2,needItems-type-1,needItems-id-1,needItems-value-1,needItems-type-2,needItems-id-2,needItems-value-2,
1,7001,1,2,1,620,8,0,620,2,1046,2,1,8,50000,
2,7001,2,2,1,640,8,0,640,2,1046,2,1,8,50000,
3,7001,3,2,1,660,8,0,660,2,1046,4,1,8,100000,
4,7001,4,2,1,680,8,0,680,2,1046,4,1,8,100000,
5,7001,5,2,1,700,8,0,700,2,1046,6,1,8,150000,
6,7001,6,2,1,720,8,0,720,2,1046,6,1,8,150000,
7,7001,7,2,1,740,8,0,740,2,1046,8,1,8,200000,
8,7001,8,2,1,760,8,0,760,2,1046,8,1,8,200000,
9,7001,9,2,1,780,8,0,780,2,1046,10,1,8,250000,
10,7001,10,2,1,800,8,0,800,2,1046,10,1,8,250000,
11,7001,11,2,1,820,8,0,820,2,1046,12,1,8,300000,
12,7001,12,2,1,840,8,0,840,2,1046,12,1,8,300000,
13,7001,13,2,1,860,8,0,860,2,1046,14,1,8,350000,
14,7001,14,2,1,880,8,0,880,2,1046,14,1,8,350000,
15,7001,15,2,1,900,8,0,900,2,1046,16,1,8,400000,
16,7001,16,2,1,920,8,0,920,2,1046,16,1,8,400000,
17,7001,17,2,1,940,8,0,940,2,1046,18,1,8,450000,
18,7001,18,2,1,960,8,0,960,2,1046,18,1,8,450000,
19,7001,19,2,1,980,8,0,980,2,1046,20,1,8,500000,
20,7001,20,2,1,1000,8,0,1000,2,1046,20,1,8,500000,
21,7001,21,2,1,1020,8,0,1020,2,1046,22,1,8,550000,
22,7001,22,2,1,1040,8,0,1040,2,1046,22,1,8,550000,
23,7001,23,2,1,1060,8,0,1060,2,1046,24,1,8,600000,
24,7001,24,2,1,1080,8,0,1080,2,1046,24,1,8,600000,
25,7001,25,2,1,1100,8,0,1100,2,1046,26,1,8,650000,
26,7001,26,2,1,1120,8,0,1120,2,1046,26,1,8,650000,
27,7001,27,2,1,1140,8,0,1140,2,1046,28,1,8,700000,
28,7001,28,2,1,1160,8,0,1160,2,1046,28,1,8,700000,
29,7001,29,2,1,1180,8,0,1180,2,1046,30,1,8,750000,
30,7001,30,2,1,1200,8,0,1200,2,1046,30,1,8,750000,
31,7001,31,2,1,1220,8,0,1220,2,1046,32,1,8,800000,
32,7001,32,2,1,1240,8,0,1240,2,1046,32,1,8,800000,
33,7001,33,2,1,1260,8,0,1260,2,1046,34,1,8,850000,
34,7001,34,2,1,1280,8,0,1280,2,1046,34,1,8,850000,
35,7001,35,2,1,1300,8,0,1300,2,1046,36,1,8,900000,
36,7001,36,2,1,1320,8,0,1320,2,1046,36,1,8,900000,
37,7001,37,2,1,1340,8,0,1340,2,1046,38,1,8,950000,
38,7001,38,2,1,1360,8,0,1360,2,1046,38,1,8,950000,
39,7001,39,2,1,1380,8,0,1380,2,1046,40,1,8,1000000,
40,7001,40,2,1,1400,8,0,1400,2,1046,40,1,8,1000000,
41,7001,41,2,1,1420,8,0,1420,2,1046,42,1,8,1050000,
42,7001,42,2,1,1440,8,0,1440,2,1046,42,1,8,1050000,
