id,heroId,level,skills-v0-1,skills-v1-1,skills-v2-1,skills-v0-2,skills-v1-2,skills-v2-2,skills-v0-3,skills-v1-3,skills-v2-3,skills-v0-4,skills-v1-4,skills-v2-4,skills-v0-5,skills-v1-5,skills-v2-5,skills-v0-6,skills-v1-6,skills-v2-6,skills-v0-7,skills-v1-7,skills-v2-7,skills-v0-8,skills-v1-8,skills-v2-8,skills-v0-9,skills-v1-9,skills-v2-9,
215031,21503,1,211011,212011,213011,221011,222011,223011,231011,232021,233021,21503411,21503421,21503431,251011,252011,253021,261011,262031,263031,271011,272011,273031,21503811,21503821,21503831,281011,282031,283021,
215032,21503,2,211012,212012,213012,221012,222012,223012,231012,232022,233022,21503412,21503422,21503432,251012,252012,253022,261012,262032,263032,271012,272012,273032,21503812,21503822,21503832,281012,282032,283022,
215033,21503,3,211013,212013,213013,221013,222013,223013,231013,232023,233023,21503413,21503423,21503433,251013,252013,253023,261013,262033,263033,271013,272013,273033,21503813,21503823,21503833,281013,282033,283023,
215034,21503,4,211014,212014,213014,221014,222014,223014,231014,232024,233024,21503414,21503424,21503434,251014,252014,253024,261014,262034,263034,271014,272014,273034,21503814,21503824,21503834,281014,282034,283024,
215035,21503,5,211015,212015,213015,221015,222015,223015,231015,232025,233025,21503415,21503425,21503435,251015,252015,253025,261015,262035,263035,271015,272015,273035,21503815,21503825,21503835,281015,282035,283025,
215041,21504,1,211011,212011,213011,221011,222011,223011,231011,232011,233021,21504411,21504421,21504431,251011,252011,253011,261031,262011,263021,271031,272011,273011,21504811,21504821,21504831,281031,282021,283031,
215042,21504,2,211012,212012,213012,221012,222012,223012,231012,232012,233022,21504412,21504422,21504432,251012,252012,253012,261032,262012,263022,271032,272012,273012,21504812,21504822,21504832,281032,282022,283032,
215043,21504,3,211013,212013,213013,221013,222013,223013,231013,232013,233023,21504413,21504423,21504433,251013,252013,253013,261033,262013,263023,271033,272013,273013,21504813,21504823,21504833,281033,282023,283033,
215044,21504,4,211014,212014,213014,221014,222014,223014,231014,232014,233024,21504414,21504424,21504434,251014,252014,253014,261034,262014,263024,271034,272014,273014,21504814,21504824,21504834,281034,282024,283034,
215045,21504,5,211015,212015,213015,221015,222015,223015,231015,232015,233025,21504415,21504425,21504435,251015,252015,253015,261035,262015,263025,271035,272015,273015,21504815,21504825,21504835,281035,282025,283035,
215051,21505,1,211011,212011,213011,221011,222011,223011,231021,232011,233011,21505411,21505421,21505431,251011,252011,253021,261021,262021,263011,271021,272021,273031,21505811,21505821,21505831,281021,282021,283031,
215052,21505,2,211012,212012,213012,221012,222012,223012,231022,232012,233012,21505412,21505422,21505432,251012,252012,253022,261022,262022,263012,271022,272022,273032,21505812,21505822,21505832,281022,282022,283032,
215053,21505,3,211013,212013,213013,221013,222013,223013,231023,232013,233013,21505413,21505423,21505433,251013,252013,253023,261023,262023,263013,271023,272023,273033,21505813,21505823,21505833,281023,282023,283033,
215054,21505,4,211014,212014,213014,221014,222014,223014,231024,232014,233014,21505414,21505424,21505434,251014,252014,253024,261024,262024,263014,271024,272024,273034,21505814,21505824,21505834,281024,282024,283034,
215055,21505,5,211015,212015,213015,221015,222015,223015,231025,232015,233015,21505415,21505425,21505435,251015,252015,253025,261025,262025,263015,271025,272025,273035,21505815,21505825,21505835,281025,282025,283035,
215071,21507,1,211011,212011,213011,221011,222011,223011,231011,232021,233011,21507411,21507421,21507431,251011,252011,253011,261031,262031,263021,271021,272021,273021,21507811,21507821,21507831,281031,282021,283011,
215072,21507,2,211012,212012,213012,221012,222012,223012,231012,232022,233012,21507412,21507422,21507432,251012,252012,253012,261032,262032,263022,271022,272022,273022,21507812,21507822,21507832,281032,282022,283012,
215073,21507,3,211013,212013,213013,221013,222013,223013,231013,232023,233013,21507413,21507423,21507433,251013,252013,253013,261033,262033,263023,271023,272023,273023,21507813,21507823,21507833,281033,282023,283013,
215074,21507,4,211014,212014,213014,221014,222014,223014,231014,232024,233014,21507414,21507424,21507434,251014,252014,253014,261034,262034,263024,271024,272024,273024,21507814,21507824,21507834,281034,282024,283014,
215075,21507,5,211015,212015,213015,221015,222015,223015,231015,232025,233015,21507415,21507425,21507435,251015,252015,253015,261035,262035,263025,271025,272025,273025,21507815,21507825,21507835,281035,282025,283015,
215081,21508,1,211011,212011,213011,221011,222011,223011,231011,232021,233011,21508411,21508421,21508431,251011,252011,253011,261021,262021,263031,271021,272031,273011,21508811,21508821,21508831,281031,282021,283031,
215082,21508,2,211012,212012,213012,221012,222012,223012,231012,232022,233012,21508412,21508422,21508432,251012,252012,253012,261022,262022,263032,271022,272032,273012,21508812,21508822,21508832,281032,282022,283032,
215083,21508,3,211013,212013,213013,221013,222013,223013,231013,232023,233013,21508413,21508423,21508433,251013,252013,253013,261023,262023,263033,271023,272033,273013,21508813,21508823,21508833,281033,282023,283033,
215084,21508,4,211014,212014,213014,221014,222014,223014,231014,232024,233014,21508414,21508424,21508434,251014,252014,253014,261024,262024,263034,271024,272034,273014,21508814,21508824,21508834,281034,282024,283034,
215085,21508,5,211015,212015,213015,221015,222015,223015,231015,232025,233015,21508415,21508425,21508435,251015,252015,253015,261025,262025,263035,271025,272035,273015,21508815,21508825,21508835,281035,282025,283035,
215101,21510,1,211011,212011,213011,221011,222011,223011,231011,232011,233011,21510411,21510421,21510431,251011,252011,253011,261011,262011,263031,271011,272031,273031,21510811,21510821,21510831,281021,282011,283031,
215102,21510,2,211012,212012,213012,221012,222012,223012,231012,232012,233012,21510412,21510422,21510432,251012,252012,253012,261012,262012,263032,271012,272032,273032,21510812,21510822,21510832,281022,282012,283032,
215103,21510,3,211013,212013,213013,221013,222013,223013,231013,232013,233013,21510413,21510423,21510433,251013,252013,253013,261013,262013,263033,271013,272033,273033,21510813,21510823,21510833,281023,282013,283033,
215104,21510,4,211014,212014,213014,221014,222014,223014,231014,232014,233014,21510414,21510424,21510434,251014,252014,253014,261014,262014,263034,271014,272034,273034,21510814,21510824,21510834,281024,282014,283034,
