id,dateStart,dateEnd,stageStart,stageEnd,stage,itemGroup,belovedItemID,isShowRecord,isRecord,desc,rewards-type-1,rewards-id-1,rewards-value-1,showOdd1,realOdd,preposeNum,mustNum,isShowSurplus,surplusNum,isEffect,
1,1,5,1,5,1,1,1,1,1,s==8|银龙飞将(永久),2,13002,1,67,100,50,200,,,1,
2,1,5,1,5,1,1,2,1,1,s==8|红莲业火(永久),2,13712,1,67,100,50,200,,,1,
3,1,5,1,5,1,1,3,1,1,s==8|天公将军(永久),2,13003,1,28,38,100,470,,,1,
4,1,5,1,5,1,1,4,1,1,s==5|高级技能玉,2,1176,1,111,500,70,110,1,3,1,
5,1,5,1,5,1,1,5,1,1,s==4|领军将印,2,4040,1,184,700,40,70,1,3,1,
6,1,5,1,5,1,1,6,1,1,s==5|超级技能玉,2,1177,1,38,250,220,380,1,4,1,
7,1,5,1,5,1,1,7,1,1,s==6|四星红装自选,2,2128,1,105,667,80,120,1,4,1,
8,1,5,1,5,1,1,8,1,1,s==6|4级宝石自选,2,2088,1,105,400,70,120,1,4,1,
9,1,5,1,5,1,2,,,,s==6|5星神魔碎片,2,3014,10,300,300,,,,,,
10,1,5,1,5,1,2,,,,s==4|神兵之魂,2,1030,4,200,200,,,,,,
11,1,5,1,5,1,2,,,,s==4|美人凤冠,2,1081,4,200,200,,,,,,
12,1,5,1,5,1,2,,,,s==4|宝物之魂,2,1044,2,200,200,,,,,,
13,1,5,1,5,1,2,,,,s==4|美人锦缎,2,1082,3,500,500,,,,,,
14,1,5,1,5,1,2,,,,s==5|宝物进阶石,2,1043,5,500,500,,,,,,
15,1,5,1,5,1,2,,,,s==5|神兵精炼石,2,1029,3,1000,1000,,,,,,
16,1,5,1,5,1,3,,,,s==5|高级寻访令,2,1003,1,500,500,,,,,,
17,1,5,1,5,1,3,,,,s==5|神兵强化石,2,1027,10,800,800,,,,,,
18,1,5,1,5,1,3,,,,s==4|自选精粹,2,1077,20,800,800,,,,,,
19,1,5,1,5,1,3,,,,s==6|5星随机碎片,2,3008,10,500,500,,,,,,
20,1,5,1,5,1,3,,,,s==6|4星随机碎片,2,3002,15,800,800,,,,,,
21,1,5,1,5,1,3,,,,s==3|将印石,2,1006,150,900,900,,,,,,
22,1,5,1,5,1,3,,,,s==3|突破石,2,1001,150,900,900,,,,,,
23,1,5,1,5,1,3,,,,s==6|幸运铜钱福袋,2,2200,1,900,900,,,,,,
24,1,5,1,5,1,3,,,,s==6|幸运经验福袋,2,2201,1,900,900,,,,,,
25,1,5,6,9,2,1,1,1,1,s==6|神·张飞碎片,2,24516,50,500,50,1,40,,,1,
26,1,5,6,9,2,1,2,1,1,s==6|神·关羽碎片,2,24505,50,500,50,1,40,,,1,
27,1,5,6,9,2,1,3,1,1,s==6|魔·华佗碎片,2,25514,50,500,50,1,40,,,1,
28,1,5,6,9,2,1,4,1,1,s==6|魔·吕布碎片,2,25504,50,500,50,1,40,,,1,
29,1,5,6,9,2,1,5,1,1,s==4|孙权碎片,2,23511,50,83,500,100,150,,,1,
30,1,5,6,9,2,1,6,1,1,s==5|超级技能玉,2,1177,1,38,250,220,380,1,4,1,
31,1,5,6,9,2,1,7,1,1,s==6|四星红装自选,2,2128,1,105,667,80,120,1,4,1,
32,1,5,6,9,2,1,8,1,1,s==6|4级宝石自选,2,2088,1,105,400,70,120,1,4,1,
33,1,5,6,9,2,2,,,,s==6|5星神魔碎片,2,3014,10,300,300,,,,,,
34,1,5,6,9,2,2,,,,s==4|神兵之魂,2,1030,4,200,200,,,,,,
35,1,5,6,9,2,2,,,,s==4|美人凤冠,2,1081,4,200,200,,,,,,
36,1,5,6,9,2,2,,,,s==4|宝物之魂,2,1044,2,200,200,,,,,,
37,1,5,6,9,2,2,,,,s==4|美人锦缎,2,1082,3,500,500,,,,,,
38,1,5,6,9,2,2,,,,s==5|宝物进阶石,2,1043,5,500,500,,,,,,
39,1,5,6,9,2,2,,,,s==5|神兵精炼石,2,1029,3,1000,1000,,,,,,
40,1,5,6,9,2,3,,,,s==5|高级寻访令,2,1003,1,500,500,,,,,,
41,1,5,6,9,2,3,,,,s==5|神兵强化石,2,1027,10,800,800,,,,,,
42,1,5,6,9,2,3,,,,s==4|自选精粹,2,1077,20,800,800,,,,,,
43,1,5,6,9,2,3,,,,s==6|5星随机碎片,2,3008,10,500,500,,,,,,
44,1,5,6,9,2,3,,,,s==6|4星随机碎片,2,3002,15,800,800,,,,,,
45,1,5,6,9,2,3,,,,s==3|将印石,2,1006,150,900,900,,,,,,
46,1,5,6,9,2,3,,,,s==3|突破石,2,1001,150,900,900,,,,,,
47,1,5,6,9,2,3,,,,s==6|幸运铜钱福袋,2,2200,1,900,900,,,,,,
48,1,5,6,9,2,3,,,,s==6|幸运经验福袋,2,2201,1,900,900,,,,,,
49,6,10,1,5,1,1,1,1,1,s==8|武侯虎痴(永久),2,13718,1,67,100,50,200,,,1,
50,6,10,1,5,1,1,2,1,1,s==8|情鸩入髓(永久),2,13715,1,28,38,100,470,,,1,
51,6,10,1,5,1,1,3,1,1,s==8|天公将军(永久),2,13003,1,28,38,100,470,,,1,
52,6,10,1,5,1,1,4,1,1,s==5|高级技能玉,2,1176,1,111,500,70,110,1,3,1,
53,6,10,1,5,1,1,5,1,1,s==7|三国皮肤自选箱,2,6669,1,71,111,50,200,,,1,
54,6,10,1,5,1,1,6,1,1,s==5|超级技能玉,2,1177,1,38,250,220,380,1,8,1,
55,6,10,1,5,1,1,7,1,1,s==6|四星红装自选,2,2128,1,105,667,80,120,1,8,1,
56,6,10,1,5,1,1,8,1,1,s==6|4级宝石自选,2,2088,1,125,500,60,120,1,8,1,
57,6,10,1,5,1,2,,,,s==6|5星神魔碎片,2,3014,10,300,300,,,,,,
58,6,10,1,5,1,2,,,,s==4|神兵之魂,2,1030,4,200,200,,,,,,
59,6,10,1,5,1,2,,,,s==4|美人凤冠,2,1081,4,200,200,,,,,,
60,6,10,1,5,1,2,,,,s==4|宝物之魂,2,1044,2,200,200,,,,,,
61,6,10,1,5,1,2,,,,s==4|美人锦缎,2,1082,3,500,500,,,,,,
62,6,10,1,5,1,2,,,,s==5|宝物进阶石,2,1043,5,500,500,,,,,,
63,6,10,1,5,1,2,,,,s==5|神兵精炼石,2,1029,3,1000,1000,,,,,,
64,6,10,1,5,1,3,,,,s==5|高级寻访令,2,1003,1,500,500,,,,,,
65,6,10,1,5,1,3,,,,s==5|神兵强化石,2,1027,10,800,800,,,,,,
66,6,10,1,5,1,3,,,,s==4|自选精粹,2,1077,20,800,800,,,,,,
67,6,10,1,5,1,3,,,,s==6|5星随机碎片,2,3008,10,500,500,,,,,,
68,6,10,1,5,1,3,,,,s==6|4星随机碎片,2,3002,15,800,800,,,,,,
69,6,10,1,5,1,3,,,,s==3|将印石,2,1006,150,900,900,,,,,,
70,6,10,1,5,1,3,,,,s==3|突破石,2,1001,150,900,900,,,,,,
71,6,10,1,5,1,3,,,,s==6|幸运铜钱福袋,2,2200,1,900,900,,,,,,
72,6,10,1,5,1,3,,,,s==6|幸运经验福袋,2,2201,1,900,900,,,,,,
73,6,10,6,9,2,1,1,1,1,s==6|神·张飞碎片,2,24516,50,500,50,1,40,,,1,
74,6,10,6,9,2,1,2,1,1,s==6|神·关羽碎片,2,24505,50,500,50,1,40,,,1,
75,6,10,6,9,2,1,3,1,1,s==6|魔·华佗碎片,2,25514,50,500,50,1,40,,,1,
76,6,10,6,9,2,1,4,1,1,s==6|魔·吕布碎片,2,25504,50,500,50,1,40,,,1,
77,6,10,6,9,2,1,5,1,1,s==4|孙权碎片,2,23511,50,83,500,100,150,,,1,
78,6,10,6,9,2,1,6,1,1,s==5|超级技能玉,2,1177,1,38,250,220,380,1,8,1,
79,6,10,6,9,2,1,7,1,1,s==6|四星红装自选,2,2128,1,105,667,80,120,1,8,1,
80,6,10,6,9,2,1,8,1,1,s==6|4级宝石自选,2,2088,1,125,500,60,120,1,8,1,
81,6,10,6,9,2,2,,,,s==6|5星神魔碎片,2,3014,10,300,300,,,,,,
82,6,10,6,9,2,2,,,,s==4|神兵之魂,2,1030,4,200,200,,,,,,
83,6,10,6,9,2,2,,,,s==4|美人凤冠,2,1081,4,200,200,,,,,,
84,6,10,6,9,2,2,,,,s==4|宝物之魂,2,1044,2,200,200,,,,,,
85,6,10,6,9,2,2,,,,s==4|美人锦缎,2,1082,3,500,500,,,,,,
86,6,10,6,9,2,2,,,,s==5|宝物进阶石,2,1043,5,500,500,,,,,,
87,6,10,6,9,2,2,,,,s==5|神兵精炼石,2,1029,3,1000,1000,,,,,,
88,6,10,6,9,2,3,,,,s==5|高级寻访令,2,1003,1,500,500,,,,,,
89,6,10,6,9,2,3,,,,s==5|神兵强化石,2,1027,10,800,800,,,,,,
90,6,10,6,9,2,3,,,,s==4|自选精粹,2,1077,20,800,800,,,,,,
91,6,10,6,9,2,3,,,,s==6|5星随机碎片,2,3008,10,500,500,,,,,,
92,6,10,6,9,2,3,,,,s==6|4星随机碎片,2,3002,15,800,800,,,,,,
93,6,10,6,9,2,3,,,,s==3|将印石,2,1006,150,900,900,,,,,,
94,6,10,6,9,2,3,,,,s==3|突破石,2,1001,150,900,900,,,,,,
95,6,10,6,9,2,3,,,,s==6|幸运铜钱福袋,2,2200,1,900,900,,,,,,
96,6,10,6,9,2,3,,,,s==6|幸运经验福袋,2,2201,1,900,900,,,,,,
97,11,21,1,5,1,1,1,1,1,s==8|武侯虎痴(永久),2,13718,1,67,100,50,200,,,1,
98,11,21,1,5,1,1,2,1,1,s==8|情鸩入髓(永久),2,13715,1,28,38,100,470,,,1,
99,11,21,1,5,1,1,3,1,1,s==8|温酒斩敌(永久),2,13710,1,67,100,50,200,,,1,
100,11,21,1,5,1,1,4,1,1,s==8|祈星唤风(永久),2,13713,1,28,38,100,470,,,1,
101,11,21,1,5,1,1,5,1,1,s==8|天公将军(永久),2,13003,1,28,38,100,470,,,1,
102,11,21,1,5,1,1,6,1,1,s==5|高级技能玉,2,1176,1,111,500,70,110,1,3,1,
103,11,21,1,5,1,1,7,1,1,s==7|三国皮肤自选箱,2,6669,1,71,111,50,200,,,1,
104,11,21,1,5,1,1,8,1,1,s==5|超级技能玉,2,1177,1,38,250,220,380,1,8,1,
105,11,21,1,5,1,1,9,1,1,s==6|四星红装自选,2,2128,1,105,667,80,120,1,8,,
106,11,21,1,5,1,1,10,1,1,s==6|4级宝石自选,2,2088,1,125,500,60,120,1,8,,
107,11,21,1,5,1,2,,,,s==6|5星神魔碎片,2,3014,10,300,300,,,,,,
108,11,21,1,5,1,2,,,,s==3|淬火玉,2,1037,4,200,200,,,,,,
109,11,21,1,5,1,2,,,,s==4|美人凤冠,2,1081,4,200,200,,,,,,
110,11,21,1,5,1,2,,,,s==4|宝石精华,2,1104,2,200,200,,,,,,
111,11,21,1,5,1,2,,,,s==4|美人锦缎,2,1082,3,1000,1000,,,,,,
112,11,21,1,5,1,2,,,,s==3|打孔石,2,1036,5,1030,1030,,,,,,
113,11,21,1,5,1,2,,,,s==5|宝石熔炼晶,2,1103,2,1000,1000,,,,,,
114,11,21,1,5,1,3,,,,s==5|高级寻访令,2,1003,1,500,500,,,,,,
115,11,21,1,5,1,3,,,,s==5|神兵强化石,2,1027,10,800,800,,,,,,
116,11,21,1,5,1,3,,,,s==4|自选精粹,2,1077,20,660,660,,,,,,
117,11,21,1,5,1,3,,,,s==6|5星随机碎片,2,3008,10,500,500,,,,,,
118,11,21,1,5,1,3,,,,s==6|4星随机碎片,2,3002,15,800,800,,,,,,
119,11,21,1,5,1,3,,,,s==3|将印石,2,1006,150,800,800,,,,,,
120,11,21,1,5,1,3,,,,s==3|突破石,2,1001,150,800,800,,,,,,
121,11,21,1,5,1,3,,,,s==6|幸运铜钱福袋,2,2200,1,600,600,,,,,,
122,11,21,1,5,1,3,,,,s==6|幸运经验福袋,2,2201,1,600,600,,,,,,
123,11,21,6,9,2,1,1,1,1,s==6|神·张飞碎片,2,24516,50,500,50,1,40,,,1,
124,11,21,6,9,2,1,2,1,1,s==6|神·关羽碎片,2,24505,50,500,50,1,40,,,1,
125,11,21,6,9,2,1,3,1,1,s==6|魔·华佗碎片,2,25514,50,500,50,1,40,,,1,
126,11,21,6,9,2,1,4,1,1,s==6|魔·吕布碎片,2,25504,50,500,50,1,40,,,1,
127,11,21,6,9,2,1,5,1,1,s==4|孙权碎片,2,23511,50,83,500,100,150,,,1,
128,11,21,6,9,2,1,6,1,1,s==5|超级技能玉,2,1177,1,38,250,220,380,1,8,1,
129,11,21,6,9,2,1,7,1,1,s==6|四星红装自选,2,2128,1,105,667,80,120,1,8,1,
130,11,21,6,9,2,1,8,1,1,s==6|4级宝石自选,2,2088,1,125,500,60,120,1,8,1,
131,11,21,6,9,2,2,,,,s==6|5星神魔碎片,2,3014,10,300,300,,,,,,
132,11,21,6,9,2,2,,,,s==4|神兵之魂,2,1030,4,200,200,,,,,,
133,11,21,6,9,2,2,,,,s==4|美人凤冠,2,1081,4,200,200,,,,,,
134,11,21,6,9,2,2,,,,s==4|宝物之魂,2,1044,2,200,200,,,,,,
135,11,21,6,9,2,2,,,,s==4|美人锦缎,2,1082,3,500,500,,,,,,
136,11,21,6,9,2,2,,,,s==5|宝物进阶石,2,1043,5,500,500,,,,,,
137,11,21,6,9,2,2,,,,s==5|神兵精炼石,2,1029,3,1000,1000,,,,,,
138,11,21,6,9,2,3,,,,s==5|高级寻访令,2,1003,1,500,500,,,,,,
139,11,21,6,9,2,3,,,,s==5|神兵强化石,2,1027,10,800,800,,,,,,
140,11,21,6,9,2,3,,,,s==4|自选精粹,2,1077,20,800,800,,,,,,
141,11,21,6,9,2,3,,,,s==6|5星随机碎片,2,3008,10,500,500,,,,,,
142,11,21,6,9,2,3,,,,s==6|4星随机碎片,2,3002,15,800,800,,,,,,
143,11,21,6,9,2,3,,,,s==3|将印石,2,1006,150,900,900,,,,,,
144,11,21,6,9,2,3,,,,s==3|突破石,2,1001,150,900,900,,,,,,
145,11,21,6,9,2,3,,,,s==6|幸运铜钱福袋,2,2200,1,900,900,,,,,,
146,11,21,6,9,2,3,,,,s==6|幸运经验福袋,2,2201,1,900,900,,,,,,
147,22,32,1,5,1,1,1,1,1,s==8|温酒斩敌(永久),2,13710,1,67,100,50,200,,,1,
148,22,32,1,5,1,1,2,1,1,s==8|祈星唤风(永久),2,13713,1,28,38,100,470,,,1,
149,22,32,1,5,1,1,3,1,1,s==8|戍卫北海(永久),2,13720,1,67,100,50,200,,,1,
150,22,32,1,5,1,1,4,1,1,s==8|灭世鬼神(永久),2,13716,1,28,38,100,470,,,1,
151,22,32,1,5,1,1,5,1,1,s==7|神魔皮肤自选箱,2,6668,1,28,38,100,470,,,1,
152,22,32,1,5,1,1,6,1,1,s==5|超级技能玉,2,1177,1,38,250,220,380,1,8,1,
153,22,32,1,5,1,1,7,1,1,s==7|三国皮肤自选箱,2,6669,1,71,111,50,200,,,1,
154,22,32,1,5,1,1,8,1,1,s==6|4级宝石自选,2,2088,1,125,500,60,120,1,8,1,
155,22,32,1,5,1,2,,,,s==6|5星神魔碎片,2,3014,10,300,300,,,,,,
156,22,32,1,5,1,2,,,,s==5|将印锁定石,2,1105,1,200,200,,,,,,
157,22,32,1,5,1,2,,,,s==4|配饰之魂,2,1009,4,200,200,,,,,,
158,22,32,1,5,1,2,,,,s==5|配饰精炼石,2,1010,4,100,100,,,,,,
159,22,32,1,5,1,2,,,,s==4|转换神石,2,1052,20,1000,1000,,,,,,
160,22,32,1,5,1,2,,,,s==5|配饰升星石,2,1011,3,500,500,,,,,,
161,22,32,1,5,1,2,,,,s==3|淬火玉,2,1037,4,100,100,,,,,,
162,22,32,1,5,1,2,,,,s==3|打孔石,2,1036,5,530,530,,,,,,
163,22,32,1,5,1,2,,,,s==3|女儿红,2,1078,150,1000,1000,,,,,,
164,22,32,1,5,1,3,,,,s==5|高级寻访令,2,1003,1,500,500,,,,,,
165,22,32,1,5,1,3,,,,s==5|神兵强化石,2,1027,20,800,800,,,,,,
166,22,32,1,5,1,3,,,,s==4|自选精粹,2,1077,40,660,660,,,,,,
167,22,32,1,5,1,3,,,,s==6|5星随机碎片,2,3008,10,500,500,,,,,,
168,22,32,1,5,1,3,,,,s==6|4星随机碎片,2,3002,30,800,800,,,,,,
169,22,32,1,5,1,3,,,,s==3|将印石,2,1006,300,800,800,,,,,,
170,22,32,1,5,1,3,,,,s==3|突破石,2,1001,300,800,800,,,,,,
171,22,32,1,5,1,3,,,,s==6|幸运铜钱福袋,2,2200,3,600,600,,,,,,
172,22,32,1,5,1,3,,,,s==6|幸运经验福袋,2,2201,3,600,600,,,,,,
173,22,32,6,9,2,1,1,1,1,s==6|神·张飞碎片,2,24516,50,500,50,1,40,,,1,
174,22,32,6,9,2,1,2,1,1,s==6|神·关羽碎片,2,24505,50,500,50,1,40,,,1,
175,22,32,6,9,2,1,3,1,1,s==6|魔·华佗碎片,2,25514,50,500,50,1,40,,,1,
176,22,32,6,9,2,1,4,1,1,s==6|魔·吕布碎片,2,25504,50,500,50,1,40,,,1,
177,22,32,6,9,2,1,5,1,1,s==4|孙权碎片,2,23511,50,83,500,100,150,,,1,
