id,question,option1,option2,option3,option4,trueOption,pro,
1,s==70|Tam Quốc Diễn Nghĩa trung， hỏa thiêu Bác Vọng Phố chi chủ đạo giả thị?,s==13|Gia Cát Lượng,s==6|Từ Thứ,s==10|Quải Lương,s==9|Quải Việt,1,250,
2,s==55|Tam Quốc Diễn Nghĩa trung， Mạnh Hoạch chi phu nhân thị?,s==9|Chúc Dung,s==16|Đóa Tư Đại Vương,s==16|Cự Lộc Đại Vương,s==8|Chu Linh,1,250,
3,s==64|Nhai Đình chi chiến， đại phá Mã Túc chi Tào Ngụy tướng lĩnh thị?,s==10|Trương Hợp,s==8|Văn Uyên,s==10|Hạ Hầu Đôn,s==11|Hạ Hầu Uyên,1,250,
4,s==122|Hán mạt quần hùng lý， hữu “Bát Tuấn” chi nhất， đơn kỵ nhập Kinh Châu， túc thanh vạn lý， quần dân duyệt phục。 thử nhân thị?,s==8|Lưu Biểu,s==6|Lưu Bị,s==8|Tôn Kiên,s==10|Viên Thuật,1,250,
5,s==125|Tào Tháo dữ Viên Thiệu tranh bá Bắc phương chi Quan Độ chi chiến trung， khởi đáo quyết định tính tác dụng chi chiến dịch thị?,s==11|Trận Ô Thao,s==12|Trận Bạch Mã,s==15|Trận Phúc Dương,s==12|Trận Từ Châu,1,250,
6,s==136|Tam Quốc Diễn Nghĩa trung， Tào Tháo dữ Lưu Bị thanh mai chử tử thời， tằng ngôn cập thiên hạ anh hùng duy hữu nhị nhân， thử nhị nhân thị?,s==16|Tào Tháo、 Lưu Bị,s==20|Tôn Sách、 Viên Thuật,s==19|Lưu Biểu、 Lưu Nhiên,s==24|Công Tôn Tán、 Viên Thiệu,1,250,
7,s==56|Tam Quốc Diễn Nghĩa trung， Tôn Sách chi thê tử thị thùy?,s==8|Đại Kiều,s==9|Tiểu Kiều,s==8|Trần Mật,s==13|Khâu phu nhân,1,250,
8,s==127|Tam Quốc Diễn Nghĩa trung， Trương Tú sử dụng liễu thùy chi kế， sử Tào Tháo thống thất ái tướng dữ tử tỉ， nguyên khí đại thương?,s==9|Tống Hiến,s==9|Hồ Xa Nhi,s==6|Giả Hủ,s==8|Hác Mông,3,250,
9,s==88|Tam Quốc Diễn Nghĩa trung， Tào Tháo tằng bị thùy sát đích cát tu bỏ bào， y diện nhi tẩu?,s==9|Triệu Vân,s==7|Mã Siêu,s==9|Tôn Quyền,s==5|Lữ Bố,2,250,
10,s==87|Tam Quốc Diễn Nghĩa trung， bị Triệu Vân thích tử chi “Linh Lăng thượng tướng” thị thùy?,s==13|Hình Đạo Vinh,s==11|Lưu Tam Đao,s==11|Phan Phượng,s==12|Phương Duyệt,1,250,
