id,type,skinId,name,lv,backoff-type-1,backoff-id-1,backoff-value-1,consumes-type-1,consumes-id-1,consumes-value-1,StrongFun-type-1,StrongFun-way-1,StrongFun-value-1,StrongFun-type-2,StrongFun-way-2,StrongFun-value-2,StrongFun-type-3,StrongFun-way-3,StrongFun-value-3,StrongFun-type-4,StrongFun-way-4,StrongFun-value-4,StrongHpfull,StrongAtkfull,fullScaleArmature,fullScaleArmatureNmae,fullScaleArmatureIdle,fullScaleArmatureIdleName,StrongAllFun-type-1,StrongAllFun-way-1,StrongAllFun-value-1,StrongAllFun-type-2,StrongAllFun-way-2,StrongAllFun-value-2,
1,1,13001,s==4|炼狱鬼神,1,2,1026,6,2,1026,10,1,1,100,,,,,,,,,,,,25504001,s==4|show,255040101,s==4|idle,,,,,,,
2,1,13001,s==4|炼狱鬼神,2,2,1026,13,2,1026,12,2,1,100,,,,,,,,,,,,25504001,s==4|show,255040101,s==4|idle,,,,,,,
3,1,13001,s==4|炼狱鬼神,3,2,1026,21,2,1026,14,3,1,100,,,,,,,,,,,,25504001,s==4|show,255040101,s==4|idle,,,,,,,
4,1,13001,s==4|炼狱鬼神,4,2,1026,31,2,1026,16,4,0,3,,,,,,,,,,,,25504001,s==4|show,255040101,s==4|idle,,,,,,,
5,1,13001,s==4|炼狱鬼神,5,2,1026,43,2,1026,20,1,1,100,,,,,,,,,,,,25504001,s==4|show,255040101,s==4|idle,,,,,,,
6,1,13001,s==4|炼狱鬼神,6,2,1026,55,2,1026,20,2,1,100,,,,,,,,,,,,25504001,s==4|show,255040101,s==4|idle,,,,,,,
7,1,13001,s==4|炼狱鬼神,7,2,1026,68,2,1026,22,3,1,200,,,,,,,,,,,,25504001,s==4|show,255040101,s==4|idle,,,,,,,
8,1,13001,s==4|炼狱鬼神,8,2,1026,84,2,1026,26,4,0,4,,,,,,,,,,,,25504001,s==4|show,255040101,s==4|idle,,,,,,,
9,1,13001,s==4|炼狱鬼神,9,2,1026,100,2,1026,28,1,1,100,,,,,,,,,,,,25504001,s==4|show,255040101,s==4|idle,,,,,,,
10,1,13001,s==4|炼狱鬼神,10,2,1026,120,2,1026,32,2,1,100,,,,,,,,,,,,25504011,s==4|show,255040100,s==4|idle,,,,,,,
11,1,13001,s==4|炼狱鬼神,11,2,1026,140,2,1026,34,1,1,100,,,,,,,,,,,,25504011,s==4|show,255040100,s==4|idle,,,,,,,
12,1,13001,s==4|炼狱鬼神,12,2,1026,163,2,1026,38,2,1,100,,,,,,,,,,,,25504011,s==4|show,255040100,s==4|idle,,,,,,,
13,1,13001,s==4|炼狱鬼神,13,2,1026,188,2,1026,42,3,1,100,,,,,,,,,,,,25504011,s==4|show,255040100,s==4|idle,,,,,,,
14,1,13001,s==4|炼狱鬼神,14,2,1026,217,2,1026,48,4,0,3,,,,,,,,,,,,25504011,s==4|show,255040100,s==4|idle,,,,,,,
15,1,13001,s==4|炼狱鬼神,15,2,1026,249,2,1026,54,1,1,100,,,,,,,,,,,,25504011,s==4|show,255040100,s==4|idle,,,,,,,
16,1,13001,s==4|炼狱鬼神,16,2,1026,285,2,1026,60,2,1,100,,,,,,,,,,,,25504011,s==4|show,255040100,s==4|idle,,,,,,,
17,1,13001,s==4|炼狱鬼神,17,2,1026,325,2,1026,66,3,1,200,,,,,,,,,,,,25504011,s==4|show,255040100,s==4|idle,,,,,,,
18,1,13001,s==4|炼狱鬼神,18,2,1026,372,2,1026,78,4,0,5,,,,,,,,,,,,25504011,s==4|show,255040100,s==4|idle,,,,,,,
19,1,13001,s==4|炼狱鬼神,19,2,1026,422,2,1026,84,1,1,100,,,,,,,,,,,,25504011,s==4|show,255040100,s==4|idle,,,,,,,
20,1,13001,s==4|炼狱鬼神,20,2,1026,480,2,1026,96,2,1,100,,,,,,,,,,,,25504011,s==4|show,255040100,s==4|idle,,,,,,,
21,2,13002,s==4|银龙飞将,1,2,1083,50,2,1083,50,1,1,100,2,1,100,3,1,100,4,0,3,25,3,22508001,s==4|show,225080101,s==4|idle,,,,,,,
22,2,13002,s==4|银龙飞将,2,2,1083,100,2,1083,50,1,1,100,2,1,100,3,1,100,4,0,3,25,3,22508001,s==4|show,225080101,s==4|idle,,,,,,,
23,2,13002,s==4|银龙飞将,3,2,1083,150,2,1083,50,1,1,100,2,1,100,3,1,100,4,0,3,25,3,22508001,s==4|show,225080101,s==4|idle,,,,,,,
24,2,13002,s==4|银龙飞将,4,2,1083,200,2,1083,50,1,1,100,2,1,100,3,1,100,4,0,3,25,3,22508001,s==4|show,225080101,s==4|idle,,,,,,,
25,2,13002,s==4|银龙飞将,5,2,1083,250,2,1083,50,1,1,100,2,1,100,3,1,100,4,0,3,25,3,22508001,s==8|show_max,225080101,s==8|idle_max,,,,,,,
26,2,13003,s==4|天公将军,1,2,1083,50,2,1083,50,1,1,100,2,1,100,3,1,100,4,0,3,101,11,24504001,s==4|show,245040101,s==4|idle,,,,,,,
27,2,13003,s==4|天公将军,2,2,1083,100,2,1083,50,1,1,100,2,1,100,3,1,100,4,0,3,101,11,24504001,s==4|show,245040101,s==4|idle,,,,,,,
28,2,13003,s==4|天公将军,3,2,1083,150,2,1083,50,1,1,100,2,1,100,3,1,100,4,0,3,101,11,24504001,s==4|show,245040101,s==4|idle,,,,,,,
29,2,13003,s==4|天公将军,4,2,1083,200,2,1083,50,1,1,100,2,1,100,3,1,100,4,0,3,101,11,24504001,s==4|show,245040101,s==4|idle,,,,,,,
30,2,13003,s==4|天公将军,5,2,1083,250,2,1083,50,1,1,100,2,1,100,3,1,100,4,0,3,101,11,24504001,s==8|show_max,245040101,s==8|idle_max,,,,,,,
31,2,13004,s==4|温酒斩敌,1,2,1083,50,2,1083,50,1,1,100,2,1,100,3,1,100,4,0,3,25,3,22504001,s==4|show,225040101,s==4|idle,,,,,,,
32,2,13004,s==4|温酒斩敌,2,2,1083,100,2,1083,50,1,1,100,2,1,100,3,1,100,4,0,3,25,3,22504001,s==4|show,225040101,s==4|idle,,,,,,,
