id,mainId,type,taskDesc,targets-targetType-1,targets-targetId-1,targets-targetValue-1,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,
1,1,1,s==9|累计普通夺宝30次,344,1,30,1,9,50,2,1003,1,1,8,100000,
2,1,1,s==6|高级夺宝1次,344,2,1,1,9,50,2,1001,200,1,8,100000,
3,1,1,s==9|累计普通寻访30次,403,1,30,1,9,50,2,1004,1,1,8,100000,
4,1,1,s==7|聚贤阁寻访5次,211,0,5,1,9,50,2,1014,1,1,8,100000,
5,1,2,,,,,2,3008,50,,,,,,,
6,2,1,s==9|累计普通夺宝30次,344,1,30,1,9,50,2,1003,1,1,8,100000,
7,2,1,s==6|高级夺宝1次,344,2,1,1,9,50,2,1001,200,1,8,100000,
8,2,1,s==9|累计普通寻访30次,403,1,30,1,9,50,2,1004,1,1,8,100000,
9,2,1,s==7|聚贤阁寻访5次,211,0,5,1,9,50,2,1014,1,1,8,100000,
10,2,2,,,,,2,3008,50,,,,,,,
11,3,1,s==9|累计普通夺宝30次,344,1,30,1,9,50,2,1003,1,1,8,100000,
12,3,1,s==6|高级夺宝1次,344,2,1,1,9,50,2,1001,200,1,8,100000,
13,3,1,s==9|累计普通寻访30次,403,1,30,1,9,50,2,1004,1,1,8,100000,
14,3,1,s==7|聚贤阁寻访5次,211,0,5,1,9,50,2,1014,1,1,8,100000,
15,3,2,,,,,2,3008,50,,,,,,,
16,4,1,s==9|累计普通夺宝30次,344,1,30,1,9,50,2,1003,1,1,8,100000,
17,4,1,s==6|高级夺宝1次,344,2,1,1,9,50,2,1001,200,1,8,100000,
18,4,1,s==9|累计普通寻访30次,403,1,30,1,9,50,2,1004,1,1,8,100000,
19,4,1,s==7|聚贤阁寻访5次,211,0,5,1,9,50,2,1014,1,1,8,100000,
20,4,2,,,,,2,3008,50,,,,,,,
21,5,1,s==9|累计普通夺宝30次,344,1,30,1,9,50,2,1003,1,1,8,100000,
22,5,1,s==6|高级夺宝1次,344,2,1,1,9,50,2,1001,200,1,8,100000,
23,5,1,s==9|累计普通寻访30次,403,1,30,1,9,50,2,1004,1,1,8,100000,
24,5,1,s==7|聚贤阁寻访5次,211,0,5,1,9,50,2,1014,1,1,8,100000,
25,5,2,,,,,2,3008,50,,,,,,,
26,6,1,s==9|累计普通夺宝30次,344,1,30,1,9,50,2,1003,1,1,8,100000,
27,6,1,s==6|高级夺宝1次,344,2,1,1,9,50,2,1001,200,1,8,100000,
28,6,1,s==9|累计普通寻访30次,403,1,30,1,9,50,2,1004,1,1,8,100000,
29,6,1,s==7|聚贤阁寻访5次,211,0,5,1,9,50,2,1014,1,1,8,100000,
30,6,2,,,,,2,3008,50,,,,,,,
31,7,1,s==9|累计普通夺宝30次,344,1,30,1,9,50,2,1003,1,1,8,100000,
32,7,1,s==6|高级夺宝1次,344,2,1,1,9,50,2,1001,200,1,8,100000,
33,7,1,s==9|累计普通寻访30次,403,1,30,1,9,50,2,1004,1,1,8,100000,
34,7,1,s==7|聚贤阁寻访5次,211,0,5,1,9,50,2,1014,1,1,8,100000,
35,7,2,,,,,2,3008,50,,,,,,,
36,8,1,s==9|累计普通夺宝30次,344,1,30,1,9,50,2,1003,1,1,8,100000,
37,8,1,s==6|高级夺宝1次,344,2,1,1,9,50,2,1001,200,1,8,100000,
38,8,1,s==9|累计普通寻访30次,403,1,30,1,9,50,2,1004,1,1,8,100000,
39,8,1,s==7|聚贤阁寻访5次,211,0,5,1,9,50,2,1014,1,1,8,100000,
40,8,2,,,,,2,3008,50,,,,,,,
41,9,1,s==9|累计普通夺宝30次,344,1,30,1,9,50,2,1003,1,1,8,100000,
42,9,1,s==6|高级夺宝1次,344,2,1,1,9,50,2,1001,200,1,8,100000,
43,9,1,s==9|累计普通寻访30次,403,1,30,1,9,50,2,1004,1,1,8,100000,
44,9,1,s==7|聚贤阁寻访5次,211,0,5,1,9,50,2,1014,1,1,8,100000,
45,9,2,,,,,2,3008,50,,,,,,,
46,10,1,s==9|累计普通夺宝30次,344,1,30,1,9,50,2,1003,1,1,8,100000,
47,10,1,s==6|高级夺宝1次,344,2,1,1,9,50,2,1001,200,1,8,100000,
48,10,1,s==9|累计普通寻访30次,403,1,30,1,9,50,2,1004,1,1,8,100000,
49,10,1,s==7|聚贤阁寻访5次,211,0,5,1,9,50,2,1014,1,1,8,100000,
50,10,2,,,,,2,3008,50,,,,,,,
51,11,1,s==9|累计普通夺宝30次,344,1,30,1,9,50,2,1003,1,1,8,100000,
52,11,1,s==6|高级夺宝1次,344,2,1,1,9,50,2,1001,200,1,8,100000,
53,11,1,s==9|累计普通寻访30次,403,1,30,1,9,50,2,1004,1,1,8,100000,
54,11,1,s==7|聚贤阁寻访5次,211,0,5,1,9,50,2,1014,1,1,8,100000,
55,11,2,,,,,2,3008,50,,,,,,,
56,12,1,s==9|累计普通夺宝30次,344,1,30,1,9,50,2,1003,1,1,8,100000,
57,12,1,s==6|高级夺宝1次,344,2,1,1,9,50,2,1001,200,1,8,100000,
58,12,1,s==9|累计普通寻访30次,403,1,30,1,9,50,2,1004,1,1,8,100000,
59,12,1,s==7|聚贤阁寻访5次,211,0,5,1,9,50,2,1014,1,1,8,100000,
60,12,2,,,,,2,3008,50,,,,,,,
61,13,1,s==9|累计普通夺宝30次,344,1,30,1,9,50,2,1003,1,1,8,100000,
62,13,1,s==6|高级夺宝1次,344,2,1,1,9,50,2,1001,200,1,8,100000,
63,13,1,s==9|累计普通寻访30次,403,1,30,1,9,50,2,1004,1,1,8,100000,
64,13,1,s==7|聚贤阁寻访5次,211,0,5,1,9,50,2,1014,1,1,8,100000,
65,13,2,,,,,2,3008,50,,,,,,,
66,30,1,s==9|累计普通夺宝30次,344,1,30,1,9,50,2,1003,1,1,8,100000,
67,30,1,s==6|高级夺宝1次,344,2,1,1,9,50,2,1001,200,1,8,100000,
68,30,1,s==9|累计普通寻访30次,403,1,30,1,9,50,2,1004,1,1,8,100000,
69,30,1,s==7|聚贤阁寻访5次,211,0,5,1,9,50,2,1014,1,1,8,100000,
70,30,2,,,,,2,3008,50,,,,,,,
71,14,1,s==9|累计普通夺宝30次,344,1,30,1,9,50,2,1003,1,1,8,100000,
72,14,1,s==6|高级夺宝1次,344,2,1,1,9,50,2,1001,200,1,8,100000,
73,14,1,s==9|累计普通寻访30次,403,1,30,1,9,50,2,1004,1,1,8,100000,
74,14,1,s==7|聚贤阁寻访5次,211,0,5,1,9,50,2,1014,1,1,8,100000,
75,14,2,,,,,2,3008,50,,,,,,,
76,15,1,s==9|累计普通夺宝30次,344,1,30,1,9,50,2,1003,1,1,8,100000,
77,15,1,s==6|高级夺宝1次,344,2,1,1,9,50,2,1001,200,1,8,100000,
78,15,1,s==9|累计普通寻访30次,403,1,30,1,9,50,2,1004,1,1,8,100000,
79,15,1,s==7|聚贤阁寻访5次,211,0,5,1,9,50,2,1014,1,1,8,100000,
80,15,2,,,,,2,3008,50,,,,,,,
81,16,1,s==9|累计普通夺宝30次,344,1,30,1,9,50,2,1003,1,1,8,100000,
82,16,1,s==6|高级夺宝1次,344,2,1,1,9,50,2,1001,200,1,8,100000,
83,16,1,s==9|累计普通寻访30次,403,1,30,1,9,50,2,1004,1,1,8,100000,
