id,soulDown,soulUp,weight%1,weight%2,weight%3,weight%4,weight%5,weight%6,weight%7,weight%8,weight%9,weight%10,weight%11,weight%12,weight%13,weight%14,change%1,change%2,change%3,change%4,change%5,change%6,change%7,change%8,change%9,change%10,change%11,change%12,change%13,change%14,
1,1,50,8442,1117,425,0,0,0,0,0,0,0,0,0,0,0,-20,10,10,0,0,0,0,0,0,0,0,0,0,0,
2,51,100,7462,1607,915,60,0,0,0,0,0,0,0,0,0,0,-25,10,10,5,0,0,0,0,0,0,0,0,0,0,
3,101,200,6237,2097,1405,305,103,0,0,0,0,0,0,0,0,0,-28,10,10,5,3,0,0,0,0,0,0,0,0,0,
4,201,300,3465,3087,2395,800,400,119,0,0,0,0,0,0,0,0,-35,15,10,5,3,2,0,0,0,0,0,0,0,0,
5,301,400,0,4572,3385,1295,697,317,57,0,0,0,0,0,0,0,0,-10,4,3,1,1,1,0,0,0,0,0,0,0,
6,401,600,0,3582,3781,1592,796,416,156,49,0,0,0,0,0,0,0,-6,1,1,1,1,1,1,0,0,0,0,0,0,
7,601,800,0,2388,3980,1791,995,615,355,248,50,0,0,0,0,0,0,-12,6,1,1,1,1,1,1,0,0,0,0,0,
8,801,1000,0,0,5174,1990,1194,814,554,447,249,0,0,0,0,0,0,0,-11,4,3,1,1,1,1,0,0,0,0,0,
9,1001,1200,0,0,2985,2786,1791,1013,753,646,448,0,0,0,0,0,0,0,-15,8,3,1,1,1,1,0,0,0,0,0,
10,1201,1400,0,0,0,4378,2388,1212,952,845,647,50,0,0,0,0,0,0,0,-8,3,1,1,1,1,1,0,0,0,0,
11,1401,1600,0,0,0,2786,2985,1411,1151,1044,846,249,0,0,0,0,0,0,0,-14,9,1,1,1,1,1,0,0,0,0,
12,1601,1800,0,0,0,0,4776,1610,1350,1243,1045,448,0,0,0,0,0,0,0,0,-7,3,1,1,1,1,0,0,0,0,
13,1801,2000,0,0,0,0,3383,2207,1549,1442,1244,647,50,0,0,0,0,0,0,0,-14,9,1,1,1,1,1,0,0,0,
14,2001,2200,0,0,0,0,597,3998,1748,1641,1443,846,249,0,0,0,0,0,0,0,0,-5,1,1,1,1,1,0,0,0,
15,2201,3202,0,0,0,0,0,3003,1947,1840,1642,1045,448,0,0,0,0,0,0,0,0,-3,1,1,1,0,0,0,0,0,
16,3203,3402,0,0,0,0,0,0,2948,2841,2643,1045,448,50,0,0,0,0,0,0,0,0,-4,1,1,1,1,0,0,0,
17,3403,4054,0,0,0,0,0,0,2152,3040,2842,1244,647,50,0,0,0,0,0,0,0,0,-3,1,1,1,0,0,0,0,
18,4055,4254,0,0,0,0,0,0,199,3691,3493,1895,647,50,50,0,0,0,0,0,0,0,0,-4,1,1,1,1,0,0,
19,4255,4929,0,0,0,0,0,0,0,2895,3692,2094,846,249,50,0,0,0,0,0,0,0,0,-4,1,1,1,1,0,0,
20,4930,-1,0,0,0,0,0,0,0,199,4366,2768,1520,923,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
