id,activityID,dateStart,dateEnd,round,items-type-1,items-id-1,items-value-1,weight,
1,3440,1,210,1,2,1004,1,166,
2,3440,1,210,1,2,1014,1,170,
3,3440,1,210,1,2,1003,5,100,
4,3440,1,210,1,2,1003,3,166,
5,3440,1,210,1,2,1005,5,1000,
6,3440,1,210,1,2,1006,200,500,
7,3440,1,210,1,2,1007,10,340,
8,3440,1,210,1,2,1027,30,1000,
9,3440,1,210,1,2,1030,1,200,
10,3440,1,210,1,2,1029,2,400,
11,3440,1,210,1,2,1019,5,667,
12,3440,1,210,1,2,1002,6,833,
13,3440,1,210,1,2,1003,2,250,
14,3440,1,210,1,2,3008,10,855,
15,3440,1,210,1,2,3008,25,334,
16,3440,1,210,1,2,1001,200,500,
17,3440,1,210,1,1,9,200,500,
18,3440,1,210,1,2,1001,500,200,
19,3440,1,210,1,1,8,1000000,1000,
20,3440,1,210,2,2,1004,1,166,
21,3440,1,210,2,2,1014,1,170,
22,3440,1,210,2,2,1003,5,100,
23,3440,1,210,2,2,1003,3,166,
24,3440,1,210,2,2,1005,5,1000,
25,3440,1,210,2,2,1006,200,500,
26,3440,1,210,2,2,1007,10,340,
27,3440,1,210,2,2,1027,30,1000,
28,3440,1,210,2,2,1030,1,200,
29,3440,1,210,2,2,1029,2,400,
30,3440,1,210,2,2,1019,5,667,
31,3440,1,210,2,2,1002,6,833,
32,3440,1,210,2,2,1003,2,250,
33,3440,1,210,2,2,3008,10,855,
34,3440,1,210,2,2,3008,25,334,
35,3440,1,210,2,2,1001,200,500,
36,3440,1,210,2,1,9,200,500,
37,3440,1,210,2,2,1001,500,200,
38,3440,1,210,2,1,8,1000000,1000,
39,3440,1,210,3,2,1004,1,166,
40,3440,1,210,3,2,1014,1,170,
41,3440,1,210,3,2,1003,5,100,
42,3440,1,210,3,2,1003,3,166,
43,3440,1,210,3,2,1005,5,1000,
44,3440,1,210,3,2,1006,200,500,
45,3440,1,210,3,2,1007,10,340,
46,3440,1,210,3,2,1027,30,1000,
47,3440,1,210,3,2,1030,1,200,
48,3440,1,210,3,2,1029,2,400,
49,3440,1,210,3,2,1019,5,667,
50,3440,1,210,3,2,1002,6,833,
51,3440,1,210,3,2,1003,2,250,
52,3440,1,210,3,2,3008,10,855,
53,3440,1,210,3,2,3008,25,334,
54,3440,1,210,3,2,1001,200,500,
55,3440,1,210,3,1,9,200,500,
56,3440,1,210,3,2,1001,500,200,
57,3440,1,210,3,1,8,1000000,1000,
58,3440,1,210,4,2,1004,1,166,
59,3440,1,210,4,2,1014,1,170,
60,3440,1,210,4,2,1003,5,100,
61,3440,1,210,4,2,1003,3,166,
62,3440,1,210,4,2,1005,5,1000,
63,3440,1,210,4,2,1006,200,500,
64,3440,1,210,4,2,1007,10,340,
65,3440,1,210,4,2,1027,30,1000,
66,3440,1,210,4,2,1030,1,200,
67,3440,1,210,4,2,1029,2,400,
68,3440,1,210,4,2,1019,5,667,
69,3440,1,210,4,2,1002,6,833,
70,3440,1,210,4,2,1003,2,250,
71,3440,1,210,4,2,3008,10,855,
72,3440,1,210,4,2,3008,25,334,
73,3440,1,210,4,2,1001,200,500,
74,3440,1,210,4,1,9,200,500,
75,3440,1,210,4,2,1001,500,200,
76,3440,1,210,4,1,8,1000000,1000,
77,3440,211,266,1,2,1004,1,166,
78,3440,211,266,1,2,1014,1,170,
79,3440,211,266,1,2,1003,5,100,
80,3440,211,266,1,2,1003,3,166,
81,3440,211,266,1,2,1005,5,1000,
82,3440,211,266,1,2,1006,200,500,
83,3440,211,266,1,2,1007,10,340,
84,3440,211,266,1,2,1027,30,1000,
85,3440,211,266,1,2,1030,1,200,
86,3440,211,266,1,2,1029,2,400,
87,3440,211,266,1,2,1019,5,667,
88,3440,211,266,1,2,1002,6,833,
89,3440,211,266,1,2,1003,2,250,
90,3440,211,266,1,2,3008,10,855,
91,3440,211,266,1,2,3008,25,334,
92,3440,211,266,1,2,1001,200,500,
93,3440,211,266,1,1,9,200,500,
94,3440,211,266,1,2,1001,500,200,
95,3440,211,266,1,1,8,1000000,1000,
96,3440,211,266,2,2,1004,1,166,
97,3440,211,266,2,2,1014,1,170,
98,3440,211,266,2,2,1003,5,100,
99,3440,211,266,2,2,1003,3,166,
100,3440,211,266,2,2,1005,5,1000,
101,3440,211,266,2,2,1006,200,500,
102,3440,211,266,2,2,1007,10,340,
103,3440,211,266,2,2,1027,30,1000,
104,3440,211,266,2,2,1030,1,200,
105,3440,211,266,2,2,1029,2,400,
106,3440,211,266,2,2,1019,5,667,
107,3440,211,266,2,2,1002,6,833,
108,3440,211,266,2,2,1003,2,250,
109,3440,211,266,2,2,3008,10,855,
110,3440,211,266,2,2,3008,25,334,
111,3440,211,266,2,2,1001,200,500,
112,3440,211,266,2,1,9,200,500,
113,3440,211,266,2,2,1001,500,200,
114,3440,211,266,2,1,8,1000000,1000,
115,3440,211,266,3,2,1004,1,166,
116,3440,211,266,3,2,1014,1,170,
117,3440,211,266,3,2,1003,5,100,
118,3440,211,266,3,2,1003,3,166,
119,3440,211,266,3,2,1005,5,1000,
120,3440,211,266,3,2,1006,200,500,
121,3440,211,266,3,2,1007,10,340,
122,3440,211,266,3,2,1027,30,1000,
123,3440,211,266,3,2,1030,1,200,
124,3440,211,266,3,2,1029,2,400,
125,3440,211,266,3,2,1019,5,667,
126,3440,211,266,3,2,1002,6,833,
127,3440,211,266,3,2,1003,2,250,
128,3440,211,266,3,2,3008,10,855,
129,3440,211,266,3,2,3008,25,334,
130,3440,211,266,3,2,1001,200,500,
131,3440,211,266,3,1,9,200,500,
132,3440,211,266,3,2,1001,500,200,
133,3440,211,266,3,1,8,1000000,1000,
134,3440,211,266,4,2,1004,1,166,
135,3440,211,266,4,2,1014,1,170,
136,3440,211,266,4,2,1003,5,100,
137,3440,211,266,4,2,1003,3,166,
138,3440,211,266,4,2,1005,5,1000,
139,3440,211,266,4,2,1006,200,500,
140,3440,211,266,4,2,1007,10,340,
141,3440,211,266,4,2,1027,30,1000,
142,3440,211,266,4,2,1030,1,200,
143,3440,211,266,4,2,1029,2,400,
144,3440,211,266,4,2,1019,5,667,
145,3440,211,266,4,2,1002,6,833,
146,3440,211,266,4,2,1003,2,250,
147,3440,211,266,4,2,3008,10,855,
148,3440,211,266,4,2,3008,25,334,
149,3440,211,266,4,2,1001,200,500,
150,3440,211,266,4,1,9,200,500,
151,3440,211,266,4,2,1001,500,200,
152,3440,211,266,4,1,8,1000000,1000,
153,3440,267,321,1,2,1004,1,166,
154,3440,267,321,1,2,1014,1,170,
155,3440,267,321,1,2,1003,5,100,
156,3440,267,321,1,2,1003,3,166,
157,3440,267,321,1,2,1005,5,1000,
158,3440,267,321,1,2,1006,200,500,
159,3440,267,321,1,2,1007,10,340,
160,3440,267,321,1,2,1027,30,1000,
161,3440,267,321,1,2,1030,1,200,
162,3440,267,321,1,2,1029,2,400,
163,3440,267,321,1,2,1019,5,667,
164,3440,267,321,1,2,1002,6,833,
165,3440,267,321,1,2,1003,2,250,
166,3440,267,321,1,2,3008,10,855,
167,3440,267,321,1,2,3008,25,334,
168,3440,267,321,1,2,1001,200,500,
169,3440,267,321,1,1,9,200,500,
170,3440,267,321,1,2,1001,500,200,
171,3440,267,321,1,1,8,1000000,1000,
172,3440,267,321,2,2,1004,1,166,
173,3440,267,321,2,2,1014,1,170,
174,3440,267,321,2,2,1003,5,100,
175,3440,267,321,2,2,1003,3,166,
176,3440,267,321,2,2,1005,5,1000,
177,3440,267,321,2,2,1006,200,500,
