id,activityId,pointType,pointId,pointValue,reward-type-1,reward-id-1,reward-value-1,reward-type-2,reward-id-2,reward-value-2,lockreward-type-1,lockreward-id-1,lockreward-value-1,lockreward-type-2,lockreward-id-2,lockreward-value-2,
1,2500,2,1156,0,2,1958,1,2,1077,40,2,1959,1,2,1003,1,
2,2500,2,1156,150,2,1958,1,2,1007,2,2,1959,1,2,3008,15,
3,2500,2,1156,300,2,1958,1,2,1019,2,2,1959,1,2,1027,30,
4,2500,2,1156,450,2,1958,1,2,1005,2,2,1959,1,2,1001,800,
5,2500,2,1156,600,2,1958,1,2,1003,1,2,1959,1,2,1004,1,
6,2500,2,1156,750,2,1958,1,2,1077,40,2,1959,1,2,1003,1,
7,2500,2,1156,900,2,1958,1,2,1007,2,2,1959,1,2,3008,15,
8,2500,2,1156,1050,2,1958,1,2,1019,2,2,1959,1,2,1027,30,
9,2500,2,1156,1200,2,1958,1,2,1005,2,2,1959,1,2,1006,500,
10,2500,2,1156,1350,2,1958,1,2,1003,1,2,1959,1,1,9,888,
11,2500,2,1156,1500,2,1958,1,2,1077,40,2,1959,1,2,1003,1,
12,2500,2,1156,1650,2,1958,1,2,1007,2,2,1959,1,2,3008,20,
13,2500,2,1156,1800,2,1958,1,2,1019,2,2,1959,1,2,1027,30,
14,2500,2,1156,2000,2,1958,1,2,1005,2,2,1959,1,2,1006,500,
15,2500,2,1156,2200,2,1958,1,2,1004,1,2,1959,1,2,1004,1,
16,2500,2,1156,2400,2,1958,1,2,1077,40,2,1959,1,2,1003,1,
17,2500,2,1156,2600,2,1958,1,2,1007,2,2,1959,1,2,1006,500,
18,2500,2,1156,2800,2,1958,1,2,1019,2,2,1959,1,2,1027,30,
19,2500,2,1156,3000,2,1958,1,2,1005,2,2,1959,1,2,1105,2,
20,2500,2,1156,3200,2,1958,1,2,1516,1,2,1959,1,2,1527,1,
50,3110,2,1156,0,2,1958,1,2,1077,40,2,1959,1,2,1003,1,
51,3110,2,1156,150,2,1958,1,2,1007,2,2,1959,1,2,3008,15,
52,3110,2,1156,300,2,1958,1,2,1019,2,2,1959,1,2,1027,30,
53,3110,2,1156,450,2,1958,1,2,1005,2,2,1959,1,2,1001,800,
54,3110,2,1156,600,2,1958,1,2,1003,1,2,1959,1,2,1004,1,
55,3110,2,1156,750,2,1958,1,2,1077,40,2,1959,1,2,1003,1,
56,3110,2,1156,900,2,1958,1,2,1007,2,2,1959,1,2,3008,15,
57,3110,2,1156,1050,2,1958,1,2,1019,2,2,1959,1,2,1027,30,
58,3110,2,1156,1200,2,1958,1,2,1005,2,2,1959,1,2,1006,500,
59,3110,2,1156,1350,2,1958,1,2,1003,1,2,1959,1,1,9,888,
60,3110,2,1156,1500,2,1958,1,2,1077,40,2,1959,1,2,1003,1,
61,3110,2,1156,1650,2,1958,1,2,1007,2,2,1959,1,2,3008,20,
62,3110,2,1156,1800,2,1958,1,2,1019,2,2,1959,1,2,1027,30,
63,3110,2,1156,2000,2,1958,1,2,1005,2,2,1959,1,2,1006,500,
64,3110,2,1156,2200,2,1958,1,2,1004,1,2,1959,1,2,1004,1,
65,3110,2,1156,2400,2,1958,1,2,1077,40,2,1959,1,2,1003,1,
66,3110,2,1156,2600,2,1958,1,2,1007,2,2,1959,1,2,1006,500,
67,3110,2,1156,2800,2,1958,1,2,1019,2,2,1959,1,2,1027,30,
68,3110,2,1156,3000,2,1958,1,2,1005,2,2,1959,1,2,1105,2,
69,3110,2,1156,3200,2,1958,1,2,1516,1,2,1959,1,2,1527,1,
