id,starMapId,starId,unlockStarId,level,nextId,needAllLevel,unlockType,starType,base-type-1,base-way-1,base-value-1,base-type-2,base-way-2,base-value-2,
1,1001,1,,0,2,,,,,,,,,,
2,1001,1,2,1,3,,0,1,2,0,200,1,0,2000,
3,1001,1,,2,4,,0,1,2,0,400,1,0,4000,
4,1001,1,,3,5,,0,1,2,0,600,1,0,6000,
5,1001,1,,4,6,,0,1,2,0,800,1,0,8000,
6,1001,1,,5,7,32,0,1,2,0,1050,1,0,10500,
7,1001,1,,6,8,,0,1,2,0,1300,1,0,13000,
8,1001,1,,7,9,,0,1,2,0,1550,1,0,15500,
9,1001,1,,8,10,,0,1,2,0,1800,1,0,18000,
10,1001,1,,9,11,64,0,1,2,0,2150,1,0,21500,
11,1001,1,,10,12,,0,1,2,0,2500,1,0,25000,
12,1001,1,,11,13,,0,1,2,0,2850,1,0,32000,
13,1001,1,,12,,,0,1,2,0,3200,1,0,32000,
14,1001,2,,0,15,,,,,,,,,,
15,1001,2,3,1,16,,1,1,2,0,120,3,0,5,
16,1001,2,,2,17,,1,1,2,0,240,3,0,10,
17,1001,2,,3,18,,1,1,2,0,360,3,0,15,
18,1001,2,,4,19,,1,1,2,0,480,3,0,20,
19,1001,2,,5,20,32,1,1,2,0,630,3,0,28,
20,1001,2,,6,21,,1,1,2,0,780,3,0,36,
21,1001,2,,7,22,,1,1,2,0,930,3,0,44,
22,1001,2,,8,23,,1,1,2,0,1080,3,0,52,
23,1001,2,,9,24,64,1,1,2,0,1290,3,0,60,
24,1001,2,,10,25,,1,1,2,0,1500,3,0,68,
25,1001,2,,11,26,,1,1,2,0,1710,3,0,76,
26,1001,2,,12,,,1,1,2,0,1920,3,0,84,
27,1001,3,,0,28,,,,,,,,,,
28,1001,3,4|6,1,29,,1,2,,,,,,,
29,1001,3,,2,30,,1,2,,,,,,,
30,1001,3,,3,31,,1,2,,,,,,,
31,1001,3,,4,32,,1,2,,,,,,,
32,1001,3,,5,33,32,1,2,,,,,,,
33,1001,3,,6,34,,1,2,,,,,,,
34,1001,3,,7,35,,1,2,,,,,,,
35,1001,3,,8,36,,1,2,,,,,,,
36,1001,3,,9,37,64,1,2,,,,,,,
37,1001,3,,10,38,,1,2,,,,,,,
38,1001,3,,11,39,,1,2,,,,,,,
39,1001,3,,12,,,1,2,,,,,,,
40,1001,4,,0,41,,,,,,,,,,
41,1001,4,5,1,42,,1,1,1,0,1200,4,0,5,
42,1001,4,,2,43,,1,1,1,0,2400,4,0,10,
43,1001,4,,3,44,,1,1,1,0,3600,4,0,15,
44,1001,4,,4,45,,1,1,1,0,4800,4,0,20,
45,1001,4,,5,46,32,1,1,1,0,6300,4,0,28,
46,1001,4,,6,47,,1,1,1,0,7800,4,0,36,
47,1001,4,,7,48,,1,1,1,0,9300,4,0,44,
48,1001,4,,8,49,,1,1,1,0,10800,4,0,52,
49,1001,4,,9,50,64,1,1,1,0,12900,4,0,60,
50,1001,4,,10,51,,1,1,1,0,15000,4,0,68,
51,1001,4,,11,52,,1,1,1,0,17100,4,0,76,
52,1001,4,,12,,,1,1,1,0,19200,4,0,84,
53,1001,5,,0,54,,,,,,,,,,
54,1001,5,,1,55,,1,1,3,0,4,4,0,4,
55,1001,5,,2,56,,1,1,3,0,8,4,0,8,
56,1001,5,,3,57,,1,1,3,0,12,4,0,12,
57,1001,5,,4,58,,1,1,3,0,16,4,0,16,
58,1001,5,,5,59,32,1,1,3,0,22,4,0,22,
59,1001,5,,6,60,,1,1,3,0,28,4,0,28,
60,1001,5,,7,61,,1,1,3,0,34,4,0,34,
61,1001,5,,8,62,,1,1,3,0,40,4,0,40,
62,1001,5,,9,63,64,1,1,3,0,46,4,0,46,
63,1001,5,,10,64,,1,1,3,0,52,4,0,52,
64,1001,5,,11,65,,1,1,3,0,58,4,0,58,
65,1001,5,,12,,,1,1,3,0,64,4,0,64,
66,1001,6,,0,67,,,,,,,,,,
67,1001,6,7,1,68,,1,2,,,,,,,
68,1001,6,,2,69,,1,2,,,,,,,
69,1001,6,,3,70,,1,2,,,,,,,
70,1001,6,,4,71,,1,2,,,,,,,
71,1001,6,,5,72,32,1,2,,,,,,,
72,1001,6,,6,73,,1,2,,,,,,,
73,1001,6,,7,74,,1,2,,,,,,,
74,1001,6,,8,75,,1,2,,,,,,,
75,1001,6,,9,76,64,1,2,,,,,,,
76,1001,6,,10,77,,1,2,,,,,,,
77,1001,6,,11,78,,1,2,,,,,,,
78,1001,6,,12,,,1,2,,,,,,,
79,1001,7,,0,80,,,,,,,,,,
80,1001,7,8,1,81,,1,2,,,,,,,
81,1001,7,,2,82,,1,2,,,,,,,
82,1001,7,,3,83,,1,2,,,,,,,
83,1001,7,,4,84,,1,2,,,,,,,
84,1001,7,,5,85,32,1,2,,,,,,,
85,1001,7,,6,86,,1,2,,,,,,,
