id,dressId,level,dressSkills%1,dressSkills%2,dressSkills%3,dressSkills%4,dressSkills%5,
1,201,1,110001,210001,310001,410001,510001,
2,201,2,110002,210002,310002,410002,510002,
3,201,3,110003,210003,310003,410003,510003,
4,201,4,110004,210004,310004,410004,510004,
5,201,5,110005,210005,310005,410005,510005,
6,201,6,110006,210006,310006,410006,510006,
7,201,7,110007,210007,310007,410007,510007,
8,201,8,110008,210008,310008,410008,510008,
9,201,9,110009,210009,310009,410009,510009,
10,201,10,110010,210010,310010,410010,510010,
11,201,11,110011,210011,310011,410011,510011,
12,201,12,110012,210012,310012,410012,510012,
13,201,13,110013,210013,310013,410013,510013,
14,201,14,110014,210014,310014,410014,510014,
15,201,15,110015,210015,310015,410015,510015,
16,201,16,110016,210016,310016,410016,510016,
17,201,17,110017,210017,310017,410017,510017,
18,201,18,110018,210018,310018,410018,510018,
19,201,19,110019,210019,310019,410019,510019,
20,201,20,110020,210020,310020,410020,510020,
21,201,21,110021,210021,310021,410021,510021,
22,201,22,110022,210022,310022,410022,510022,
23,201,23,110023,210023,310023,410023,510023,
24,201,24,110024,210024,310024,410024,510024,
25,201,25,110025,210025,310025,410025,510025,
26,301,1,120001,220001,320001,420001,520001,
27,301,2,120002,220002,320002,420002,520002,
28,301,3,120003,220003,320003,420003,520003,
29,301,4,120004,220004,320004,420004,520004,
30,301,5,120005,220005,320005,420005,520005,
31,301,6,120006,220006,320006,420006,520006,
32,301,7,120007,220007,320007,420007,520007,
33,301,8,120008,220008,320008,420008,520008,
34,301,9,120009,220009,320009,420009,520009,
35,301,10,120010,220010,320010,420010,520010,
36,301,11,120011,220011,320011,420011,520011,
37,301,12,120012,220012,320012,420012,520012,
38,301,13,120013,220013,320013,420013,520013,
39,301,14,120014,220014,320014,420014,520014,
40,301,15,120015,220015,320015,420015,520015,
41,301,16,120016,220016,320016,420016,520016,
42,301,17,120017,220017,320017,420017,520017,
43,301,18,120018,220018,320018,420018,520018,
44,301,19,120019,220019,320019,420019,520019,
45,301,20,120020,220020,320020,420020,520020,
46,301,21,120021,220021,320021,420021,520021,
47,301,22,120022,220022,320022,420022,520022,
48,301,23,120023,220023,320023,420023,520023,
49,301,24,120024,220024,320024,420024,520024,
50,301,25,120025,220025,320025,420025,520025,
51,401,1,130001,230001,330001,430001,530001,
52,401,2,130002,230002,330002,430002,530002,
53,401,3,130003,230003,330003,430003,530003,
54,401,4,130004,230004,330004,430004,530004,
55,401,5,130005,230005,330005,430005,530005,
56,401,6,130006,230006,330006,430006,530006,
57,401,7,130007,230007,330007,430007,530007,
58,401,8,130008,230008,330008,430008,530008,
59,401,9,130009,230009,330009,430009,530009,
60,401,10,130010,230010,330010,430010,530010,
61,401,11,130011,230011,330011,430011,530011,
62,401,12,130012,230012,330012,430012,530012,
63,401,13,130013,230013,330013,430013,530013,
64,401,14,130014,230014,330014,430014,530014,
65,401,15,130015,230015,330015,430015,530015,
66,401,16,130016,230016,330016,430016,530016,
67,401,17,130017,230017,330017,430017,530017,
68,401,18,130018,230018,330018,430018,530018,
69,401,19,130019,230019,330019,430019,530019,
70,401,20,130020,230020,330020,430020,530020,
71,401,21,130021,230021,330021,430021,530021,
72,401,22,130022,230022,330022,430022,530022,
73,401,23,130023,230023,330023,430023,530023,
74,401,24,130024,230024,330024,430024,530024,
75,401,25,130025,230025,330025,430025,530025,
76,501,1,140001,240001,340001,440001,540001,
77,501,2,140002,240002,340002,440002,540002,
78,501,3,140003,240003,340003,440003,540003,
79,501,4,140004,240004,340004,440004,540004,
80,501,5,140005,240005,340005,440005,540005,
81,501,6,140006,240006,340006,440006,540006,
