id,godBeastId,qualificationScore,decomposeGet-type-1,decomposeGet-id-1,decomposeGet-value-1,decomposeGet-type-2,decomposeGet-id-2,decomposeGet-value-2,
1,50001,1,2,1290,20,2,50050,2,
2,50001,2,2,1290,40,2,50050,4,
3,50001,3,2,1290,60,2,50050,6,
11,50002,1,2,1290,20,2,50050,2,
12,50002,2,2,1290,40,2,50050,4,
13,50002,3,2,1290,60,2,50050,6,
21,50003,4,2,1290,80,2,50050,8,
22,50003,5,2,1290,160,2,50050,16,
23,50003,6,2,1290,240,2,50050,24,
31,50004,4,2,1290,80,2,50050,8,
32,50004,5,2,1290,160,2,50050,16,
33,50004,6,2,1290,240,2,50050,24,
41,50005,4,2,1290,80,2,50050,8,
42,50005,5,2,1290,160,2,50050,16,
43,50005,6,2,1290,240,2,50050,24,
