id,level,upgradeExpStar,expStar,proAtk,proHp,proSpd,consumeProp-type-1,consumeProp-id-1,consumeProp-value-1,consumeProp-type-2,consumeProp-id-2,consumeProp-value-2,resetAcquire-type-1,resetAcquire-id-1,resetAcquire-value-1,resetAcquire-type-2,resetAcquire-id-2,resetAcquire-value-2,
1,0,5,1,0,100,0,2,1044,2,2,1043,10,2,1044,2,2,1043,10,
2,0,5,2,100,0,0,2,1044,2,2,1043,10,2,1044,4,2,1043,20,
3,0,5,3,0,100,0,2,1044,2,2,1043,10,2,1044,6,2,1043,30,
4,0,5,4,100,0,0,2,1044,2,2,1043,10,2,1044,8,2,1043,40,
5,1,5,0,0,0,10,2,1044,4,2,1043,20,2,1044,12,2,1043,60,
6,1,5,1,0,100,0,2,1044,4,2,1043,20,2,1044,16,2,1043,80,
7,1,5,2,100,0,0,2,1044,4,2,1043,20,2,1044,20,2,1043,100,
8,1,5,3,0,100,0,2,1044,4,2,1043,20,2,1044,24,2,1043,120,
9,1,5,4,100,0,0,2,1044,4,2,1043,20,2,1044,28,2,1043,140,
10,2,5,0,0,0,10,2,1044,8,2,1043,40,2,1044,36,2,1043,180,
11,2,5,1,0,100,0,2,1044,8,2,1043,40,2,1044,44,2,1043,220,
12,2,5,2,100,0,0,2,1044,8,2,1043,40,2,1044,52,2,1043,260,
13,2,5,3,0,100,0,2,1044,8,2,1043,40,2,1044,60,2,1043,300,
14,2,5,4,100,0,0,2,1044,8,2,1043,40,2,1044,68,2,1043,340,
15,3,5,0,0,0,10,2,1044,16,2,1043,80,2,1044,84,2,1043,420,
16,3,5,1,0,100,0,2,1044,16,2,1043,80,2,1044,100,2,1043,500,
17,3,5,2,100,0,0,2,1044,16,2,1043,80,2,1044,116,2,1043,580,
18,3,5,3,0,100,0,2,1044,16,2,1043,80,2,1044,132,2,1043,660,
19,3,5,4,100,0,0,2,1044,16,2,1043,80,2,1044,148,2,1043,740,
20,4,5,0,0,0,10,2,1044,32,2,1043,160,2,1044,180,2,1043,900,
21,4,5,1,0,100,0,2,1044,32,2,1043,160,2,1044,212,2,1043,1060,
22,4,5,2,100,0,0,2,1044,32,2,1043,160,2,1044,244,2,1043,1220,
23,4,5,3,0,100,0,2,1044,32,2,1043,160,2,1044,276,2,1043,1380,
24,4,5,4,100,0,0,2,1044,32,2,1043,160,2,1044,308,2,1043,1540,
25,5,5,0,0,0,10,2,1044,40,2,1043,200,2,1044,348,2,1043,1740,
26,5,5,1,0,100,0,2,1044,40,2,1043,200,2,1044,388,2,1043,1940,
