starNatureId,runeName,seat,starLv,pro-type-1,pro-way-1,pro-value-1,pro-type-2,pro-way-2,pro-value-2,pro-type-3,pro-way-3,pro-value-3,pro-type-4,pro-way-4,pro-value-4,
1,,1,1,2,1,200,,,,,,,,,,
2,,2,1,1,1,200,,,,,,,,,,
3,,3,1,2,1,200,,,,,,,,,,
4,,4,1,1,1,200,,,,,,,,,,
5,,1,2,2,1,200,2,1,200,,,,,,,
6,,2,2,1,1,200,1,1,200,,,,,,,
7,,3,2,2,1,200,2,1,200,,,,,,,
8,,4,2,1,1,200,1,1,200,,,,,,,
9,,1,3,2,1,200,2,1,200,5,1,300,,,,
10,,2,3,1,1,200,1,1,200,7,1,300,,,,
11,,3,3,2,1,200,2,1,200,8,1,300,,,,
12,,4,3,1,1,200,1,1,200,9,1,300,,,,
13,,1,4,2,1,400,2,1,400,5,1,600,,,,
14,,2,4,1,1,400,1,1,400,7,1,600,,,,
15,,3,4,2,1,400,2,1,400,8,1,600,,,,
16,,4,4,1,1,400,1,1,400,9,1,600,,,,
