id,goodsType,goodsId,goodsNum,discount,costType,costId,costNum,pro,
1,1,10,1200000,5,1,8,2700000,100,
2,1,10,1200000,5,1,9,589,200,
3,1,10,400000,5,1,8,900000,500,
4,1,10,400000,5,1,9,196,600,
5,2,1003,1,6,1,9,147,750,
6,2,1003,3,6,1,9,441,1000,
7,2,1003,5,6,1,9,735,1000,
8,2,3008,50,,1,9,1500,750,
9,2,3009,50,,1,9,1500,500,
10,2,3010,50,,1,9,1500,500,
11,2,3011,50,,1,9,1500,500,
12,2,1001,500,5,1,9,245,500,
13,2,1001,1000,5,1,8,2450000,100,
14,2,1001,1000,5,1,9,490,500,
15,2,1004,1,4,1,9,600,500,
16,2,1007,3,6,1,9,88,500,
17,2,1007,5,6,1,9,147,500,
18,2,1007,10,6,1,9,294,500,
19,2,1006,240,6,1,9,118,500,
